lambda_nm,Re_eps_eff_I0e+00,Im_eps_eff_I0e+00,status_I0e+00,Re_eps_eff_I1e+06,Im_eps_eff_I1e+06,status_I1e+06,Re_eps_eff_I5e+06,Im_eps_eff_I5e+06,status_I5e+06,Re_eps_eff_I2e+07,Im_eps_eff_I2e+07,status_I2e+07
400.0,3.2265699463105477,-0.9646434819613606,ok,3.2271700886388826,-0.964528422301183,ok,3.229555330677993,-0.9640679706244132,ok,3.2382884283439424,-0.9623390589244134,ok
402.0,3.226131519330605,-0.9657681385694753,ok,3.226733586671707,-0.965652270010133,ok,3.2291264350748277,-0.9651885947386334,ok,3.2378867832677978,-0.9634477661083852,ok
404.0,3.225693167736782,-0.9668949473278385,ok,3.2262971670782954,-0.9667782648636277,ok,3.228697649177516,-0.9663113461487945,ok,3.237485342164413,-0.9645585285771562,ok
406.0,3.2252548939965737,-0.9680239134494208,ok,3.2258608323525055,-0.96790641204333,ok,3.228268975581086,-0.9674362299133189,ok,3.2370841079526103,-0.965671350953966,ok
408.0,3.2248167005929536,-0.9691550421608031,ok,3.22542458500377,-0.9690367167443135,ok,3.227840416896451,-0.9685632511032524,ok,3.2366830835679226,-0.9667862378720159,ok
410.0,3.2243785900244655,-0.9702883387022064,ok,3.224988427557173,-0.9701691841750874,ok,3.2274119757505018,-0.9696924148022885,ok,3.2362822719626863,-0.9679031939744769,ok
412.0,3.2239405648053037,-0.9714238083275194,ok,3.2245523625535393,-0.9713038195576256,ok,3.2269836547861925,-0.9708237261067888,ok,3.235881676106132,-0.9690222239144936,ok
414.0,3.2231826137479147,-0.972102824231377,ok,3.2237963372196505,-0.9719825185797988,ok,3.2262352440861712,-0.9715011552828257,ok,3.2351606198579206,-0.969694865256449,ok
416.0,3.2218294616738157,-0.9719292058993477,ok,3.2224450384482943,-0.9718095561300507,ok,3.2248912869964133,-0.9713307852970945,ok,3.233843217496271,-0.9695337946182734,ok
418.0,3.220474950864795,-0.9717532144395163,ok,3.2210923846984807,-0.9716342265671685,ok,3.2235459897298333,-0.9711580719412988,ok,3.2325245274506633,-0.9693704653807519,ok
420.0,3.2191190845549107,-0.9715748422872136,ok,3.2197383791949092,-0.9714565223568289,ok,3.2221993554740767,-0.9709830078003965,ok,3.2312045527750652,-0.9692048705479878,ok
422.0,3.217761866010275,-0.9713940818698559,ok,3.218383025194155,-0.9712764359568646,ok,3.2208513874479547,-0.970805585451762,ok,3.229883296552139,-0.9690370031173936,ok
424.0,3.2164032985291926,-0.9712109256070531,ok,3.2170263259848,-0.9710939598173655,ok,3.2195020889015704,-0.9706257974652882,ok,3.228560761893361,-0.9688668560797812,ok
426.0,3.215043385442285,-0.9710253659107104,ok,3.2156682848875566,-0.9709090863807849,ok,3.218151463116435,-0.970443636403488,ok,3.227236951939107,-0.9686944224194558,ok
428.0,3.2136821301126113,-0.9708373951851381,ok,3.2143089052553964,-0.9707218080820451,ok,3.2167995134055904,-0.9702590948215996,ok,3.225911869858773,-0.9685196951143107,ok
430.0,3.2123195359358134,-0.9706470058271581,ok,3.212948190473678,-0.9705321173486454,ok,3.215446243113741,-0.9700721652676887,ok,3.224585518850876,-0.968342667135921,ok
432.0,3.207337266478738,-0.9714620483574367,ok,3.2079746155961235,-0.9713484057444443,ok,3.210507077776185,-0.9708933419948081,ok,3.219770367008173,-0.969180894319816,ok
434.0,3.2011023535433782,-0.9725918615187545,ok,3.2017508475602456,-0.9724797354740171,ok,3.2043274101520294,-0.9720306161096028,ok,3.213749553397439,-0.9703388208541233,ok
436.0,3.194814074338965,-0.9736971778112049,ok,3.19547392159743,-0.9735866744404044,ok,3.198095404027832,-0.973143916443121,ok,3.207679287490991,-0.9714742378627554,ok
438.0,3.188472015935249,-0.9747772895433189,ok,3.1891434284824265,-0.9746685191457133,ok,3.191810664606916,-0.9742325558957289,ok,3.2015592234792147,-0.972586514785131,ok
440.0,3.1820757667278894,-0.9758314737791922,ok,3.1827589603587003,-0.9757245509931044,ok,3.185472798623493,-0.9752958328332013,ok,3.1953890175776274,-0.973675008415029,ok
442.0,3.1756249166706625,-0.9768589920652433,ok,3.176320110969578,-0.9767540360181274,ok,3.1790814145694632,-0.9763330308355935,ok,3.1891683282370153,-0.9747390627055252,ok
444.0,3.169119057517508,-0.9778590901545101,ok,3.1698264758990815,-0.9777562246177091,ok,3.172636122930418,-0.9773434184442005,ok,3.1828968163611475,-0.9757780085733201,ok
446.0,3.162557783074675,-0.9788309977286044,ok,3.1632776528227455,-0.9787303512769197,ok,3.1661365364311123,-0.978326248906745,ok,3.1765741455322565,-0.9767911637025892,ok
448.0,3.1559406894633364,-0.9797739281174538,ok,3.1566732417687655,-0.9796756342936502,ok,3.159582270290716,-0.9792807599209198,ok,3.1701999822444678,-0.9777778323484854,ok
450.0,3.1492673753929714,-0.9806870780169868,ok,3.150012845389748,-0.9805912755013468,ok,3.1529729424881006,-0.9802061733764424,ok,3.163773996145387,-0.9787373051404606,ok
452.0,3.1419062360791017,-0.9802991008243652,ok,3.142664277237319,-0.9802074688674948,ok,3.1456740939383616,-0.9798387983125161,ok,3.15665392843895,-0.9784281713093764,ok
454.0,3.1339855608061655,-0.9788012192938838,ok,3.1347558383753946,-0.978715235109105,ok,3.1378140703728876,-0.9783688528791046,ok,3.148968258976214,-0.9770377164880375,ok
456.0,3.1260264063772984,-0.9772203731102321,ok,3.126809034156217,-0.9771402846682855,ok,3.1299161291666264,-0.9768171675685897,ok,3.1412462509522503,-0.9755689825925615,ok
