benchmark,lambda_nm,I_wcm2,Re_eps_eff,Im_eps_eff,delta_Im_rel,status
Hache1988_ps_SPR,554.8511891130098,10000.0,1.9877689500389644,-4.250741057428908,0.00016844490436900632,ok
Hache1988_ps_SPR,554.8511891130098,14677.992676220705,1.988097888567564,-4.250406346388957,0.000247173449594548,ok
Hache1988_ps_SPR,554.8511891130098,21544.346900318822,1.9885802986814691,-4.249915400000888,0.00036265065322098116,ok
Hache1988_ps_SPR,554.8511891130098,31622.776601683792,1.9892875077847139,-4.2491955252040094,0.0005319749023138343,ok
Hache1988_ps_SPR,554.8511891130098,46415.88833612782,1.990323675455753,-4.248140474770874,0.0007801369759414768,ok
Hache1988_ps_SPR,554.8511891130098,68129.20690579608,1.9918405431406458,-4.2465952657472315,0.0011435909525973082,ok
Hache1988_ps_SPR,554.8511891130098,100000.0,1.9940583978116995,-4.244334477190099,0.00167535887453869,ok
Hache1988_ps_SPR,554.8511891130098,146779.92676220674,1.9972954010756867,-4.241031619612769,0.0024522354669226265,ok
Hache1988_ps_SPR,554.8511891130098,215443.46900318822,2.002007644932096,-4.236216725947203,0.003584763314707829,ok
Hache1988_ps_SPR,554.8511891130098,316227.7660168379,2.0088418341772543,-4.229219336080259,0.00523064366774654,ok
Hache1988_ps_SPR,554.8511891130098,464158.8833612772,2.0187004472713936,-4.219095303226039,0.007611952567940201,ok
Hache1988_ps_SPR,554.8511891130098,681292.0690579609,2.032814042188975,-4.204539716726057,0.011035622579589652,ok
Hache1988_ps_SPR,554.8511891130098,1000000.0,2.052805019939464,-4.1837967005352175,0.0159146594005258,ok
Hache1988_ps_SPR,554.8511891130098,1467799.2676220676,2.080710418407184,-4.154591683683264,0.022784072761909174,ok
Hache1988_ps_SPR,554.8511891130098,2154434.6900318824,2.1189114144315635,-4.11413178596106,0.03230078570962028,ok
Hache1988_ps_SPR,554.8511891130098,3162277.6601683795,2.169907658260626,-4.059236132978143,0.045212982747352595,ok
Hache1988_ps_SPR,554.8511891130098,4641588.833612773,2.2359009661490696,-3.986649788782249,0.0622862686557593,ok
Hache1988_ps_SPR,554.8511891130098,6812920.690579608,2.318236536191244,-3.893539939487878,0.08418695941931756,ok
Hache1988_ps_SPR,554.8511891130098,10000000.0,2.416868130853392,-3.778075320589745,0.11134579311719342,ok
Hache1988_ps_SPR,554.8511891130098,14677992.676220676,2.5300792464720794,-3.639905876014753,0.1438451076531093,ok
Hache1988_ps_SPR,554.8511891130098,21544346.900318824,2.654617567670481,-3.4803657332731697,0.18137109826566825,ok
Hache1988_ps_SPR,554.8511891130098,31622776.60168379,2.786209635011721,-3.3023332969815904,0.22324672541632315,questionable
Hache1988_ps_SPR,554.8511891130098,46415888.33612773,2.9202550888935614,-3.109821375241535,0.26852812258621583,questionable
Hache1988_ps_SPR,554.8511891130098,68129206.90579608,3.0524660950481683,-2.9074473966074676,0.3161292083815892,questionable
Hache1988_ps_SPR,554.8511891130098,100000000.0,3.1793027245423056,-2.6999257673188635,0.36494109095086147,questionable
Hache1988_ps_SPR,554.8511891130098,146779926.76220676,3.2981702723047612,-2.4916690428245007,0.4139258778144173,questionable
Hache1988_ps_SPR,554.8511891130098,215443469.00318778,3.4074228454419684,-2.286526765289783,0.4621781048008001,questionable
Hache1988_ps_SPR,554.8511891130098,316227766.01683795,3.506245378797655,-2.0876522674746294,0.5089560655688121,questionable
Hache1988_ps_SPR,554.8511891130098,464158883.3612773,3.594480321894104,-1.897469831131653,0.5536895363946469,questionable
Hache1988_ps_SPR,554.8511891130098,681292069.0579594,3.6724459367967723,-1.7177107519030121,0.5959712932223472,questionable
Hache1988_ps_SPR,554.8511891130098,1000000000.0,3.74077327109935,-1.549490368693786,0.6355389933175856,questionable
Hache1988_ps_SPR,554.8511891130098,1467799267.6220675,3.8002736740657705,-1.3934043955129791,0.6722525167210495,questionable
Hache1988_ps_SPR,554.8511891130098,2154434690.031878,3.8518390141075813,-1.2496294170153084,0.7060703283433166,questionable
Hache1988_ps_SPR,554.8511891130098,3162277660.1683793,3.8963715076881114,-1.1180180080758861,0.7370271045596082,breakdown
Hache1988_ps_SPR,554.8511891130098,4641588833.612773,3.9347378611384345,-0.9981832338713766,0.7652138576524675,breakdown
Hache1988_ps_SPR,554.8511891130098,6812920690.579595,3.967742029933698,-0.889570309504728,0.7907610805027521,breakdown
Hache1988_ps_SPR,554.8511891130098,10000000000.0,3.9961114360748877,-0.7915151549183905,0.8138249736852974,breakdown
Hache1988_ps_SPR,554.8511891130098,14677992676.220675,4.020492396518457,-0.7032907286140296,0.8345765471539159,breakdown
Hache1988_ps_SPR,554.8511891130098,21544346900.31878,4.041451488078078,-0.6241426025017778,0.8531932525576515,breakdown
Hache1988_ps_SPR,554.8511891130098,31622776601.683792,4.059480450453068,-0.5533154464850826,0.869852753709671,breakdown
Hache1988_ps_SPR,554.8511891130098,46415888336.12772,4.075002948967052,-0.4900720719891167,0.8847284472928609,breakdown
Hache1988_ps_SPR,554.8511891130098,68129206905.795944,4.088382074693768,-0.4337065414487849,0.8979863793316611,breakdown
Hache1988_ps_SPR,554.8511891130098,100000000000.0,4.099927869510712,-0.3835526531512813,0.9097832494428028,breakdown
Hache1988_ps_SPR,554.8511891130098,146779926762.20676,4.109904453889558,-0.3389888993930173,0.920265244610011,breakdown
Hache1988_ps_SPR,554.8511891130098,215443469003.18777,4.118536533236124,-0.2994407941209814,0.9295674916914041,breakdown
Hache1988_ps_SPR,554.8511891130098,316227766016.83795,4.126015188412244,-0.2643812858913352,0.9378139602860678,breakdown
Hache1988_ps_SPR,554.8511891130098,464158883361.2773,4.132502937285364,-0.23332981752093743,0.9451176839166848,breakdown
Hache1988_ps_SPR,554.8511891130098,681292069057.9595,4.138138101813437,-0.20585046546740304,0.9515811976724072,breakdown
Hache1988_ps_SPR,554.8511891130098,1000000000000.0,4.143038540420269,-0.181549487696612,0.957297114983449,breakdown
Guillet2009_2ps_TTM,554.8511891130098,10000.0,1.9914122127970844,-4.24760913892015,0.0009051143252391046,ok
Guillet2009_2ps_TTM,554.8511891130098,14677.992676220705,1.993433240283014,-4.245817830639455,0.001326454162163054,ok
Guillet2009_2ps_TTM,554.8511891130098,21544.346900318822,1.9963853503781996,-4.243198613595875,0.001942529292225025,ok
Guillet2009_2ps_TTM,554.8511891130098,31622.776601683792,2.0006878916804696,-4.239375587018175,0.0028417566402831173,ok
Guillet2009_2ps_TTM,554.8511891130098,46415.88833612782,2.006938418168324,-4.233809688603683,0.004150930921209983,ok
Guillet2009_2ps_TTM,554.8511891130098,68129.20690579608,2.015976847224366,-4.225736046541456,0.006049960287925733,ok
Guillet2009_2ps_TTM,554.8511891130098,100000.0,2.028960484421267,-4.214085901055976,0.008790231436054279,ok
Guillet2009_2ps_TTM,554.8511891130098,146779.92676220674,2.047438502277763,-4.197398308691686,0.012715377945562467,ok
Guillet2009_2ps_TTM,554.8511891130098,215443.46900318822,2.073399385280703,-4.17373755498095,0.018280705933724824,ok
Guillet2009_2ps_TTM,554.8511891130098,316227.7660168379,2.109244043804948,-4.1406489187491,0.026063598886441004,ok
Guillet2009_2ps_TTM,554.8511891130098,464158.8833612772,2.1576198522467367,-4.09520412949043,0.036752825471080816,ok
