lambda_nm,width_nm,neff_real,neff_imag,ratio_imag_real
700,900,1.63934178,0.0255234425,0.0155693235
725,900,1.6183026,0.0229265827,0.0141670554
750,900,1.59949739,0.0196080519,0.0122588833
775,900,1.58279318,0.0167810332,0.0106021642
800,900,1.56741112,0.014496901,0.00924894611
450,1000,2.40440633,0.204958208,0.0852427504
475,1000,2.21043133,0.133738684,0.0605034328
500,1000,2.075756,0.101748782,0.0490176983
525,1000,1.96744088,0.0793907832,0.0403523094
550,1000,1.8917965,0.0624338465,0.0330024114
575,1000,1.82962066,0.0499015334,0.0272742511
600,1000,1.78074544,0.0433938069,0.0243683381
625,1000,1.73956576,0.039159209,0.0225109104
650,1000,1.70081649,0.0345404154,0.0203081376
675,1000,1.66943652,0.0294923111,0.0176660273
700,1000,1.64405024,0.0257117658,0.0156392823
725,1000,1.62307463,0.0231420025,0.0142581259
750,1000,1.60429517,0.0198376316,0.0123653253
775,1000,1.58758308,0.0170211011,0.0107213923
800,1000,1.57215248,0.0147471434,0.00938022462
450,1200,2.40738986,0.204767695,0.0850579705
475,1200,2.21394331,0.133606567,0.0603477813
500,1200,2.0797623,0.101656032,0.0488786779
525,1200,1.97191617,0.0793399756,0.0402349637
550,1200,1.89669826,0.0624219033,0.0329108243
575,1200,1.83491415,0.0499264317,0.0272091376
600,1200,1.78639662,0.0434551917,0.0243256124
625,1200,1.74553702,0.0392614553,0.0224924793
650,1200,1.70705019,0.0346874101,0.0203200881
675,1200,1.67588772,0.0296758714,0.0177075535
700,1200,1.65068356,0.0259297533,0.0157084943
725,1200,1.62985856,0.0233968165,0.0143551207
750,1200,1.61118132,0.020114557,0.0124843534
775,1200,1.59452705,0.0173159628,0.0108596231
800,1200,1.5790999,0.0150599762,0.00953706356
450,1500,2.40985828,0.204600993,0.0849016702
475,1500,2.21686521,0.13348503,0.0602134175
500,1500,2.08311557,0.101563224,0.0487554438
525,1500,1.97568883,0.0792778943,0.0401267108
550,1500,1.90086054,0.062389288,0.0328216019
575,1500,1.83944517,0.0499220774,0.0271397474
600,1500,1.79127385,0.0434776802,0.0242719337
625,1500,1.75073617,0.0393138888,0.022455633
650,1500,1.71253389,0.0347740036,0.0203055857
675,1500,1.68162326,0.0297921939,0.0177163307
700,1500,1.65664435,0.0260745292,0.0157393645
725,1500,1.6360206,0.0235719897,0.0144081253
750,1500,1.61750803,0.0203105909,0.0125567172
775,1500,1.60098362,0.0175301568,0.0109496166
800,1500,1.58564302,0.0152928174,0.00964455251
450,2000,2.41179995,0.204462699,0.084775978
475,2000,2.21917649,0.133379705,0.0601032434
500,2000,2.08578405,0.101477321,0.0486518828
525,2000,1.97871249,0.079212773,0.0400324826
550,2000,1.90422062,0.0623449124,0.032740383
575,2000,1.84313205,0.0498977744,0.0270722732
600,2000,1.79527495,0.0434712712,0.0242142693
625,2000,1.75503869,0.0393271775,0.0224081542
650,2000,1.71711815,0.0348108581,0.020272838
675,2000,1.68646855,0.0298509913,0.0177002953
700,2000,1.66173334,0.0261545495,0.0157393181
725,2000,1.64133758,0.0236745221,0.0144239201
750,2000,1.62302918,0.0204304943,0.0125878786
775,2000,1.60668539,0.017665939,0.0109952696
800,2000,1.59149545,0.0154451495,0.00970480277
