width_nm,analytic_real,analytic_imag,analytic_ratio,analytic_L_power_um,comsol_real,comsol_imag,comsol_ratio,comsol_L_power_um,delta_real,delta_ratio,mode_count,candidate_count
400,2.01513048,0.101571064,0.0504042120389,0.391732981875,1.81790299795,0.0939512265145,0.051681099938,0.423504165396,-0.197227482053,0.00127688789908,20,3
800,2.06858879,0.101873434,0.0492477937096,0.390570281286,1.95212335114,0.0833229113681,0.0426832204632,0.477524550207,-0.116465438859,-0.00656457324643,20,5
1200,2.0797623,0.101656032,0.0488786781066,0.391405556465,1.97085186243,0.0820765424838,0.0416452114175,0.484775973365,-0.108910437565,-0.00723346668909,20,8
2000,2.08578405,0.101477321,0.0486518827297,0.392094858052,1.97938972033,0.0815847399414,0.0412171181367,0.487698260748,-0.106394329672,-0.00743476459293,20,12
