lambda_nm,analytic_real,analytic_imag,analytic_ratio,analytic_L_power_um,comsol_real,comsol_imag,comsol_ratio,comsol_L_power_um,delta_real,delta_imag,delta_ratio,delta_real_percent,delta_ratio_percent,mode_row,mode_count,physical_candidate_count,field_pool_count,ag_frac,sub_frac,air_frac,selection_rule
450,2.39898973,0.205278903,0.0855688961203,0.174444921871,2.39577123434,0.206489496423,0.0861891542328,0.173422197332,-0.00321849565717,0.00121059342328,0.000620258112514,-0.134160460002,0.724863987543,15,20,6,6,0.176760481518,0.542543389533,0.280696128949,field_pool_closest_to_edp
500,2.06858879,0.101873434,0.0492477937096,0.390570281286,2.06010552548,0.103398111824,0.0501906871006,0.384811048009,-0.00848326452196,0.00152467782354,0.000942893390982,-0.410099124726,1.91459011655,17,20,4,4,0.121474788183,0.604115514546,0.274409697271,field_pool_closest_to_edp
550,1.88318726,0.0623954874,0.0331329171163,0.701454723315,1.8666407544,0.0644479011286,0.0345261405959,0.679116132315,-0.0165465055951,0.00205241372855,0.00139322347959,-0.878643666861,4.20495265993,18,20,3,3,0.0863143718602,0.658550569689,0.255135058451,field_pool_closest_to_edp
600,1.77102486,0.0432107061,0.0243987010436,1.10496881993,1.74329368187,0.0458662569944,0.026310114854,1.04099366411,-0.0277311781261,0.00265555089438,0.00191141381037,-1.56582658733,7.83408021169,19,20,2,2,0.0634821543102,0.700995184271,0.235522661419,field_pool_closest_to_edp
650,1.69035403,0.034190244,0.02022667642,1.51286889046,1.64748880305,0.0377498358164,0.022913561383,1.37021407872,-0.0428652269497,0.00355959181643,0.00268688496299,-2.5358727337,13.2838678348,19,20,1,1,0.0468636227017,0.734552963972,0.218583413327,field_pool_closest_to_edp
700,1.63321641,0.0252388481,0.0154534622267,2.20708290099,1.57157220493,0.0291936475465,0.0185760777996,1.90809421787,-0.0616442050697,0.00395479944653,0.00312261557291,-3.77440519776,20.2065758928,20,20,1,1,0.034926659796,0.756720262384,0.20835307782,field_pool_closest_to_edp
750,1.59336098,0.0192723921,0.0120954337039,3.09681866941,1.51073916205,0.0231027072902,0.015292320389,2.58338137214,-0.0826218179534,0.00383031519018,0.00319688668505,-5.1853797721,26.4305254636,20,20,1,1,0.0264162551886,0.76844267964,0.205141065171,field_pool_closest_to_edp
800,1.56145898,0.014141931,0.009056870005,4.50164671548,1.45726720493,0.0162217161137,0.0111316003399,3.92449089792,-0.104191775068,0.00207978511368,0.00207473033486,-6.67271932231,22.907807374,19,20,2,2,0.0188272396588,0.781622715945,0.199550044396,field_pool_closest_to_edp
