lambda_nm,mode_row,neff_real,neff_imag,ratio,ag_frac,sub_frac,air_frac,distance_to_edp
450,15,2.39577123434,0.206489496423,0.0861891542328,0.176760481518,0.542543389533,0.280696128949,0.00343864082621
450,16,2.3392492969,0.213335308442,0.091198192824,0.176924758043,0.541761226463,0.281314015494,0.0602812161139
450,17,2.24217313584,0.225446862661,0.100548373833,0.177167971204,0.540628922341,0.282203106455,0.15810816172
450,18,2.09949360268,0.244307377835,0.116364907005,0.177456529632,0.539350048667,0.283193421702,0.302028396223
450,19,1.90215238739,0.273229272959,0.143642157574,0.177764404198,0.538118032132,0.284117563669,0.501462459
450,20,1.63308802358,0.320203478784,0.196072394238,0.1780946065,0.536997268155,0.284908125345,0.774476004805
500,17,2.06010552548,0.103398111824,0.0501906871006,0.121474788183,0.604115514546,0.274409697271,0.00861918902305
500,18,1.97082332561,0.109573409813,0.0555977841286,0.12140456712,0.600549238165,0.278046194715,0.0980682193956
500,19,1.8156082447,0.120276780255,0.0662459980593,0.121108742918,0.597026219078,0.281865038005,0.253649047812
500,20,1.58021829321,0.136954986894,0.0866683973233,0.120191203213,0.595512435866,0.284296360921,0.489628897725
550,18,1.8666407544,0.0644479011286,0.0345261405959,0.0863143718602,0.658550569689,0.255135058451,0.0166733094952
550,19,1.73885555092,0.0703212310971,0.0404410999291,0.0859119160851,0.650001591341,0.264086492574,0.144549160004
550,20,1.51679492472,0.0782503948162,0.0515893042237,0.0841604229331,0.646758359746,0.269081217321,0.366735219804
600,19,1.74329368187,0.0458662569944,0.026310114854,0.0634821543102,0.700995184271,0.235522661419,0.0278580363776
600,20,1.5731663357,0.0506909733188,0.0322222591269,0.062323269629,0.687867465071,0.2498092653,0.197999873825
650,19,1.64748880305,0.0377498358164,0.022913561383,0.0468636227017,0.734552963972,0.218583413327,0.0430127699102
700,20,1.57157220493,0.0291936475465,0.0185760777996,0.034926659796,0.756720262384,0.20835307782,0.0617709353769
750,20,1.51073916205,0.0231027072902,0.015292320389,0.0264162551886,0.76844267964,0.205141065171,0.0827105562572
800,19,1.45726720493,0.0162217161137,0.0111316003399,0.0188272396588,0.781622715945,0.199550044396,0.104212530427
800,20,1.72831827261,0.0321997234851,0.0186306677395,0.0280853213833,0.579306684464,0.392607994153,0.167833570538
