tag,scheme,state,box,scale,elements,N,dir,variant,T_guided,R_guided,P_trans,P_refl,balance,t_re,t_im,r_re,r_im,eta_conj,eta_unconj,n1_re,n1_im,n2_re,n2_im,rho1,rho2,biorth1,biorth2
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,30,21,1,0.990973,0.000384,0.998623,0.001041,3.36e-04,4.680872e-01,8.247966e-01,-1.785801e-02,8.057328e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,30,21,2,0.981193,0.000157,1.005251,0.003268,-8.52e-03,4.547265e-01,8.268875e-01,7.937208e-03,9.683217e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,40,12,1,0.987301,0.001187,0.989190,0.020040,-9.23e-03,5.383577e-01,-8.933088e-01,-2.714405e-02,2.121931e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,40,12,2,0.996300,0.000189,0.996770,0.004404,-1.17e-03,5.237885e-01,-9.074088e-01,1.155460e-02,-7.472409e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,40,21,1,0.989755,0.000418,0.997931,0.001157,9.13e-04,4.684202e-01,8.239368e-01,-1.875578e-02,8.133109e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,40,21,2,0.980769,0.000415,1.003707,0.003610,-7.32e-03,4.507633e-01,8.288226e-01,9.471275e-03,1.804459e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,50,12,1,0.991580,0.001197,0.993728,0.020133,-1.39e-02,5.373751e-01,-8.965333e-01,-2.628691e-02,2.249550e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,50,12,2,0.997391,0.000212,0.997550,0.004510,-2.06e-03,5.230642e-01,-9.084879e-01,1.332509e-02,-5.900578e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,50,21,1,0.990886,0.000476,0.998901,0.001242,-1.43e-04,4.696134e-01,8.238805e-01,-1.955363e-02,9.661286e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,50,21,2,0.985143,0.000435,1.007423,0.003561,-1.10e-02,4.537583e-01,8.295825e-01,1.404205e-02,1.542759e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
