side,rank,re_neff,im_neff,tm_fraction,guided
1,125,-0.0356267,5.6056e+00,0.2465,0
1,126,0.0000001,5.6282e+00,0.1748,0
1,127,-0.0231846,5.6524e+00,0.2206,0
1,128,0.0231851,5.6524e+00,0.2206,0
1,129,0.0000001,5.6762e+00,0.1027,0
1,130,0.0050299,5.7836e+00,0.1291,0
1,131,-0.0050290,5.7836e+00,0.1291,0
1,132,0.0000001,5.8032e+00,0.3572,0
1,133,0.0134212,5.8333e+00,0.3679,0
1,134,-0.0134208,5.8333e+00,0.3679,0
1,135,0.0000000,5.8645e+00,0.3942,0
1,136,0.0000000,5.8918e+00,0.2320,0
1,137,-0.0000000,5.9036e+00,0.1859,0
1,138,0.0000002,5.9458e+00,0.1650,0
1,139,-0.0000001,5.9752e+00,0.2831,0
1,140,-0.0061784,5.9955e+00,0.2438,0
1,141,0.0061786,5.9955e+00,0.2438,0
1,142,0.0000002,6.0083e+00,0.2500,0
1,143,-0.0281861,6.0627e+00,0.1713,0
1,144,0.0281876,6.0627e+00,0.1713,0
1,145,0.0000001,6.0749e+00,0.3024,0
1,146,-0.0000000,6.1204e+00,0.2157,0
1,147,0.0000003,6.1528e+00,0.4061,0
1,148,0.0000001,6.2072e+00,0.1644,0
1,149,0.0000000,6.2207e+00,0.2243,0
1,150,0.0000003,6.2309e+00,0.1322,0
1,151,-0.0186441,6.2320e+00,0.2176,0
1,152,0.0186449,6.2320e+00,0.2176,0
1,153,-0.0000002,6.2720e+00,0.2442,0
1,154,0.0000003,6.2786e+00,0.2404,0
1,155,-0.0051392,6.3275e+00,0.3006,0
1,156,0.0051393,6.3275e+00,0.3006,0
1,157,0.0000000,6.3507e+00,0.2954,0
1,158,-0.0023639,6.3671e+00,0.3126,0
1,159,0.0023641,6.3671e+00,0.3126,0
1,160,0.0000000,6.4045e+00,0.2766,0
1,161,0.0000003,6.4450e+00,0.2911,0
1,162,0.0000001,6.4579e+00,0.1729,0
1,163,0.0000002,6.4891e+00,0.4025,0
1,164,0.0000001,6.5220e+00,0.4006,0
1,165,-0.0018465,6.5827e+00,0.0771,0
1,166,0.0018463,6.5827e+00,0.0771,0
1,167,0.0000005,6.5927e+00,0.0761,0
1,168,-0.0074560,6.6200e+00,0.1484,0
1,169,0.0074561,6.6200e+00,0.1484,0
