side,rank,re_neff,im_neff,tm_fraction,guided
1,109,0.0062835,3.3674e+00,0.3003,0
1,110,0.0000001,3.3994e+00,0.2789,0
1,111,0.0000004,3.4184e+00,0.3812,0
1,112,-0.0000001,3.4221e+00,0.3798,0
1,113,-0.0000000,3.4390e+00,0.4055,0
1,114,0.0000000,3.4953e+00,0.2439,0
1,115,0.0000001,3.5079e+00,0.1156,0
1,116,-0.0000002,3.5169e+00,0.4335,0
1,117,-0.0042710,3.5341e+00,0.4052,0
1,118,0.0042711,3.5341e+00,0.4052,0
1,119,-0.0179341,3.5527e+00,0.1240,0
1,120,0.0179340,3.5527e+00,0.1240,0
1,121,-0.0000002,3.5745e+00,0.3739,0
1,122,0.0000000,3.5990e+00,0.4046,0
1,123,-0.0220426,3.6487e+00,0.1686,0
1,124,0.0220430,3.6487e+00,0.1686,0
1,125,0.0120401,3.6635e+00,0.1434,0
1,126,-0.0120401,3.6635e+00,0.1434,0
1,127,-0.0000001,3.6714e+00,0.1017,0
1,128,-0.0084336,3.7143e+00,0.1577,0
1,129,0.0084337,3.7143e+00,0.1577,0
1,130,0.0000002,3.7330e+00,0.2344,0
1,131,0.0031055,3.7579e+00,0.3557,0
1,132,-0.0031055,3.7579e+00,0.3557,0
1,133,-0.0000000,3.7756e+00,0.2733,0
1,134,0.0000000,3.8051e+00,0.4144,0
1,135,-0.0000000,3.8361e+00,0.3192,0
1,136,-0.0103758,3.8550e+00,0.1266,0
1,137,0.0103761,3.8550e+00,0.1266,0
1,138,-0.0000000,3.8950e+00,0.4282,0
1,139,-0.0208446,3.9057e+00,0.1605,0
1,140,0.0208445,3.9057e+00,0.1605,0
1,141,0.0000001,3.9201e+00,0.2422,0
1,142,0.0000002,3.9360e+00,0.2809,0
1,143,0.0000001,3.9741e+00,0.3355,0
1,144,0.0000001,3.9943e+00,0.3659,0
1,145,-0.0549831,3.9959e+00,0.2277,0
1,146,0.0549851,3.9959e+00,0.2277,0
1,147,0.0000013,4.0239e+00,0.2169,0
1,148,-0.0025462,4.0374e+00,0.3422,0
1,149,0.0025463,4.0374e+00,0.3422,0
1,150,0.0000004,4.0561e+00,0.2405,0
1,151,-0.0000002,4.0714e+00,0.3631,0
1,152,0.0000000,4.0985e+00,0.3244,0
1,153,0.0190077,4.0988e+00,0.2134,0
1,154,-0.0190076,4.0988e+00,0.2134,0
1,155,0.0000000,4.1353e+00,0.2796,0
1,156,-0.0157145,4.1520e+00,0.2993,0
1,157,0.0157144,4.1520e+00,0.2993,0
1,158,0.0000001,4.1589e+00,0.2829,0
1,159,-0.0000000,4.1682e+00,0.3065,0
1,160,0.0000002,4.1967e+00,0.1646,0
1,161,-0.0000000,4.2054e+00,0.2341,0
1,162,-0.0000000,4.2348e+00,0.2019,0
1,163,0.0000001,4.2682e+00,0.2145,0
1,164,0.0000000,4.2785e+00,0.0745,0
1,165,-0.0070423,4.3024e+00,0.4155,0
1,166,0.0070424,4.3024e+00,0.4155,0
1,167,-0.0000001,4.3195e+00,0.1245,0
1,168,0.0000002,4.3477e+00,0.4282,0
1,169,0.0000001,4.3709e+00,0.3208,0
1,170,0.0008955,4.3863e+00,0.3748,0
1,171,-0.0008953,4.3863e+00,0.3748,0
1,172,-0.0000001,4.4126e+00,0.1631,0
1,173,0.0000000,4.4213e+00,0.1665,0
1,174,0.0226547,4.4327e+00,0.1685,0
1,175,-0.0226536,4.4327e+00,0.1685,0
1,176,-0.0000018,4.4477e+00,0.2681,0
1,177,0.0000018,4.4484e+00,0.2590,0
1,178,0.0000000,4.4543e+00,0.4332,0
1,179,0.0000001,4.4660e+00,0.1360,0
1,180,0.0000000,4.4845e+00,0.3306,0
1,181,0.0299082,4.4912e+00,0.2574,0
1,182,-0.0299082,4.4912e+00,0.2574,0
1,183,0.0000000,4.5064e+00,0.2725,0
1,184,0.0000000,4.5405e+00,0.2819,0
1,185,0.0000001,4.5630e+00,0.3443,0
1,186,0.0000000,4.5732e+00,0.3706,0
1,187,0.0074978,4.6000e+00,0.1632,0
1,188,-0.0074976,4.6000e+00,0.1632,0
1,189,0.0000001,4.6040e+00,0.3425,0
1,190,-0.0000000,4.6247e+00,0.4944,0
1,191,0.0021169,4.6608e+00,0.3595,0
1,192,-0.0021169,4.6608e+00,0.3595,0
1,193,0.0000000,4.6966e+00,0.1681,0
1,194,0.0000001,4.7151e+00,0.2164,0
1,195,0.0000001,4.7307e+00,0.2006,0
1,196,-0.0025197,4.7461e+00,0.2919,0
1,197,0.0025198,4.7461e+00,0.2919,0
1,198,0.0000000,4.7512e+00,0.2181,0
1,199,-0.0018391,4.7872e+00,0.3160,0
2,0,1.3110915,1.9248e-04,0.0057,0
2,1,1.2594039,1.2381e-03,0.7608,0
2,2,1.8883690,2.4537e-02,0.5919,1
2,3,1.1489827,1.1980e-03,0.7665,0
2,4,1.0675119,7.1900e-03,0.1382,0
2,5,0.9488261,1.9564e-05,0.0013,0
2,6,0.8908904,1.4631e-03,0.5507,0
2,7,0.8353136,2.4077e-03,0.4681,0
2,8,0.7648361,2.5125e-03,0.2359,0
2,9,0.7510077,8.9373e-04,0.6994,0
2,10,0.5759467,4.2255e-03,0.1898,0
2,11,0.4542071,4.9193e-03,0.1212,0
2,12,0.2840970,3.7345e-03,0.2419,0
2,13,0.2458931,3.0026e-03,0.1066,0
2,14,0.0073396,1.4479e-01,0.6685,0
2,15,0.0002487,4.7396e-01,0.0632,0
2,16,0.0016018,6.7529e-01,0.0141,0
2,17,0.0034346,7.5800e-01,0.1258,0
2,18,0.0027582,7.7484e-01,0.2970,0
2,19,-0.0056020,8.4900e-01,0.2093,0
2,20,0.0083724,8.5086e-01,0.2074,0
2,21,-0.0001351,8.9561e-01,0.3985,0
2,22,0.0025370,1.0177e+00,0.0223,0
2,23,-0.0249821,1.1205e+00,0.2790,0
2,24,0.0270796,1.1215e+00,0.2862,0
2,25,0.0034608,1.1987e+00,0.2825,0
2,26,-0.0001156,1.2444e+00,0.5452,0
2,27,-0.0000824,1.2593e+00,0.1616,0
2,28,0.0005095,1.3175e+00,0.2809,0
2,29,-0.0381390,1.3256e+00,0.1761,0
2,30,0.0413727,1.3324e+00,0.1715,0
2,31,0.0015337,1.4048e+00,0.3400,0
2,32,0.0003756,1.5625e+00,0.0741,0
2,33,-0.0230596,1.5667e+00,0.3151,0
2,34,0.0263040,1.5697e+00,0.3080,0
2,35,0.0023194,1.6082e+00,0.4030,0
2,36,0.0000944,1.6327e+00,0.1949,0
2,37,0.0286668,1.6337e+00,0.2269,0
2,38,-0.0186891,1.6357e+00,0.2500,0
2,39,0.0004644,1.7779e+00,0.4562,0
2,40,-0.0258376,1.7864e+00,0.1647,0
2,41,0.0264889,1.7868e+00,0.1638,0
2,42,0.0000901,1.8239e+00,0.3656,0
2,43,0.0000138,1.8778e+00,0.0457,0
2,44,-0.0330842,1.9303e+00,0.1690,0
2,45,0.0410980,1.9339e+00,0.1710,0
2,46,0.0005521,1.9712e+00,0.2679,0
2,47,0.0000172,1.9914e+00,0.5507,0
2,48,0.0004547,1.9929e+00,0.3147,0
2,49,0.0009536,2.0438e+00,0.2664,0
2,50,0.0047258,2.1138e+00,0.3399,0
2,51,-0.0021612,2.1152e+00,0.3235,0
2,52,0.0017958,2.1689e+00,0.1654,0
2,53,0.0007074,2.2074e+00,0.2696,0
2,54,0.0151875,2.2391e+00,0.2459,0
2,55,-0.0143210,2.2396e+00,0.2272,0
2,56,0.0016374,2.2497e+00,0.2284,0
2,57,0.0003678,2.2918e+00,0.2596,0
2,58,0.0003104,2.2949e+00,0.2914,0
2,59,0.0033431,2.3242e+00,0.3413,0
2,60,-0.0042534,2.3515e+00,0.1736,0
2,61,0.0070006,2.3529e+00,0.1727,0
2,62,0.0049423,2.4205e+00,0.3730,0
2,63,-0.0010239,2.4228e+00,0.3765,0
2,64,0.0004420,2.4333e+00,0.3755,0
2,65,0.0009929,2.4633e+00,0.2151,0
2,66,0.0004017,2.4880e+00,0.1267,0
2,67,0.0004226,2.5110e+00,0.3595,0
2,68,0.0197120,2.5575e+00,0.1821,0
2,69,-0.0173431,2.5578e+00,0.1793,0
2,70,0.0007619,2.5845e+00,0.3288,0
2,71,0.0035648,2.6132e+00,0.3858,0
2,72,-0.0002248,2.6167e+00,0.4442,0
2,73,0.0000694,2.6929e+00,0.3380,0
2,74,0.0004346,2.7084e+00,0.2887,0
2,75,0.0375010,2.7396e+00,0.2059,0
2,76,-0.0379858,2.7429e+00,0.1994,0
2,77,0.0001136,2.7679e+00,0.2546,0
2,78,0.0009666,2.8009e+00,0.2518,0
2,79,-0.0003365,2.8010e+00,0.2506,0
2,80,0.0016371,2.8595e+00,0.3988,0
2,81,-0.2784483,2.8839e+00,0.1606,0
2,82,-0.0087219,2.8998e+00,0.1320,0
2,83,0.0098758,2.9003e+00,0.1422,0
2,84,0.2788019,2.9034e+00,0.1594,0
2,85,-0.0087911,2.9352e+00,0.2382,0
2,86,0.0110422,2.9374e+00,0.2405,0
2,87,0.0014523,2.9469e+00,0.3870,0
2,88,0.0013190,2.9789e+00,0.2715,0
2,89,0.0003557,3.0094e+00,0.2631,0
2,90,0.0048435,3.0376e+00,0.2773,0
2,91,-0.0116252,3.0441e+00,0.2464,0
2,92,0.0111555,3.0455e+00,0.2371,0
2,93,0.0015583,3.0486e+00,0.3748,0
2,94,0.0005023,3.0752e+00,0.1444,0
2,95,-0.0005264,3.0883e+00,0.2460,0
2,96,0.0161128,3.1104e+00,0.2403,0
2,97,-0.0097781,3.1109e+00,0.2684,0
2,98,0.0075806,3.1659e+00,0.2233,0
2,99,-0.0060725,3.1663e+00,0.2272,0
2,100,0.0003461,3.2222e+00,0.3600,0
2,101,0.0054004,3.2648e+00,0.1667,0
2,102,-0.0142916,3.2905e+00,0.2125,0
2,103,0.0167766,3.2930e+00,0.2190,0
2,104,0.0005536,3.3135e+00,0.3380,0
2,105,0.0001037,3.3206e+00,0.3235,0
2,106,0.0002387,3.3368e+00,0.4166,0
2,107,-0.0125103,3.3387e+00,0.1563,0
2,108,0.0158064,3.3426e+00,0.1777,0
2,109,0.0015151,3.3955e+00,0.3073,0
2,110,-0.0059190,3.4012e+00,0.3020,0
2,111,0.0077241,3.4015e+00,0.3055,0
2,112,0.0001031,3.4276e+00,0.4182,0
2,113,4.0961727,4.6501e-01,0.5047,0
2,114,0.0002170,3.4627e+00,0.3492,0
2,115,-0.0008686,3.4981e+00,0.2298,0
2,116,-0.0005753,3.5056e+00,0.4125,0
2,117,-0.0025398,3.5179e+00,0.1534,0
2,118,0.0089130,3.5307e+00,0.1287,0
2,119,0.0000891,3.5420e+00,0.3513,0
2,120,-0.0083866,3.5481e+00,0.1940,0
2,121,0.0090685,3.5501e+00,0.1883,0
2,122,-0.0001620,3.5672e+00,0.3849,0
2,123,0.0007066,3.5987e+00,0.3767,0
2,124,-0.0114882,3.6379e+00,0.1186,0
2,125,0.0185983,3.6390e+00,0.1348,0
2,126,-0.0171743,3.6710e+00,0.0524,0
2,127,0.0189567,3.6714e+00,0.0538,0
2,128,-0.0135750,3.7283e+00,0.2077,0
2,129,0.0170978,3.7286e+00,0.2101,0
2,130,0.0002235,3.7300e+00,0.1399,0
2,131,0.0006330,3.7477e+00,0.4006,0
2,132,0.0065390,3.7517e+00,0.3100,0
2,133,-0.0000822,3.7720e+00,0.2487,0
2,134,0.0004760,3.8117e+00,0.5588,0
2,135,0.0135624,3.8331e+00,0.3630,0
2,136,-0.0104587,3.8331e+00,0.3572,0
2,137,0.0022056,3.8645e+00,0.2859,0
2,138,-0.0244851,3.8923e+00,0.1489,0
2,139,0.0004032,3.8961e+00,0.1272,0
2,140,0.0314015,3.9013e+00,0.1857,0
2,141,0.0096443,3.9151e+00,0.2864,0
2,142,-0.0003387,3.9178e+00,0.4222,0
2,143,0.0005979,3.9233e+00,0.4315,0
2,144,-0.0294793,3.9792e+00,0.2478,0
2,145,0.0303653,3.9838e+00,0.2408,0
2,146,-0.0095713,4.0001e+00,0.3392,0
2,147,0.0107509,4.0011e+00,0.3338,0
2,148,0.0009542,4.0324e+00,0.2085,0
2,149,-0.0008516,4.0434e+00,0.2579,0
2,150,-0.0039634,4.0808e+00,0.2024,0
2,151,0.0074778,4.0843e+00,0.1588,0
2,152,-0.0100383,4.0987e+00,0.2365,0
2,153,0.0023279,4.1094e+00,0.2318,0
2,154,-0.0074772,4.1239e+00,0.2712,0
2,155,0.0352717,4.1281e+00,0.2776,0
2,156,0.0061058,4.1353e+00,0.3000,0
2,157,0.0015208,4.1488e+00,0.2534,0
2,158,0.0039572,4.1695e+00,0.3114,0
2,159,-0.0001048,4.1791e+00,0.3073,0
2,160,0.0002519,4.1972e+00,0.1305,0
2,161,0.0013513,4.2127e+00,0.2316,0
2,162,0.0004647,4.2376e+00,0.2011,0
2,163,-0.0088088,4.2729e+00,0.2685,0
2,164,0.0111924,4.2734e+00,0.2487,0
2,165,0.0006364,4.2875e+00,0.1119,0
2,166,0.0043838,4.3039e+00,0.3245,0
2,167,-0.0035587,4.3258e+00,0.1880,0
2,168,0.0015233,4.3505e+00,0.4022,0
2,169,0.0063835,4.3514e+00,0.3140,0
2,170,0.0001199,4.3768e+00,0.2912,0
2,171,0.0140160,4.3961e+00,0.2006,0
2,172,-0.0000218,4.4042e+00,0.3339,0
2,173,0.1500733,4.4250e+00,0.2390,0
2,174,-0.0066994,4.4335e+00,0.1723,0
2,175,0.0022256,4.4346e+00,0.1809,0
2,176,0.0156013,4.4464e+00,0.1745,0
2,177,-0.0038376,4.4505e+00,0.1505,0
2,178,-0.0002967,4.4544e+00,0.2082,0
2,179,0.0688876,4.4542e+00,0.2278,0
