side,rank,re_neff,im_neff,tm_fraction,guided
1,0,1.8859720,-2.4953e-16,0.5525,1
1,1,1.1305821,4.0288e-15,0.1183,0
1,2,1.0579374,3.5998e-15,0.5093,0
1,3,2.0273612,-2.1096e-14,0.0480,0
1,4,0.8889594,-3.3644e-15,0.7175,0
1,5,0.6386526,1.5976e-14,0.0957,0
1,6,0.2884795,-8.7105e-15,0.4029,0
1,7,0.0000000,3.1050e-01,0.0764,0
1,8,0.0000000,3.5192e-01,0.0285,0
1,9,0.0000000,5.7017e-01,0.6422,0
1,10,0.0000000,7.7782e-01,0.0187,0
1,11,-0.0000000,1.1117e+00,0.1916,0
1,12,0.0000000,1.1434e+00,0.1615,0
1,13,-0.0382232,1.2566e+00,0.2406,0
1,14,0.0382232,1.2566e+00,0.2406,0
1,15,0.0000000,1.3136e+00,0.0322,0
1,16,0.0279777,1.5969e+00,0.2095,0
1,17,-0.0279777,1.5969e+00,0.2095,0
1,18,0.0000000,1.7282e+00,0.3431,0
1,19,0.0000000,1.7478e+00,0.3340,0
1,20,0.0000000,1.8373e+00,0.2944,0
1,21,-0.0000000,1.9597e+00,0.1479,0
1,22,0.0283001,1.9905e+00,0.3716,0
1,23,-0.0283001,1.9905e+00,0.3716,0
1,24,0.0000000,2.0743e+00,0.2326,0
1,25,-0.0000000,2.2420e+00,0.0849,0
1,26,0.0000000,2.2538e+00,0.1741,0
1,27,-0.0764761,2.3114e+00,0.2411,0
1,28,0.0764761,2.3114e+00,0.2411,0
1,29,0.0000000,2.4103e+00,0.3011,0
1,30,0.0562751,2.4506e+00,0.2049,0
1,31,-0.0562751,2.4506e+00,0.2049,0
1,32,-0.1600516,2.5590e+00,0.2149,0
1,33,0.1600516,2.5590e+00,0.2149,0
1,34,-0.0000000,2.6113e+00,0.3336,0
1,35,0.0000000,2.6890e+00,0.1315,0
1,36,0.0121156,2.7195e+00,0.2058,0
1,37,-0.0121156,2.7195e+00,0.2058,0
1,38,0.0000000,2.8967e+00,0.0792,0
1,39,0.0526271,2.9359e+00,0.1924,0
1,40,-0.0526271,2.9359e+00,0.1924,0
1,41,-0.0177834,2.9372e+00,0.2986,0
1,42,0.0177834,2.9372e+00,0.2986,0
1,43,-0.0000000,3.0538e+00,0.1774,0
1,44,0.0000000,3.1162e+00,0.0819,0
1,45,0.0246893,3.1266e+00,0.1009,0
1,46,-0.0246893,3.1266e+00,0.1009,0
1,47,-0.0857003,3.2412e+00,0.1749,0
1,48,0.0857003,3.2412e+00,0.1749,0
1,49,-0.0239879,3.2543e+00,0.2064,0
1,50,0.0239879,3.2543e+00,0.2064,0
1,51,0.0000000,3.3450e+00,0.4251,0
1,52,-0.0000000,3.3796e+00,0.3403,0
1,53,0.0000000,3.3970e+00,0.1501,0
1,54,-0.0000000,3.4908e+00,0.2098,0
1,55,-0.0000000,3.5478e+00,0.4213,0
1,56,0.0000000,3.5765e+00,0.3593,0
1,57,0.0000000,3.5838e+00,0.2009,0
1,58,0.0000000,3.6295e+00,0.2256,0
