lambda_nm,Au_re_lerer,Au_im_lerer,Cu_re_lerer,Cu_im_lerer,Au_re_jc,Au_im_jc,Cu_re_jc,Cu_im_jc,cu_lerer_extrapolated
3.060000000000000000e+02,-3.663239999999996499e-01,-6.981519999999999726e+00,6.200115384615386915e+00,-7.338861538461543432e+00,-1.235258163265306131e+00,-5.786701020408163032e+00,-9.766122448979595028e-01,-4.738044897959182933e+00,1.000000000000000000e+00
3.080000000000000000e+02,-3.442640000000003475e-01,-6.997049999999999770e+00,6.088038461538459956e+00,-7.327353846153854988e+00,-1.238339795918367292e+00,-5.789211224489796415e+00,-1.022734693877551226e+00,-4.752493877551020596e+00,1.000000000000000000e+00
3.100000000000000000e+02,-3.183249999999997470e-01,-7.008900000000000574e+00,5.975961538461547207e+00,-7.315846153846138122e+00,-1.241421428571428676e+00,-5.791721428571428909e+00,-1.068857142857143172e+00,-4.766942857142858259e+00,1.000000000000000000e+00
3.120000000000000000e+02,-2.995199999999997864e-01,-7.005568000000000239e+00,5.863884615384634458e+00,-7.304338461538449678e+00,-1.240931958762886422e+00,-5.799729896907216187e+00,-1.110423711340206454e+00,-4.791982474226804456e+00,1.000000000000000000e+00
3.140000000000000000e+02,-2.770560000000004131e-01,-7.006029999999999980e+00,5.751807692307693287e+00,-7.292830769230775445e+00,-1.238519587628865937e+00,-5.810698969072165099e+00,-1.149537113402062216e+00,-4.822724742268041709e+00,1.000000000000000000e+00
3.160000000000000000e+02,-2.582670000000000243e-01,-7.002643999999999203e+00,5.639730769230780538e+00,-7.281323076923058579e+00,-1.236107216494845229e+00,-5.821668041237114011e+00,-1.188650515463917756e+00,-4.853467010309278962e+00,1.000000000000000000e+00
3.180000000000000000e+02,-2.394880000000001452e-01,-6.999234000000000400e+00,5.527653846153867789e+00,-7.269815384615370135e+00,-1.233694845360824743e+00,-5.832637113402062035e+00,-1.227763917525773518e+00,-4.884209278350516215e+00,1.000000000000000000e+00
3.200000000000000000e+02,-2.313840000000002561e-01,-6.961990000000000123e+00,5.415576923076926619e+00,-7.258307692307681691e+00,-1.231282474226804036e+00,-5.843606185567010058e+00,-1.266877319587629280e+00,-4.914951546391752579e+00,1.000000000000000000e+00
3.220000000000000000e+02,-2.196569999999997691e-01,-6.928624000000000116e+00,5.303499999999999659e+00,-7.246799999999993247e+00,-1.248745945945946012e+00,-5.806578378378377536e+00,-1.310116216216216545e+00,-4.915218918918919044e+00,1.000000000000000000e+00
3.240000000000000000e+02,-2.116409999999997460e-01,-6.891560000000000130e+00,5.191423076923086910e+00,-7.235292307692304803e+00,-1.271178378378378548e+00,-5.757551351351350988e+00,-1.354386486486486962e+00,-4.907867567567567590e+00,1.000000000000000000e+00
3.260000000000000000e+02,-1.999079999999993085e-01,-6.850944000000000145e+00,5.079346153846159950e+00,-7.223784615384616359e+00,-1.293610810810811085e+00,-5.708524324324324439e+00,-1.398656756756757158e+00,-4.900516216216216137e+00,1.000000000000000000e+00
3.280000000000000000e+02,-2.067520000000002689e-01,-6.813864000000000587e+00,4.967269230769232990e+00,-7.212276923076927915e+00,-1.316043243243243399e+00,-5.659497297297297003e+00,-1.442927027027027131e+00,-4.893164864864864683e+00,1.000000000000000000e+00
3.300000000000000000e+02,-2.135560000000005232e-01,-6.776880000000000237e+00,4.855192307692320242e+00,-7.200769230769225260e+00,-1.338475675675675713e+00,-5.610470270270269566e+00,-1.487197297297297327e+00,-4.885813513513513229e+00,1.000000000000000000e+00
3.320000000000000000e+02,-2.167070000000004271e-01,-6.743724000000000274e+00,4.743115384615379071e+00,-7.189261538461536816e+00,-1.353250000000000064e+00,-5.572086363636363338e+00,-1.525150000000000006e+00,-4.888927272727272566e+00,1.000000000000000000e+00
3.340000000000000000e+02,-2.234430000000005023e-01,-6.706923999999999886e+00,4.631038461538466322e+00,-7.177753846153848372e+00,-1.345049999999999857e+00,-5.565631818181817181e+00,-1.544149999999999912e+00,-4.923436363636363389e+00,1.000000000000000000e+00
3.360000000000000000e+02,-2.337280000000001579e-01,-6.666504000000000651e+00,4.518961538461539362e+00,-7.166246153846145717e+00,-1.336850000000000094e+00,-5.559177272727271912e+00,-1.563150000000000261e+00,-4.957945454545454211e+00,1.000000000000000000e+00
3.380000000000000000e+02,-2.476560000000000983e-01,-6.629769999999999719e+00,4.406884615384612403e+00,-7.154738461538457273e+00,-1.328650000000000109e+00,-5.552722727272726644e+00,-1.582149999999999945e+00,-4.992454545454545922e+00,1.000000000000000000e+00
3.400000000000000000e+02,-2.579430000000009215e-01,-6.596823999999999799e+00,4.294807692307699654e+00,-7.143230769230754618e+00,-1.320449999999999902e+00,-5.546268181818181375e+00,-1.601150000000000073e+00,-5.026963636363635857e+00,1.000000000000000000e+00
3.420000000000000000e+02,-2.717249999999995502e-01,-6.560252000000000194e+00,4.182730769230772694e+00,-7.131723076923066174e+00,-1.312250000000000139e+00,-5.539813636363636995e+00,-1.620150000000000201e+00,-5.061472727272727568e+00,1.000000000000000000e+00
3.440000000000000000e+02,-2.854270000000003193e-01,-6.523763999999999896e+00,4.070653846153845734e+00,-7.120215384615377729e+00,-1.300174358974358846e+00,-5.545866666666666944e+00,-1.646605128205128388e+00,-5.093138461538462280e+00,1.000000000000000000e+00
