lambda_nm,P_Au_lerer,P_Cu_lerer,P_Au_jc,P_Cu_jc,R_Au_lerer,T_Au_lerer,R_Cu_lerer,T_Cu_lerer
8.050000000000000000e+02,4.962621662884481033e-02,1.276805827541092064e-01,5.012455998947140667e-02,7.409833132438059522e-02,6.801174707492647041e-03,9.435726086636625487e-01,1.008002224566481413e-02,8.622393950002259499e-01
8.100000000000000000e+02,4.958108339270583809e-02,1.282941502098526865e-01,5.015495316224860556e-02,7.434028492480104777e-02,4.381784394187831361e-03,9.460371322131063687e-01,7.617891851944018702e-03,8.640879579382032549e-01
8.150000000000000000e+02,5.029530982312713228e-02,1.302991102688997316e-01,5.074239162809757175e-02,7.548246880458298058e-02,2.661367731068651349e-03,9.470433224458042476e-01,5.794138655518896001e-03,8.639067510755813473e-01
8.200000000000000000e+02,5.243206788988552525e-02,1.340382978404998093e-01,5.214384381993542039e-02,7.795301934559506485e-02,1.819476958864274432e-03,9.457484551512501669e-01,4.742474794844455006e-03,8.612192273646557261e-01
8.250000000000000000e+02,5.618320454119918317e-02,1.409292024972504942e-01,5.453986554260947806e-02,8.267083196603031148e-02,2.244972937985225542e-03,9.415718225208156156e-01,4.825488465340086082e-03,8.542453090374094726e-01
8.300000000000000000e+02,6.378006023684745784e-02,1.528518196560809672e-01,5.898086287162118690e-02,9.109240938038487556e-02,4.816633831915146866e-03,9.314033059312374352e-01,6.687014306891257004e-03,8.404611660370278070e-01
8.350000000000000000e+02,7.803214911681943811e-02,1.727418244168753558e-01,6.725798245616299020e-02,1.062374130328720412e-01,1.173201258491000411e-02,9.102358382982705942e-01,1.163764203467608678e-02,8.156205335484485452e-01
8.400000000000000000e+02,1.070142685612653910e-01,2.071536434021805650e-01,8.326245093208894943e-02,1.348702546516333811e-01,2.923337117207879324e-02,8.637523602666558054e-01,2.259045594281772207e-02,7.702559006550017129e-01
8.450000000000000000e+02,1.728358132884580955e-01,2.660788912769400660e-01,1.170147516406017107e-01,1.928558581446025988e-01,7.762442738003827447e-02,7.495397593315036300e-01,4.555504740652875639e-02,6.883660613165312192e-01
8.500000000000000000e+02,3.275708823262683533e-01,3.554862428584998346e-01,1.968887075545250331e-01,3.110681234087721014e-01,2.161356681570958116e-01,4.562934495166358073e-01,8.941295446435981731e-02,5.551008026771403481e-01
8.550000000000000000e+02,4.416053548308149224e-01,4.324401973361986506e-01,3.724152366445626083e-01,4.566138568992601510e-01,3.862573025452404885e-01,1.721373426239445892e-01,1.471800534003210592e-01,4.203797492634803179e-01
8.600000000000000000e+02,2.569573231365729349e-01,3.998197894708984124e-01,4.099039660842756505e-01,3.836761691730128931e-01,2.711314702703380708e-01,4.719112065930890498e-01,1.692221719152051107e-01,4.309580386138964214e-01
8.650000000000000000e+02,1.339447820621442187e-01,2.944864597493019875e-01,2.148833487649451923e-01,2.271470364088380434e-01,1.589577417422604610e-01,7.070974761955952648e-01,1.444025284890596839e-01,5.611110117616383564e-01
8.700000000000000000e+02,8.330246175826039323e-02,2.092271138320279666e-01,1.150111507710621650e-01,1.415873266314821022e-01,1.062513477073409041e-01,8.104461905343987027e-01,1.125410546418497137e-01,6.782318315261223196e-01
8.750000000000000000e+02,5.978935578957000896e-02,1.568368958730312901e-01,7.366523578037098563e-02,9.981644206121820240e-02,8.025900019166275212e-02,8.599516440187672250e-01,8.956156106133528194e-02,7.536015430656334280e-01
8.800000000000000000e+02,4.708905584688050094e-02,1.252482121645073221e-01,5.395888883017296855e-02,7.753938843640240108e-02,6.635177552799730039e-02,8.865591686251221848e-01,7.479906388307767939e-02,7.999527239524150124e-01
8.850000000000000000e+02,3.959689658526843736e-02,1.052445085651939616e-01,4.314065627440621942e-02,6.437804066244112722e-02,5.848953598690743994e-02,9.019135674278241366e-01,6.550751990681857873e-02,8.292479715279874597e-01
8.900000000000000000e+02,3.465640081610155132e-02,9.178006472125777027e-02,3.650276759951309735e-02,5.588982239617334979e-02,5.402577174157784795e-02,9.113178274423205938e-01,5.971721166815078391e-02,8.485027236105914250e-01
8.950000000000000000e+02,3.118019603839872200e-02,8.218402161375271131e-02,3.229460365849834425e-02,4.991521745639637686e-02,5.164910683028751948e-02,9.171706971313137169e-01,5.621925763802668868e-02,8.615967207482205792e-01
