% Model,Untitled.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 23 2026, 21:02"
% Table,Ag strip W=800 nm modes at lam0450nm -
% Effective mode index,Effective mode index (1),Re(neff) (1),Im(neff) (1),Im/Re (1),Propagation constant beta (rad/um),Attenuation constant (dB/um),Integral |E|^2 in Ag (V^2),Integral |E|^2 in substrate (V^2),Integral |E|^2 in air (V^2),Ag field fraction proxy (1),Substrate field fraction proxy (1),Air field fraction proxy (1)
1.4454262927346857+1.8022733500167142E-7i,1.4454262927346857+1.8022733500167142E-7i,1.4454262927346857,1.8022733500167142E-7,1.2468801481443158E-7,20.181958322492523,-2.185759237264111E-5,1.2373503766356674E-13,1.7709114685352197E-7,6.279121659293781E-11,6.98460065790983E-7,0.9996448574139959,3.544441259382488E-4
1.4469997843209654+2.4976116905218585E-7i,1.4469997843209654+2.4976116905218585E-7i,1.4469997843209654,2.4976116905218585E-7,1.7260622410485807E-7,20.203928409638934,-3.029050961446196E-5,6.528859400089133E-14,6.737194561637705E-8,9.730220969684935E-12,9.689359893337104E-7,0.9998546266481099,1.4440441590101596E-4
1.4411544043524505+8.72275852809497E-7i,1.4411544043524505+8.72275852809497E-7i,1.4411544043524505,8.72275852809497E-7,6.052618998874267E-7,20.122311508454366,-1.0578778200893368E-4,1.1697339127381004E-13,3.470242962945342E-8,5.180776823662018E-12,3.370240580555342E-6,0.9998473610744665,1.4926868495276053E-4
1.436750080063923+1.40761880260288E-6i,1.436750080063923+1.40761880260288E-6i,1.436750080063923,1.40761880260288E-6,9.797241859490643E-7,20.060815540326075,-1.7071304973284763E-4,1.2287331069949368E-13,2.2658446644305283E-8,3.4455270298341562E-12,5.4219940485179415E-6,0.9998425382591307,1.5203974682066962E-4
1.4415228576990706+1.437429379551077E-6i,1.4415228576990706+1.437429379551077E-6i,1.4415228576990706,1.437429379551077E-6,9.971603099277055E-7,20.12745608768518,-1.7432841384684787E-4,1.1542741934808237E-13,2.0769795805929073E-8,7.132710398032414E-12,5.555526554239402E-6,0.9996511468216074,3.4329765183844846E-4
1.4385008515102284+2.14633307945944E-6i,1.4385008515102284+2.14633307945944E-6i,1.4385008515102284,2.14633307945944E-6,1.4920624323621949E-6,20.085260921276422,-2.6030276454071125E-4,6.415973866257246E-14,7.744153425215912E-9,1.0196688110769596E-11,8.2739632425145E-6,0.9986767733205753,0.001314952716182239
1.4458899704250887+2.3259682890347854E-6i,1.4458899704250887+2.3259682890347854E-6i,1.4458899704250887,2.3259682890347854E-6,1.6086758581989164E-6,20.188432484384986,-2.820885451862246E-4,1.0613817455622738E-12,1.176733652811221E-7,3.6615136507247174E-11,9.016840980570698E-6,0.999679923670058,3.1105948896156674E-4
1.4445550888273928+2.38834488248928E-6i,1.4445550888273928+2.38834488248928E-6i,1.4445550888273928,2.38834488248928E-6,1.6533428880362063E-6,20.169794021181723,-2.8965344733222623E-4,1.368898097004447E-13,1.4797318890960459E-8,2.3112411646157176E-12,9.24945706899034E-6,0.9998345831410259,1.561674019050584E-4
1.4380769654255667+2.4405931140576903E-6i,1.4380769654255667+2.4405931140576903E-6i,1.4380769654255667,2.4405931140576903E-6,1.6971227359416408E-6,20.079342355011836,-2.959900030372922E-4,1.232431991082032E-13,1.3092973650359944E-8,3.759479450272243E-12,9.41013595920538E-6,0.9997035378155797,2.8705204846103156E-4
1.4484417169548436+2.896761065283164E-6i,1.4484417169548436+2.896761065283164E-6i,1.4484417169548436,2.896761065283164E-6,1.9999155170518147E-6,20.224061587281433,-3.5131309335129345E-4,1.3999530445398763E-13,1.2443556455275332E-8,1.9935653916988343E-12,1.1248496810890553E-5,0.9998285703168395,1.601811863496924E-4
