% Model,Untitled.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 23 2026, 21:16"
% Table,Ag strip W=800 nm modes at lam0550nm -
% Effective mode index,Effective mode index (1),Re(neff) (1),Im(neff) (1),Im/Re (1),Propagation constant beta (rad/um),Attenuation constant (dB/um),Integral |E|^2 in Ag (V^2),Integral |E|^2 in substrate (V^2),Integral |E|^2 in air (V^2),Ag field fraction proxy (1),Substrate field fraction proxy (1),Air field fraction proxy (1)
1.4455256732745634+4.4194503488874815E-7i,1.4455256732745634+4.4194503488874815E-7i,1.4455256732745634,4.4194503488874815E-7,3.0573309285306966E-7,16.5136466753993,-4.385304402181931E-5,6.55529803096376E-14,4.2465642380968615E-8,1.1124750318767972E-11,1.5432643200328988E-6,0.9997365551386033,2.619015970766645E-4
1.4432502025292422+8.603087002620836E-7i,1.4432502025292422+8.603087002620836E-7i,1.4432502025292422,8.603087002620836E-7,5.960911689147347E-7,16.487651758392175,-8.536617073759965E-5,1.8952670505273063E-13,6.31412857273452E-8,4.0421505695468234E-11,2.999699514774323E-6,0.9993572362578012,6.397640426841612E-4
1.4367724921651646+1.5476304415980927E-6i,1.4367724921651646+1.5476304415980927E-6i,1.4367724921651646,1.5476304415980927E-6,1.0771576224053881E-6,16.413650568239923,-1.535673002910723E-4,1.1305560016927349E-13,2.1041814791235947E-8,5.738051224561927E-12,5.371407961188246E-6,0.9997220068556261,2.72621736412617E-4
1.4301616038053528+2.492845025657531E-6i,1.4301616038053528+2.492845025657531E-6i,1.4301616038053528,2.492845025657531E-6,1.7430512880674505E-6,16.338127956222152,-2.473584586763195E-4,1.3445790661209889E-13,1.560833096510364E-8,4.4633924561247565E-12,8.611959242323778E-6,0.9997055100668758,2.8587797388170117E-4
1.4250373313188647+3.1865387076882145E-6i,1.4250373313188647+3.1865387076882145E-6i,1.4250373313188647,3.1865387076882145E-6,2.236108933889535E-6,16.27958840422745,-3.161918591542937E-4,2.75410961475258E-13,2.5039555573379702E-8,6.550004408557024E-11,1.097021828405331E-5,0.9973800204039306,0.0026090093777853232
1.4322219197429904+3.2166599836699123E-6i,1.4322219197429904+3.2166599836699123E-6i,1.4322219197429904,3.2166599836699123E-6,2.245922883408415E-6,16.361664950453996,-3.1918071418680086E-4,9.076336248334492E-14,8.150665152188726E-9,4.215602453278162E-12,1.1129819679070395E-5,0.9994719336779713,5.169365023496385E-4
1.4439305008233356+3.4456032609273334E-6i,1.4439305008233356+3.4456032609273334E-6i,1.4439305008233356,3.4456032609273334E-6,2.386266692865505E-6,16.49542346793026,-3.4189815374033403E-4,4.3052420619892313E-13,3.579924782393154E-8,2.0056201795308598E-11,1.2019190304126024E-5,0.999428060362286,5.599204474100742E-4
1.4328818678624429+3.6567889850925337E-6i,1.4328818678624429+3.6567889850925337E-6i,1.4328818678624429,3.6567889850925337E-6,2.5520519640238663E-6,16.36920418014062,-3.62853557981786E-4,6.31166961237796E-14,4.978570331779587E-9,1.196278662910928E-11,1.2647125343421802E-5,0.9975902872605401,0.0023970656141165505
1.4409720878360315+6.271045606808025E-6i,1.4409720878360315+6.271045606808025E-6i,1.4409720878360315,6.271045606808025E-6,4.35195494745878E-6,16.46162663699499,-6.222593701667366E-4,3.0097356422754855E-13,1.3780715693386512E-8,6.623060402359401E-12,2.1829230396153406E-5,0.9994978086094859,4.8036216011795017E-4
1.4418485879450662+6.335044298348931E-6i,1.4418485879450662+6.335044298348931E-6i,1.4418485879450662,6.335044298348931E-6,4.393695947906489E-6,16.471639750825588,-6.286097920878442E-4,1.646861100716582E-13,7.462262490491235E-9,2.187578025166274E-12,2.2062238371992047E-5,0.999684878026186,2.9305973544186466E-4
1.4373959784792365+6.39862932434891E-6i,1.4373959784792365+6.39862932434891E-6i,1.4373959784792365,6.39862932434891E-6,4.451542525615421E-6,16.420773259235933,-6.349191670647745E-4,1.7781211867863526E-13,7.998116801247262E-9,5.221080962683665E-12,2.2216751421457804E-5,0.9993254348104563,6.52348438122434E-4
1.4476569955194802+8.453114586056857E-6i,1.4476569955194802+8.453114586056857E-6i,1.4476569955194802,8.453114586056857E-6,5.8391695078456925E-6,16.53799484378862,-8.387803387295664E-4,1.7073177130598626E-13,5.774701747411595E-9,1.786526613672305E-12,2.9555452578153892E-5,0.9996611781337595,3.092664136622258E-4
1.4256300809175875+1.0782941944173794E-5i,1.4256300809175875+1.0782941944173794E-5i,1.4256300809175875,1.0782941944173794E-5,7.5636324517181204E-6,16.286359959808415,-0.0010699629827985524,1.3829230771109934E-13,3.7220711839191652E-9,2.4064774477815874E-12,3.712927975155719E-5,0.9993167698932873,6.461008269610691E-4
1.425608317210013+1.1985709916292557E-5i,1.425608317210013+1.1985709916292557E-5i,1.425608317210013,1.1985709916292557E-5,8.407435458674366E-6,16.286111331794483,-0.0011893104868216174,4.243879624296725E-13,1.0258646621860045E-8,2.4431814198292654E-11,4.12688137196174E-5,0.9975829051067444,0.002375826079536196
1.4239976541889234+1.300414540064864E-5i,1.4239976541889234+1.300414540064864E-5i,1.4239976541889234,1.300414540064864E-5,9.132139622839129E-6,16.26771116046916,-0.0012903671626593555,1.1380400005352656E-13,2.540298652139989E-9,6.3588952258074615E-12,4.4685597704910864E-5,0.9974584686519308,0.0024968457503643368
1.4346967265837334+5.8672985683251156E-5i,1.4346967265837334+5.8672985683251156E-5i,1.4346967265837334,5.8672985683251156E-5,4.089574095771579E-5,16.38993707769011,-0.005821966129129364,1.642787445213788E-13,8.073325401948214E-10,2.1846051441044814E-12,2.0289306341360246E-4,0.9970990023745638,0.0026981045620225715
1.428830310761375+6.107899342784831E-5i,1.428830310761375+6.107899342784831E-5i,1.428830310761375,6.107899342784831E-5,4.274754879416115E-5,16.322919300052202,-0.006060707952684905,1.6351467643771866E-13,7.751428343139384E-10,2.0690300774759577E-12,2.1034198000171873E-4,0.9971280994818864,0.0026615585381118243
1.8666407544048857+0.06444790112855459i,1.8666407544048857+0.06444790112855459i,1.8666407544048857,0.06444790112855459,0.03452614059586499,21.324454112471628,-6.394995807602675,1.7930524471405997E-13,1.3680406693561617E-12,5.300050629439553E-13,0.08631437186015596,0.6585505696887471,0.2551350584510969
