% Model,Untitled.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 22 2026, 00:42"
% Table,Ag strip w1200 modes at 500 nm -
% Effective mode index,Effective mode index (1),Re(neff) (1),Im(neff) (1),Im/Re (1),Propagation constant beta (rad/um),Attenuation constant (dB/um)
1.4443851600568551+6.5091064620758E-7i,1.4443851600568551+6.5091064620758E-7i,1.4443851600568551,6.5091064620758E-7,4.506489433759886E-7,18.150679231154932,-7.104696753196278E-5
1.4336222986281708+1.3482893026024749E-6i,1.4336222986281708+1.3482893026024749E-6i,1.4336222986281708,1.3482893026024749E-6,9.404773515957789E-7,18.015429125571092,-1.4716592340869789E-4
1.4462945251985404+1.4455253091095012E-6i,1.4462945251985404+1.4455253091095012E-6i,1.4462945251985404,1.4455253091095012E-6,9.994681469952093E-7,18.17467302116349,-1.5777924405031377E-4
1.4352883697114105+1.7848791036365454E-6i,1.4352883697114105+1.7848791036365454E-6i,1.4352883697114105,1.7848791036365454E-6,1.2435682900401585E-6,18.03636559227295,-1.948197474774499E-4
1.4432625033899489+3.3716054952723026E-6i,1.4432625033899489+3.3716054952723026E-6i,1.4432625033899489,3.3716054952723026E-6,2.336099973049285E-6,18.136571511405908,-3.680111049786192E-4
1.4390609567486767+4.034020754704174E-6i,1.4390609567486767+4.034020754704174E-6i,1.4390609567486767,4.034020754704174E-6,2.8032313265022385E-6,18.083773319158166,-4.403138022900474E-4
1.4395413194111666+4.450593600972454E-6i,1.4395413194111666+4.450593600972454E-6i,1.4395413194111666,4.450593600972454E-6,3.0916747862388106E-6,18.089809734404312,-4.8578277357813013E-4
1.4480542370455223+5.235466631040681E-6i,1.4480542370455223+5.235466631040681E-6i,1.4480542370455223,5.235466631040681E-6,3.615518325972824E-6,18.19678621240714,-5.71451749817593E-4
1.444937673072677+5.421806107010422E-6i,1.444937673072677+5.421806107010422E-6i,1.444937673072677,5.421806107010422E-6,3.752276799234452E-6,18.157622314481006,-5.917907238016246E-4
1.4424916504040655+7.988743461406947E-6i,1.4424916504040655+7.988743461406947E-6i,1.4424916504040655,7.988743461406947E-6,5.538155773150693E-6,18.126884687096112,-8.719722140521808E-4
1.4357889657663914+1.1461457466964865E-5i,1.4357889657663914+1.1461457466964865E-5i,1.4357889657663914,1.1461457466964865E-5,7.982689476128548E-6,18.042656267827926,-0.0012510193238792695
1.437273414891584+4.055780707696798E-5i,1.437273414891584+4.055780707696798E-5i,1.437273414891584,4.055780707696798E-5,2.8218574598784548E-5,18.06131040569326,-0.004426889035159551
1.9708518624347382+0.08207654248375253i,1.9708518624347382+0.08207654248375253i,1.9708518624347382,0.08207654248375253,0.04164521141754274,24.76645492935494,-8.95866350159418
1.9319274510662283+0.0841856736383053i,1.9319274510662283+0.0841856736383053i,1.9319274510662283,0.0841856736383053,0.04357600156871488,24.277316350152468,-9.188875395548015
1.8658704302984992+0.08772895739758522i,1.8658704302984992+0.08772895739758522i,1.8658704302984992,0.08772895739758522,0.04701771139786511,23.447219345504763,-9.575625201637084
1.7705018966951676+0.09286375958797248i,1.7705018966951676+0.09286375958797248i,1.7705018966951676,0.09286375958797248,0.05245052815888686,22.248783007297334,-10.136089416854658
1.6419104537102203+0.09994182833474288i,1.6419104537102203+0.09994182833474288i,1.6419104537102203,0.09994182833474288,0.060869232002820024,20.632855276913247,-10.908661387171497
1.4731913163216994+0.1089499626748663i,1.4731913163216994+0.1089499626748663i,1.4731913163216994,0.1089499626748663,0.073955067117077,18.51266806675411,-11.891900226043102
2.533151444549033+0.17529584233438786i,2.533151444549033+0.17529584233438786i,2.533151444549033,0.17529584233438786,0.0692006957229496,31.832519874502452,-19.133560176626112
2.535471527782091+0.1762843938931065i,2.535471527782091+0.1762843938931065i,2.535471527782091,0.1762843938931065,0.06952726227113724,31.861674900265225,-19.241460686327645
