% Model,Untitled.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 22 2026, 00:49"
% Table,Ag strip w2000 modes at 500 nm -
% Effective mode index,Effective mode index (1),Re(neff) (1),Im(neff) (1),Im/Re (1),Propagation constant beta (rad/um),Attenuation constant (dB/um)
1.4443727203330115+2.174246995625172E-6i,1.4443727203330115+2.174246995625172E-6i,1.4443727203330115,2.174246995625172E-6,1.5053226670771532E-6,18.150522908974775,-2.3731929505941198E-4
1.443259550843319+3.003723151775607E-6i,1.443259550843319+3.003723151775607E-6i,1.443259550843319,3.003723151775607E-6,2.0812078811607272E-6,18.1365344086107,-3.2785670734159406E-4
1.4462766589126013+3.5729817026820075E-6i,1.4462766589126013+3.5729817026820075E-6i,1.4462766589126013,3.5729817026820075E-6,2.4704690355498043E-6,18.174448506792878,-3.8999133982791127E-4
1.4424672422436398+4.674403440158014E-6i,1.4424672422436398+4.674403440158014E-6i,1.4424672422436398,4.674403440158014E-6,3.240561243447971E-6,18.12657796510619,-5.102116417654841E-4
1.4449078902911392+5.178291434816258E-6i,1.4449078902911392+5.178291434816258E-6i,1.4449078902911392,5.178291434816258E-6,3.5838211346280814E-6,18.157248053010278,-5.652110709572035E-4
1.4390344773300363+5.218859792436728E-6i,1.4390344773300363+5.218859792436728E-6i,1.4390344773300363,5.218859792436728E-6,3.626639857941225E-6,18.083440568969877,-5.696391115853289E-4
1.448029307931676+7.42554671758204E-6i,1.448029307931676+7.42554671758204E-6i,1.448029307931676,7.42554671758204E-6,5.128036205419406E-6,18.19647294392346,-8.104992284653468E-4
1.439482074866281+9.107627042194072E-6i,1.439482074866281+9.107627042194072E-6i,1.439482074866281,9.107627042194072E-6,6.327016641065234E-6,18.089065245496403,-9.940984780784081E-4
1.979389720327826+0.08158473994139127i,1.979389720327826+0.08158473994139127i,1.979389720327826,0.08158473994139127,0.04121711813673521,24.87374481589221,-8.904983200829621
1.9663555947154445+0.08222486877968113i,1.9663555947154445+0.08222486877968113i,1.9663555947154445,0.08222486877968113,0.041815869418867786,24.709953162812912,-8.974853332859615
1.9444810782623243+0.0833015346684607i,1.9444810782623243+0.0833015346684607i,1.9444810782623243,0.0833015346684607,0.04283998214212642,24.43506988205311,-9.09237153123073
1.9135255507852258+0.08483372016681227i,1.9135255507852258+0.08483372016681227i,1.9135255507852258,0.08483372016681227,0.04433372741325575,24.046071251212908,-9.259609744322754
1.8731222743919684+0.08685611412840559i,1.8731222743919684+0.08685611412840559i,1.8731222743919684,0.08685611412840559,0.04636969797211975,23.538348706020848,-9.48035426427079
1.822746074063991+0.0894265701601942i,1.822746074063991+0.0894265701601942i,1.822746074063991,0.0894265701601942,0.0490614526250543,22.90530270255628,-9.760919818539788
1.7616655750130588+0.0926351276169249i,1.7616655750130588+0.0926351276169249i,1.7616655750130588,0.0926351276169249,0.05258383255643638,22.137742514172256,-10.111134212452292
1.6888731110645456+0.09661304276704621i,1.6888731110645456+0.09661304276704621i,1.6888731110645456,0.09661304276704621,0.057205625534619484,21.22300543426286,-10.54532408192547
1.6029779975908527+0.10152992788039229i,1.6029779975908527+0.10152992788039229i,1.6029779975908527,0.10152992788039229,0.06333831657888232,20.14361560439,-11.082002624581978
1.5019992282950838+0.10750726894110785i,1.5019992282950838+0.10750726894110785i,1.5019992282950838,0.10750726894110785,0.07157611463165606,18.874678965237493,-11.734430048749035
2.533294718728743+0.17534100347563494i,2.533294718728743+0.17534100347563494i,2.533294718728743,0.17534100347563494,0.06921460901462918,31.834320310944157,-19.138489520084516
2.535406225057296+0.1762439517395643i,2.535406225057296+0.1762439517395643i,2.535406225057296,0.1762439517395643,0.06951310208113948,31.860854282023322,-19.237046420888333
