% Model,Untitled.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 22 2026, 00:33"
% Table,Ag strip w0400 modes at 500 nm -
% Effective mode index,Effective mode index (1),Re(neff) (1),Im(neff) (1),Im/Re (1),Propagation constant beta (rad/um),Attenuation constant (dB/um)
1.4463007903673093+1.0194462576837313E-7i,1.4463007903673093+1.0194462576837313E-7i,1.4463007903673093,1.0194462576837313E-7,7.04864620467246E-8,18.1747517515962,-1.1127266943969915E-5
1.4443892289928761+4.983804175076237E-8i,1.4443892289928761+4.983804175076237E-8i,1.4443892289928761,4.983804175076237E-8,3.4504578648452506E-8,18.150730362912977,-5.43982765492181E-6
1.4292578723405969+1.9317938121246878E-7i,1.4292578723405969+1.9317938121246878E-7i,1.4292578723405969,1.9317938121246878E-7,1.35160620732571E-7,17.96058412732239,-2.10855503820873E-5
1.4390798908472928+4.1994621614045906E-7i,1.4390798908472928+4.1994621614045906E-7i,1.4390798908472928,4.1994621614045906E-7,2.918157767413494E-7,18.084011252058623,-4.5837174974991786E-5
1.4395706790589256+4.289766735383957E-7i,1.4395706790589256+4.289766735383957E-7i,1.4395706790589256,4.289766735383957E-7,2.9798931013156356E-7,18.09017867861916,-4.6822850378041455E-5
1.4298854273566046+1.0463828082543754E-6i,1.4298854273566046+1.0463828082543754E-6i,1.4298854273566046,1.0463828082543754E-6,7.317948614867686E-7,17.96847021623444,-1.142127968519113E-4
1.4358426093613879+9.940709712870588E-7i,1.4358426093613879+9.940709712870588E-7i,1.4358426093613879,9.940709712870588E-7,6.923258613485405E-7,18.043330373123737,-1.0850295418117237E-4
1.4336275950995532+1.5932684728087437E-6i,1.4336275950995532+1.5932684728087437E-6i,1.4336275950995532,1.5932684728087437E-6,1.1113544955851E-6,18.015495682993432,-1.739054263697562E-4
1.4432800069868663+2.179324246882043E-6i,1.4432800069868663+2.179324246882043E-6i,1.4432800069868663,2.179324246882043E-6,1.5099802091985014E-6,18.136791468091857,-2.378734775840031E-4
1.4480825956004795+2.3440514929705205E-6i,1.4480825956004795+2.3440514929705205E-6i,1.4480825956004795,2.3440514929705205E-6,1.6187277577205517E-6,18.19714257651882,-2.5585347433573145E-4
1.4285645714684057+4.174702652437652E-6i,1.4285645714684057+4.174702652437652E-6i,1.4285645714684057,4.174702652437652E-6,2.9223058836931125E-6,17.951871851615174,-4.556692466645398E-4
1.4449736039321748+5.4112457146803356E-6i,1.4449736039321748+5.4112457146803356E-6i,1.4449736039321748,5.4112457146803356E-6,3.7448751312514168E-6,18.15807383497795,-5.906380558350276E-4
1.4353153230929336+9.081127886252513E-6i,1.4353153230929336+9.081127886252513E-6i,1.4353153230929336,9.081127886252513E-6,6.326921854832402E-6,18.03670429845448,-9.912060923373336E-4
1.4425520355277748+1.0754865228092796E-5i,1.4425520355277748+1.0754865228092796E-5i,1.4425520355277748,1.0754865228092796E-5,7.4554435217707776E-6,18.12764350894024,-0.0011738947044772521
1.4375064626617193+1.840924153381222E-5i,1.4375064626617193+1.840924153381222E-5i,1.4375064626617193,1.840924153381222E-5,1.2806371318654981E-5,18.06423897034363,-0.0020093707072717203
1.4326642432459191+2.003000468089841E-5i,1.4326642432459191+2.003000468089841E-5i,1.4326642432459191,2.003000468089841E-5,1.3980948275443368E-5,18.00338984656864,-0.0021862771803167346
1.429803820333924+2.259135697930315E-5i,1.429803820333924+2.259135697930315E-5i,1.429803820333924,2.259135697930315E-5,1.580031935711785E-5,17.967444712142704,-0.0024658490611008856
1.8179029979465489+0.09395122651445924i,1.8179029979465489+0.09395122651445924i,1.8179029979465489,0.09395122651445924,0.05168109993799661,22.844442813150952,-10.254786549661345
2.5331972810273116+0.17556065204435753i,2.5331972810273116+0.17556065204435753i,2.5331972810273116,0.17556065204435753,0.06930397934627529,31.83309587267616,-19.162464185150135
2.534776398052117+0.17572191811178434i,2.534776398052117+0.17572191811178434i,2.534776398052117,0.17572191811178434,0.06932442571534918,31.852939642453308,-19.18006639387607
