theta_deg,isolated,embedded_0,embedded_1,embedded_2,embedded_3
-1.2,0.999807,1.11286,1.16519,1.18573,1.0501
-1.15,0.999801,1.11175,1.16563,1.18525,1.05158
-1.1,0.999794,1.11063,1.16606,1.18476,1.05307
-1.05,0.999788,1.1095,1.1665,1.18428,1.05454
-1,0.999782,1.10836,1.16694,1.18379,1.05601
-0.95,0.999775,1.10721,1.16738,1.18331,1.05748
-0.9,0.999769,1.10606,1.16782,1.18283,1.05893
-0.85,0.999763,1.10489,1.16826,1.18235,1.06039
-0.8,0.999756,1.10372,1.1687,1.18186,1.06183
-0.75,0.99975,1.10254,1.16915,1.18139,1.06327
-0.7,0.999743,1.10135,1.16959,1.18091,1.0647
-0.65,0.999737,1.10015,1.17004,1.18043,1.06612
-0.6,0.99973,1.09894,1.17048,1.17995,1.06754
-0.55,0.999724,1.09772,1.17093,1.17948,1.06895
-0.5,0.999717,1.0965,1.17138,1.179,1.07035
-0.45,0.99971,1.09526,1.17183,1.17853,1.07175
-0.4,0.999704,1.09402,1.17228,1.17806,1.07314
-0.35,0.999697,1.09277,1.17274,1.17759,1.07452
-0.3,0.99969,1.09151,1.17319,1.17712,1.07589
-0.25,0.999684,1.09024,1.17365,1.17665,1.07726
-0.2,0.999677,1.08896,1.1741,1.17618,1.07861
-0.15,0.99967,1.08768,1.17456,1.17571,1.07996
-0.1,0.999664,1.08639,1.17502,1.17525,1.08131
-0.05,0.999657,1.08509,1.17548,1.17478,1.08264
0,0.99965,1.08378,1.17594,1.17432,1.08397
0.05,0.999644,1.08246,1.1764,1.17386,1.08528
0.1,0.999637,1.08114,1.17686,1.1734,1.08659
0.15,0.99963,1.07981,1.17732,1.17294,1.0879
0.2,0.999623,1.07847,1.17779,1.17248,1.08919
0.25,0.999617,1.07712,1.17825,1.17202,1.09047
0.3,0.99961,1.07576,1.17872,1.17157,1.09175
0.35,0.999603,1.0744,1.17918,1.17111,1.09302
0.4,0.999596,1.07303,1.17965,1.17066,1.09428
0.45,0.99959,1.07165,1.18012,1.1702,1.09553
0.5,0.999583,1.07027,1.18059,1.16975,1.09677
0.55,0.999576,1.06887,1.18106,1.1693,1.098
0.6,0.999569,1.06747,1.18153,1.16886,1.09923
0.65,0.999563,1.06607,1.18201,1.16841,1.10045
0.7,0.999556,1.06466,1.18248,1.16796,1.10165
0.75,0.999549,1.06324,1.18295,1.16752,1.10285
0.8,0.999542,1.06181,1.18343,1.16707,1.10404
0.85,0.999535,1.06038,1.1839,1.16663,1.10522
0.9,0.999529,1.05894,1.18438,1.16619,1.10639
0.95,0.999522,1.05749,1.18486,1.16575,1.10755
1,0.999515,1.05604,1.18534,1.16531,1.10871
1.05,0.999508,1.05458,1.18581,1.16488,1.10985
1.1,0.999501,1.05312,1.18629,1.16444,1.11099
1.15,0.999495,1.05165,1.18677,1.164,1.11211
1.2,0.999488,1.05017,1.18725,1.16357,1.11323
1.25,0.999481,1.04869,1.18774,1.16314,1.11434
1.3,0.999474,1.0472,1.18822,1.16271,1.11544
1.35,0.999467,1.04571,1.1887,1.16228,1.11653
1.4,0.99946,1.04421,1.18918,1.16185,1.11761
1.45,0.999454,1.0427,1.18967,1.16142,1.11868
1.5,0.999447,1.0412,1.19015,1.161,1.11974
1.55,0.99944,1.03968,1.19063,1.16057,1.12079
1.6,0.999433,1.03816,1.19112,1.16015,1.12184
