lambda_nm,R_Au,T_Au,P_Au,lambda_nm_Cu,R_Cu,T_Cu,P_Cu
210.0,0.056874759305959005,0.1856178168327819,0.7575074238612591,210.0,0.055624717308696274,0.09985609533047524,0.8445191873608285
215.0,0.05768558542988433,0.17945539214156525,0.7628590224285504,215.0,0.058453707824129425,0.09437620992917564,0.847170082246695
220.0,0.058635711178746004,0.1743452840047249,0.7670190048165291,220.0,0.061049090339720516,0.09292698514604203,0.8460239245142375
225.0,0.05939965181076392,0.17052880852157115,0.770071539667665,225.0,0.06282409547439417,0.09396504945516998,0.8432108550704358
230.0,0.061481732647237344,0.1659129016961281,0.7726053656566345,230.0,0.06573371408558704,0.0970896695732742,0.8371766163411387
235.0,0.06362963945816197,0.16361092102254632,0.7727594395192918,235.0,0.06785168533898893,0.1029120940689135,0.8292362205920976
240.0,0.06550535171013107,0.1607742157639682,0.7737204325259007,240.0,0.06944666549446588,0.1112197718628857,0.8193335626426484
245.0,0.0667924169004854,0.15689448495337036,0.7763130981461442,245.0,0.0701638174550712,0.12037436247059048,0.8094618200743383
250.0,0.06368421199735867,0.1528532665927672,0.7834625214098742,250.0,0.0660413662690478,0.1301864174545197,0.8037722162764325
255.0,0.06514235353086321,0.1471333768930115,0.7877242695761253,255.0,0.0668641171785374,0.14381333957034315,0.7893225432511195
260.0,0.0667846777312432,0.143735378312639,0.7894799439561178,260.0,0.06741006238781222,0.15628461762508616,0.7763053199871016
265.0,0.06827745231214467,0.14274406421843103,0.7889784834694243,265.0,0.06827771177809867,0.1682588706659302,0.7634634175559711
270.0,0.06961015400295453,0.14359618793285334,0.7867936580641921,270.0,0.06907678155005759,0.1794003713988125,0.7515228470511299
275.0,0.0708697837288116,0.147017660638566,0.7821125556326224,275.0,0.06924370523363434,0.18908575890456214,0.7416705358618035
280.0,0.07153411167623779,0.15220895520262573,0.7762569331211364,280.0,0.06880616352731742,0.19660663153846314,0.7345872049342195
285.0,0.07176628619871102,0.15794093236074955,0.7702927814405394,285.0,0.06781636104102615,0.20318086637189414,0.7290027725870797
290.0,0.0713696809117371,0.16365080883304117,0.7649795102552217,290.0,0.06619993784667078,0.20695668072739679,0.7268433814259324
295.0,0.07079044985039616,0.17011671577301407,0.7590928343765897,295.0,0.06455089937574908,0.2075702550133167,0.7278788456109342
300.0,0.07004669076079677,0.17729389462681536,0.752659414612388,300.0,0.06305197884552606,0.20526999566837753,0.7316780254860964
305.0,0.0686072801747553,0.18241719685056096,0.7489755229746837,305.0,0.06153182203266387,0.2032382885412845,0.7352298894260516
310.0,0.06690809597152624,0.18698660761534786,0.7461052964131258,310.0,0.060057549353816256,0.20119557659262638,0.7387468740535574
315.0,0.06520883481738685,0.19197045861108641,0.7428207065715268,315.0,0.05890464552024908,0.19956258607346977,0.7415327684062811
320.0,0.06349828651371345,0.19677409132783344,0.7397276221584531,320.0,0.05790249453660045,0.19794990062947185,0.7441476048339277
325.0,0.06127721051134729,0.19719257469288198,0.7415302147957707,325.0,0.056548019351553284,0.19506894201576191,0.7483830386326848
330.0,0.05892540487805036,0.19936225585615303,0.7417123392657967,330.0,0.055154735760289106,0.19385783269045506,0.7509874315492558
335.0,0.05701017415150219,0.20410378893193734,0.7388860369165604,335.0,0.0543046031095018,0.19464305645269908,0.7510523404377991
340.0,0.05538905759258685,0.2100289136929976,0.7345820287144156,340.0,0.05373335560743954,0.19644542800466352,0.749821216387897
345.0,0.054042932152194974,0.21634686679487444,0.7296102010529305,345.0,0.05331032487435495,0.19775795156047662,0.7489317235651685
350.0,0.05289159942439917,0.2231153080967752,0.7239930924788256,350.0,0.0529673688054889,0.19863360148234083,0.7483990297121703
355.0,0.051426777443904656,0.22955573948065958,0.7190174830754358,355.0,0.052181573964752585,0.19981744994862394,0.7480009760866235
