design,variant,lambda_nm,R,T,A_layers,A_total
original,motheye_h300,680,0.007302,0.023226,0.969472,0.992698
original,motheye_h300,690,0.010655,0.062071,0.927274,0.989345
original,motheye_h300,700,0.002716,0.106890,0.890394,0.997284
original,motheye_h300,710,0.017444,0.144567,0.837989,0.982556
original,motheye_h300,720,0.005801,0.220793,0.773406,0.994199
original,motheye_h300,730,0.008030,0.240516,0.751454,0.991970
original,motheye_h300,740,0.005371,0.338936,0.655693,0.994629
original,motheye_h300,750,0.038348,0.330970,0.630683,0.961652
original,motheye_h500,400,0.000311,0.000000,0.999689,0.999689
original,motheye_h500,410,0.000221,0.000000,0.999779,0.999779
original,motheye_h500,420,0.000174,0.000000,0.999826,0.999826
original,motheye_h500,430,0.000141,0.000000,0.999859,0.999859
original,motheye_h500,440,0.000113,0.000000,0.999887,0.999887
original,motheye_h500,450,0.000087,0.000000,0.999913,0.999913
original,motheye_h500,460,0.000064,0.000000,0.999936,0.999936
original,motheye_h500,470,0.000046,0.000000,0.999954,0.999954
original,motheye_h500,480,0.000034,0.000000,0.999966,0.999966
original,motheye_h500,490,0.000031,0.000000,0.999969,0.999969
original,motheye_h500,500,0.000035,0.000000,0.999965,0.999965
original,motheye_h500,510,0.000046,0.000000,0.999954,0.999954
original,motheye_h500,520,0.000064,0.000000,0.999936,0.999936
original,motheye_h500,530,0.000122,0.000000,0.999878,0.999878
original,motheye_h500,540,0.000233,0.000000,0.999767,0.999767
original,motheye_h500,550,0.000368,0.000000,0.999632,0.999632
original,motheye_h500,560,0.000557,0.000000,0.999443,0.999443
original,motheye_h500,570,0.000664,0.000000,0.999336,0.999336
original,motheye_h500,580,0.000761,0.000000,0.999239,0.999239
original,motheye_h500,590,0.000861,0.000000,0.999139,0.999139
original,motheye_h500,600,0.000966,0.000000,0.999034,0.999034
original,motheye_h500,610,0.001091,0.000000,0.998909,0.998909
original,motheye_h500,620,0.001253,0.000000,0.998747,0.998747
original,motheye_h500,630,0.001470,0.000000,0.998530,0.998530
original,motheye_h500,640,0.001726,0.000000,0.998274,0.998274
original,motheye_h500,650,0.001972,0.000000,0.998028,0.998028
original,motheye_h500,660,0.001704,0.000033,0.998263,0.998296
original,motheye_h500,670,0.001170,0.002083,0.996748,0.998830
original,motheye_h500,680,0.001403,0.015436,0.983161,0.998597
original,motheye_h500,690,0.001844,0.047586,0.950570,0.998156
original,motheye_h500,700,0.001153,0.084271,0.914576,0.998847
original,motheye_h500,710,0.001070,0.113854,0.885075,0.998930
original,motheye_h500,720,0.001464,0.208524,0.790013,0.998536
original,motheye_h500,730,0.008322,0.203670,0.788008,0.991678
original,motheye_h500,740,0.015138,0.309252,0.675610,0.984862
original,motheye_h500,750,0.006180,0.287146,0.706674,0.993820
