lower_fill,lower_t_nm,spacer_nm,lambda_nm,A_layers
0.30,1500,150,440,0.994525
0.30,1500,150,450,0.996175
0.30,1500,150,460,0.997716
0.30,1500,150,470,0.998944
0.30,1500,150,480,0.999697
0.30,1500,150,490,0.999975
0.30,1500,150,500,0.999906
0.30,1500,150,510,0.999458
0.30,1500,150,520,0.998197
0.30,1500,150,530,0.995577
0.30,1500,150,540,0.992512
0.30,1500,150,550,0.993338
0.30,1500,150,560,0.994845
0.30,1500,150,570,0.995644
0.30,1500,150,580,0.996292
0.30,1500,150,590,0.996987
0.30,1500,150,600,0.997747
0.30,1500,150,610,0.998540
0.30,1500,150,620,0.999178
0.30,1500,150,630,0.999310
0.30,1500,150,640,0.998985
0.30,1500,150,650,0.999105
0.30,1500,150,660,0.989801
0.30,1500,150,670,0.953083
0.30,1500,150,680,0.959341
0.30,1500,150,690,0.985403
0.30,1500,150,700,0.996160
0.30,1500,150,710,0.988708
0.30,1500,150,720,0.970282
0.30,1500,150,730,0.948364
0.30,1500,150,740,0.900364
0.30,1500,150,750,0.930796
