metal,table,nG,lambda_nm,Re_eps_metal,Im_eps_metal,Re_eps_eff,Im_eps_eff,R,T,A,R_dB
Ag,jc,221,690.0,-22.338109,0.406752,4.902355,0.019627,0.0232314,0.7855323,0.1912363,-16.339
Ag,jc,221,695.0,-22.705864,0.399941,4.885075,0.018389,0.0086919,0.7947805,0.1965276,-20.609
Ag,jc,221,700.0,-23.073620,0.393130,4.868597,0.017243,0.1171076,0.4524195,0.4304729,-9.314
Ag,jc,221,705.0,-23.444145,0.386296,4.852751,0.016175,0.0366219,0.7109917,0.2523864,-14.363
Ag,jc,221,710.0,-23.839591,0.379257,4.836621,0.015130,0.0445556,0.7930177,0.1624267,-13.511
Ag,jc,221,715.0,-24.235038,0.372218,4.821241,0.014164,0.0743806,0.8061319,0.1194876,-11.285
Ag,jc,221,720.0,-24.630484,0.365180,4.806561,0.013269,0.0758112,0.8110215,0.1131673,-11.203
Ag,jc,221,725.0,-25.025931,0.358141,4.792535,0.012440,0.0507784,0.7721955,0.1770261,-12.943
Ag,jc,221,730.0,-25.421378,0.351102,4.779119,0.011669,0.0632025,0.7664928,0.1703047,-11.993
Ag,jc,221,735.0,-25.816824,0.344063,4.766275,0.010952,0.0787319,0.7574626,0.1638055,-11.038
Ag,jc,221,740.0,-26.212271,0.337024,4.753968,0.010284,0.0112952,0.8886217,0.1000832,-19.471
Ag,jc,221,745.0,-26.607717,0.329985,4.742163,0.009661,0.0075676,0.9005105,0.0919219,-21.210
Ag,jc,221,750.0,-27.003164,0.322947,4.730831,0.009079,0.0539089,0.8435232,0.1025680,-12.683
Cu,jc,221,400.0,-2.816419,5.596616,3.225902,1.184786,0.0031124,0.0000000,0.9968876,-25.069
Cu,jc,221,405.0,-2.972803,5.616648,3.237923,1.216331,0.0028899,0.0000000,0.9971101,-25.391
Cu,jc,221,410.0,-3.129187,5.636679,3.251445,1.248097,0.0032614,0.0000000,0.9967386,-24.866
Cu,jc,221,415.0,-3.283608,5.661029,3.267305,1.279262,0.0034864,0.0000000,0.9965136,-24.576
Cu,jc,221,420.0,-3.434218,5.693762,3.286229,1.308858,0.0036116,0.0000000,0.9963884,-24.423
Cu,jc,221,425.0,-3.584828,5.726494,3.306703,1.338129,0.0036655,0.0000000,0.9963345,-24.359
Cu,jc,221,430.0,-3.735439,5.759227,3.328744,1.366969,0.0036673,0.0000000,0.9963327,-24.357
Cu,jc,221,435.0,-3.851419,5.802669,3.350633,1.386740,0.0035994,0.0000000,0.9964006,-24.438
Cu,jc,221,440.0,-3.963551,5.847301,3.373147,1.404891,0.0035034,0.0000000,0.9964966,-24.555
Cu,jc,221,445.0,-4.075684,5.891934,3.396408,1.422320,0.0033946,0.0000000,0.9966054,-24.692
Cu,jc,221,450.0,-4.187816,5.936566,3.420380,1.438983,0.0032829,0.0000000,0.9967171,-24.837
Cu,jc,221,455.0,-4.286960,5.997180,3.446265,1.449999,0.0031626,0.0000000,0.9968374,-25.000
Cu,jc,221,460.0,-4.383253,6.061302,3.472675,1.459024,0.0030525,0.0000000,0.9969475,-25.153
Cu,jc,221,465.0,-4.479545,6.125424,3.499251,1.467107,0.0029626,0.0000000,0.9970374,-25.283
Cu,jc,221,470.0,-4.575838,6.189546,3.525944,1.474247,0.0028990,0.0000000,0.9971010,-25.378
Cu,jc,221,475.0,-4.673757,6.214656,3.546312,1.487192,0.0028853,0.0000000,0.9971147,-25.398
Cu,jc,221,480.0,-4.772308,6.224595,3.564704,1.502305,0.0029165,0.0000000,0.9970835,-25.351
Cu,jc,221,485.0,-4.870859,6.234533,3.583673,1.517013,0.0029878,0.0000000,0.9970122,-25.247
Cu,jc,221,490.0,-4.969410,6.244472,3.603209,1.531289,0.0031002,0.0000000,0.9968998,-25.086
