design,au_model,lambda_nm,R,T,A_layers,A_total
original,lerer_fit,1700.0,0.028739,0.924462,0.046799,0.971261
original,lerer_fit,1720.0,0.049746,0.905996,0.044258,0.950254
original,lerer_fit,1740.0,0.079372,0.879007,0.041621,0.920628
original,lerer_fit,1760.0,0.112167,0.848869,0.038964,0.887833
original,lerer_fit,1780.0,0.149151,0.824814,0.026035,0.850849
original,lerer_fit,1800.0,0.172877,0.798365,0.028758,0.827123
original,lerer_fit,1820.0,0.190841,0.777004,0.032155,0.809159
original,lerer_fit,1840.0,0.203577,0.764827,0.031596,0.796423
original,lerer_fit,1860.0,0.209038,0.760503,0.030459,0.790962
original,lerer_fit,1880.0,0.207163,0.763123,0.029714,0.792837
original,lerer_fit,1900.0,0.198578,0.771929,0.029493,0.801422
original,lerer_fit,1920.0,0.184057,0.786443,0.029500,0.815943
original,lerer_fit,1940.0,0.164629,0.805766,0.029605,0.835371
original,lerer_fit,1960.0,0.141506,0.828834,0.029660,0.858494
original,lerer_fit,1980.0,0.116370,0.853880,0.029751,0.883630
original,lerer_fit,2000.0,0.091086,0.879101,0.029813,0.908914
original,lerer_fit,2050.0,0.039981,0.930058,0.029961,0.960019
original,lerer_fit,2100.0,0.026090,0.945239,0.028671,0.973910
original,lerer_fit,2150.0,0.052523,0.921117,0.026360,0.947477
original,lerer_fit,2200.0,0.101929,0.874369,0.023702,0.898071
original,lerer_fit,2250.0,0.153056,0.825641,0.021303,0.846944
original,lerer_fit,2300.0,0.192359,0.788195,0.019445,0.807641
original,lerer_fit,2350.0,0.214467,0.767367,0.018165,0.785533
original,lerer_fit,2400.0,0.218535,0.764064,0.017402,0.781465
original,lerer_fit,2450.0,0.207304,0.775700,0.016996,0.792696
original,lerer_fit,2500.0,0.182846,0.800293,0.016861,0.817154
original,lerer_fit,2550.0,0.149135,0.833989,0.016877,0.850865
original,lerer_fit,2600.0,0.111285,0.871794,0.016921,0.888715
original,lerer_fit,2650.0,0.075290,0.907831,0.016879,0.924710
original,lerer_fit,2700.0,0.047122,0.936218,0.016661,0.952878
original,lerer_fit,2750.0,0.031337,0.952444,0.016219,0.968663
original,lerer_fit,2800.0,0.029850,0.954590,0.015561,0.970150
original,lerer_fit,2850.0,0.041604,0.943656,0.014740,0.958396
original,lerer_fit,2900.0,0.063336,0.922830,0.013833,0.936664
original,lerer_fit,2950.0,0.090872,0.896212,0.012917,0.909128
original,lerer_fit,3000.0,0.120277,0.867674,0.012049,0.879723
original,lerer_fit,3050.0,0.148491,0.840243,0.011266,0.851509
original,lerer_fit,3100.0,0.173460,0.815954,0.010586,0.826540
original,lerer_fit,3150.0,0.194005,0.795984,0.010010,0.805995
original,lerer_fit,3200.0,0.209586,0.780879,0.009535,0.790414
original,lerer_fit,3250.0,0.220083,0.770767,0.009150,0.779917
original,lerer_fit,3300.0,0.225638,0.765519,0.008843,0.774362
original,lerer_fit,3350.0,0.226543,0.764853,0.008604,0.773457
original,lerer_fit,3400.0,0.223180,0.768400,0.008420,0.776820
original,lerer_fit,3450.0,0.215987,0.775731,0.008281,0.784013
original,lerer_fit,3500.0,0.205448,0.786374,0.008178,0.794552
original,lerer_fit,3550.0,0.192086,0.799813,0.008101,0.807914
original,lerer_fit,3600.0,0.176466,0.815492,0.008042,0.823534
original,lerer_fit,3650.0,0.159196,0.832811,0.007994,0.840804
original,lerer_fit,3700.0,0.140920,0.851132,0.007948,0.859080
original,lerer_fit,3750.0,0.122309,0.869792,0.007899,0.877691
original,lerer_fit,3800.0,0.104043,0.888117,0.007840,0.895957
original,lerer_fit,3850.0,0.086782,0.905450,0.007768,0.913218
original,lerer_fit,3900.0,0.071136,0.921186,0.007678,0.928864
original,lerer_fit,3950.0,0.057636,0.934794,0.007569,0.942364
original,lerer_fit,4000.0,0.046705,0.945855,0.007440,0.953295
original,lerer_fit,2500.0,0.182846,0.800293,0.016861,0.817154
original,lerer_fit,2699.6,0.047301,0.936035,0.016663,0.952699
original,lerer_fit,2915.1,0.071255,0.915192,0.013554,0.928745
original,lerer_fit,3147.9,0.193236,0.796732,0.010033,0.806764
original,lerer_fit,3399.2,0.223263,0.768315,0.008422,0.776737
original,lerer_fit,3670.6,0.151745,0.840281,0.007975,0.848255
original,lerer_fit,3963.7,0.054376,0.938088,0.007536,0.945624
original,lerer_fit,4280.1,0.039145,0.954456,0.006399,0.960855
original,lerer_fit,4621.9,0.111316,0.883711,0.004973,0.888684
original,lerer_fit,4990.9,0.189714,0.806402,0.003884,0.810286
original,lerer_fit,5389.4,0.228912,0.767866,0.003222,0.771088
original,lerer_fit,5819.7,0.224292,0.772863,0.002844,0.775708
original,lerer_fit,6284.3,0.185603,0.811792,0.002605,0.814397
original,lerer_fit,6786.0,0.128606,0.868991,0.002403,0.871394
original,lerer_fit,7327.8,0.073484,0.924344,0.002172,0.926516
original,lerer_fit,7912.9,0.039297,0.958809,0.001894,0.960703
original,lerer_fit,8544.7,0.035069,0.963340,0.001591,0.964931
original,lerer_fit,9226.9,0.056607,0.942093,0.001300,0.943393
original,lerer_fit,9963.6,0.092400,0.906551,0.001050,0.907600
original,lerer_fit,10759.1,0.131382,0.867768,0.000850,0.868618
original,lerer_fit,11618.1,0.166491,0.832813,0.000696,0.833509
original,lerer_fit,12545.7,0.194494,0.804927,0.000579,0.805506
original,lerer_fit,13547.4,0.214603,0.784906,0.000490,0.785397
original,lerer_fit,14629.0,0.227274,0.772305,0.000421,0.772726
original,lerer_fit,15797.0,0.233473,0.766161,0.000367,0.766527
original,lerer_fit,17058.2,0.234305,0.765373,0.000322,0.765695
original,lerer_fit,18420.2,0.230847,0.768868,0.000285,0.769153
original,lerer_fit,19890.8,0.224077,0.775670,0.000253,0.775923
original,lerer_fit,21478.9,0.214858,0.784917,0.000225,0.785142
original,lerer_fit,23193.8,0.203932,0.795868,0.000200,0.796068
original,lerer_fit,25045.7,0.191928,0.807895,0.000178,0.808072
original,lerer_fit,27045.3,0.179366,0.820476,0.000158,0.820634
original,lerer_fit,29204.6,0.166670,0.833190,0.000140,0.833330
original,lerer_fit,31536.4,0.154170,0.845706,0.000124,0.845830
original,lerer_fit,34054.2,0.142117,0.857774,0.000109,0.857883
original,lerer_fit,36773.2,0.130692,0.869213,0.000096,0.869308
original,lerer_fit,39709.2,0.120013,0.879903,0.000084,0.879987
original,lerer_fit,42879.6,0.110152,0.889775,0.000074,0.889848
original,lerer_fit,46303.1,0.101138,0.898798,0.000064,0.898862
original,lerer_fit,50000.0,0.092970,0.906974,0.000056,0.907030
original,lerer_ordal,2500.0,0.181837,0.814104,0.004059,0.818163
original,lerer_ordal,2699.6,0.045540,0.950445,0.004014,0.954460
original,lerer_ordal,2915.1,0.072384,0.924360,0.003256,0.927616
original,lerer_ordal,3147.9,0.194589,0.803000,0.002411,0.805411
original,lerer_ordal,3399.2,0.223577,0.774395,0.002029,0.776423
original,lerer_ordal,3670.6,0.151188,0.846889,0.001923,0.848812
original,lerer_ordal,3963.7,0.053696,0.944486,0.001818,0.946304
original,lerer_ordal,4280.1,0.039111,0.959346,0.001543,0.960889
original,lerer_ordal,4621.9,0.111735,0.887067,0.001199,0.888265
original,lerer_ordal,4990.9,0.190138,0.808926,0.000936,0.809862
original,lerer_ordal,5389.4,0.229181,0.770042,0.000777,0.770819
original,lerer_ordal,5819.7,0.224396,0.774918,0.000686,0.775604
original,lerer_ordal,6284.3,0.185568,0.813803,0.000629,0.814432
