design,au_model,lambda_nm,R,T,A_layers,A_total
improved,lerer_fit,14629.0,0.935252,0.061651,0.003097,0.064748
improved,lerer_fit,15797.0,0.918997,0.077787,0.003216,0.081003
improved,lerer_fit,17058.2,0.905852,0.091086,0.003062,0.094148
improved,lerer_fit,18420.2,0.902190,0.095235,0.002575,0.097810
improved,lerer_fit,19890.8,0.909121,0.088961,0.001917,0.090879
improved,lerer_fit,21478.9,0.921658,0.077029,0.001313,0.078342
improved,lerer_fit,23193.8,0.934635,0.064501,0.000864,0.065365
improved,lerer_fit,25045.7,0.945683,0.053754,0.000563,0.054317
improved,lerer_fit,27045.3,0.954399,0.045233,0.000368,0.045601
improved,lerer_fit,29204.6,0.961112,0.038644,0.000244,0.038888
improved,lerer_fit,31536.4,0.966281,0.033556,0.000164,0.033719
improved,lerer_fit,34054.2,0.970302,0.029587,0.000111,0.029698
improved,lerer_fit,36773.2,0.973478,0.026446,0.000076,0.026522
improved,lerer_fit,39709.2,0.976027,0.023920,0.000053,0.023973
improved,lerer_fit,42879.6,0.978106,0.021857,0.000037,0.021894
improved,lerer_fit,46303.1,0.979830,0.020144,0.000026,0.020170
improved,lerer_fit,50000.0,0.981281,0.018700,0.000019,0.018719
improved,lerer_ordal,2500.0,0.983055,0.006722,0.010223,0.016945
improved,lerer_ordal,2699.6,0.950760,0.021777,0.027463,0.049240
improved,lerer_ordal,2915.1,0.973271,0.013401,0.013329,0.026729
improved,lerer_ordal,3147.9,0.987196,0.006959,0.005845,0.012804
improved,lerer_ordal,3399.2,0.985343,0.008386,0.006271,0.014657
improved,lerer_ordal,3670.6,0.970819,0.017701,0.011480,0.029181
improved,lerer_ordal,3963.7,0.968488,0.020448,0.011064,0.031512
improved,lerer_ordal,4280.1,0.984469,0.010713,0.004818,0.015531
improved,lerer_ordal,4621.9,0.989366,0.007697,0.002938,0.010634
improved,lerer_ordal,4990.9,0.989271,0.008079,0.002650,0.010729
improved,lerer_ordal,5389.4,0.985263,0.011516,0.003221,0.014737
improved,lerer_ordal,5819.7,0.975865,0.019547,0.004588,0.024135
improved,lerer_ordal,6284.3,0.969717,0.025335,0.004948,0.030283
improved,lerer_ordal,6786.0,0.978828,0.018193,0.002979,0.021172
improved,lerer_ordal,7327.8,0.986868,0.011517,0.001615,0.013132
improved,lerer_ordal,7912.9,0.990669,0.008307,0.001023,0.009331
improved,lerer_ordal,8544.7,0.992312,0.006925,0.000763,0.007688
improved,lerer_ordal,9226.9,0.992856,0.006500,0.000644,0.007144
improved,lerer_ordal,9963.6,0.992696,0.006708,0.000595,0.007304
improved,lerer_ordal,10759.1,0.991932,0.007480,0.000587,0.008068
improved,lerer_ordal,11618.1,0.990502,0.008891,0.000607,0.009498
improved,lerer_ordal,12545.7,0.988225,0.011125,0.000650,0.011775
improved,lerer_ordal,13547.4,0.984858,0.014434,0.000708,0.015142
improved,lerer_ordal,14629.0,0.980267,0.018964,0.000769,0.019733
improved,lerer_ordal,15797.0,0.974920,0.024278,0.000801,0.025080
improved,lerer_ordal,17058.2,0.970462,0.028774,0.000763,0.029538
improved,lerer_ordal,18420.2,0.969033,0.030328,0.000639,0.030967
improved,lerer_ordal,19890.8,0.971043,0.028484,0.000472,0.028957
improved,lerer_ordal,21478.9,0.974872,0.024807,0.000321,0.025128
improved,lerer_ordal,23193.8,0.978853,0.020938,0.000210,0.021147
improved,lerer_ordal,25045.7,0.982236,0.017628,0.000136,0.017764
improved,lerer_ordal,27045.3,0.984897,0.015014,0.000089,0.015103
improved,lerer_ordal,29204.6,0.986940,0.013001,0.000058,0.013060
improved,lerer_ordal,31536.4,0.988507,0.011454,0.000039,0.011493
improved,lerer_ordal,34054.2,0.989721,0.010252,0.000027,0.010279
improved,lerer_ordal,36773.2,0.990674,0.009307,0.000018,0.009326
improved,lerer_ordal,39709.2,0.991435,0.008552,0.000013,0.008565
improved,lerer_ordal,42879.6,0.992052,0.007939,0.000009,0.007948
improved,lerer_ordal,46303.1,0.992561,0.007433,0.000006,0.007439
improved,lerer_ordal,50000.0,0.992987,0.007008,0.000004,0.007013
improved_no_mirror,lerer_fit,300.0,0.038247,0.000000,0.961753,0.961753
improved_no_mirror,lerer_fit,310.0,0.036655,0.000000,0.963345,0.963345
improved_no_mirror,lerer_fit,320.0,0.034422,0.000000,0.965578,0.965578
improved_no_mirror,lerer_fit,330.0,0.031528,0.000000,0.968472,0.968472
improved_no_mirror,lerer_fit,340.0,0.028650,0.000000,0.971350,0.971350
improved_no_mirror,lerer_fit,350.0,0.026092,0.000000,0.973908,0.973908
improved_no_mirror,lerer_fit,360.0,0.023680,0.000000,0.976320,0.976320
improved_no_mirror,lerer_fit,370.0,0.021201,0.000000,0.978799,0.978799
improved_no_mirror,lerer_fit,380.0,0.018562,0.000000,0.981438,0.981438
improved_no_mirror,lerer_fit,390.0,0.015865,0.000000,0.984135,0.984135
improved_no_mirror,lerer_fit,400.0,0.013307,0.000000,0.986693,0.986693
improved_no_mirror,lerer_fit,410.0,0.010933,0.000000,0.989067,0.989067
improved_no_mirror,lerer_fit,420.0,0.008852,0.000000,0.991148,0.991148
improved_no_mirror,lerer_fit,430.0,0.007016,0.000000,0.992984,0.992984
improved_no_mirror,lerer_fit,440.0,0.005309,0.000000,0.994691,0.994691
improved_no_mirror,lerer_fit,450.0,0.003656,0.000000,0.996344,0.996344
improved_no_mirror,lerer_fit,460.0,0.002205,0.000000,0.997795,0.997795
improved_no_mirror,lerer_fit,470.0,0.001072,0.000000,0.998928,0.998928
improved_no_mirror,lerer_fit,480.0,0.000346,0.000000,0.999654,0.999654
improved_no_mirror,lerer_fit,490.0,0.000029,0.000000,0.999971,0.999971
improved_no_mirror,lerer_fit,500.0,0.000155,0.000000,0.999845,0.999845
improved_no_mirror,lerer_fit,510.0,0.000717,0.000000,0.999283,0.999283
improved_no_mirror,lerer_fit,520.0,0.002198,0.000000,0.997802,0.997802
improved_no_mirror,lerer_fit,530.0,0.005435,0.000000,0.994565,0.994565
improved_no_mirror,lerer_fit,540.0,0.009950,0.000000,0.990050,0.990050
improved_no_mirror,lerer_fit,550.0,0.010145,0.000000,0.989855,0.989855
improved_no_mirror,lerer_fit,560.0,0.008580,0.000000,0.991420,0.991420
improved_no_mirror,lerer_fit,570.0,0.007393,0.000000,0.992607,0.992607
improved_no_mirror,lerer_fit,580.0,0.006469,0.000000,0.993531,0.993531
improved_no_mirror,lerer_fit,590.0,0.005459,0.000000,0.994541,0.994541
improved_no_mirror,lerer_fit,600.0,0.004357,0.000000,0.995643,0.995643
improved_no_mirror,lerer_fit,610.0,0.003192,0.000000,0.996808,0.996808
improved_no_mirror,lerer_fit,620.0,0.002097,0.000000,0.997903,0.997903
improved_no_mirror,lerer_fit,630.0,0.001368,0.000000,0.998632,0.998632
improved_no_mirror,lerer_fit,640.0,0.000994,0.000000,0.999006,0.999006
improved_no_mirror,lerer_fit,650.0,0.000582,0.000000,0.999418,0.999418
improved_no_mirror,lerer_fit,660.0,0.003086,0.000000,0.996914,0.996914
improved_no_mirror,lerer_fit,670.0,0.017878,0.000016,0.982106,0.982122
improved_no_mirror,lerer_fit,680.0,0.016677,0.001082,0.982241,0.983323
improved_no_mirror,lerer_fit,690.0,0.006215,0.009417,0.984368,0.993785
improved_no_mirror,lerer_fit,700.0,0.001472,0.026480,0.972048,0.998528
improved_no_mirror,lerer_fit,710.0,0.003325,0.054251,0.942423,0.996675
improved_no_mirror,lerer_fit,720.0,0.018571,0.090961,0.890468,0.981429
improved_no_mirror,lerer_fit,730.0,0.019874,0.134386,0.845741,0.980126
improved_no_mirror,lerer_fit,740.0,0.067157,0.163886,0.768957,0.932843
improved_no_mirror,lerer_fit,750.0,0.040584,0.209652,0.749764,0.959416
improved_no_mirror,lerer_fit,760.0,0.039167,0.249802,0.711031,0.960833
improved_no_mirror,lerer_fit,770.0,0.111370,0.264990,0.623641,0.888630
improved_no_mirror,lerer_fit,780.0,0.101004,0.300236,0.598760,0.898996
improved_no_mirror,lerer_fit,790.0,0.029062,0.359231,0.611707,0.970938
improved_no_mirror,lerer_fit,800.0,0.037805,0.389831,0.572365,0.962195
improved_no_mirror,lerer_fit,820.0,0.121912,0.404136,0.473952,0.878088
improved_no_mirror,lerer_fit,840.0,0.005739,0.503088,0.491173,0.994261
improved_no_mirror,lerer_fit,860.0,0.069368,0.509207,0.421425,0.930632
improved_no_mirror,lerer_fit,880.0,0.071549,0.537971,0.390480,0.928451
improved_no_mirror,lerer_fit,900.0,0.001685,0.607033,0.391282,0.998315
improved_no_mirror,lerer_fit,920.0,0.082124,0.585947,0.331929,0.917876
improved_no_mirror,lerer_fit,940.0,0.107841,0.595781,0.296377,0.892159
improved_no_mirror,lerer_fit,960.0,0.019264,0.677052,0.303684,0.980736
improved_no_mirror,lerer_fit,980.0,0.033058,0.682892,0.284051,0.966942
improved_no_mirror,lerer_fit,1000.0,0.160089,0.605688,0.234223,0.839911
improved_no_mirror,lerer_fit,1020.0,0.205942,0.584188,0.209870,0.794058
improved_no_mirror,lerer_fit,1040.0,0.129229,0.656108,0.214663,0.870771
improved_no_mirror,lerer_fit,1060.0,0.022594,0.753927,0.223479,0.977406
improved_no_mirror,lerer_fit,1080.0,0.059282,0.740389,0.200329,0.940718
improved_no_mirror,lerer_fit,1100.0,0.186128,0.650569,0.163303,0.813872
improved_no_mirror,lerer_fit,1120.0,0.256359,0.602942,0.140699,0.743641
improved_no_mirror,lerer_fit,1140.0,0.234480,0.627259,0.138261,0.765520
improved_no_mirror,lerer_fit,1160.0,0.140522,0.711097,0.148380,0.859478
improved_no_mirror,lerer_fit,1180.0,0.037047,0.804821,0.158132,0.962953
improved_no_mirror,lerer_fit,1200.0,0.017581,0.829379,0.153040,0.982419
improved_no_mirror,lerer_fit,1220.0,0.090673,0.774126,0.135201,0.909327
improved_no_mirror,lerer_fit,1240.0,0.176802,0.705379,0.117819,0.823198
improved_no_mirror,lerer_fit,1260.0,0.207877,0.651248,0.140875,0.792123
improved_no_mirror,lerer_fit,1280.0,0.216919,0.638932,0.144149,0.783081
improved_no_mirror,lerer_fit,1300.0,0.181237,0.672408,0.146355,0.818763
improved_no_mirror,lerer_fit,1320.0,0.110501,0.735233,0.154266,0.889499
improved_no_mirror,lerer_fit,1340.0,0.036821,0.801296,0.161883,0.963179
improved_no_mirror,lerer_fit,1360.0,0.001247,0.836681,0.162072,0.998753
improved_no_mirror,lerer_fit,1380.0,0.042237,0.845591,0.112172,0.957763
improved_no_mirror,lerer_fit,1400.0,0.087586,0.786897,0.125518,0.912414
improved_no_mirror,lerer_fit,1420.0,0.136627,0.737732,0.125642,0.863373
improved_no_mirror,lerer_fit,1440.0,0.172560,0.710620,0.116820,0.827440
improved_no_mirror,lerer_fit,1460.0,0.179808,0.708064,0.112128,0.820192
improved_no_mirror,lerer_fit,1480.0,0.158962,0.729330,0.111708,0.841038
improved_no_mirror,lerer_fit,1500.0,0.116287,0.769768,0.113945,0.883713
improved_no_mirror,lerer_fit,1520.0,0.063786,0.818983,0.117231,0.936214
improved_no_mirror,lerer_fit,1540.0,0.019291,0.861449,0.119259,0.980709
improved_no_mirror,lerer_fit,1560.0,0.002761,0.917036,0.080203,0.997239
improved_no_mirror,lerer_fit,1580.0,0.021953,0.880186,0.097861,0.978047
improved_no_mirror,lerer_fit,1600.0,0.061071,0.835507,0.103422,0.938929
improved_no_mirror,lerer_fit,1620.0,0.115994,0.788687,0.095320,0.884006
improved_no_mirror,lerer_fit,1640.0,0.168441,0.744153,0.087406,0.831559
improved_no_mirror,lerer_fit,1660.0,0.209363,0.710266,0.080371,0.790637
improved_no_mirror,lerer_fit,1680.0,0.234243,0.690424,0.075334,0.765757
improved_no_mirror,lerer_fit,1700.0,0.242159,0.685484,0.072356,0.757841
improved_no_mirror,lerer_fit,1720.0,0.233842,0.695280,0.070878,0.766158
improved_no_mirror,lerer_fit,1740.0,0.210829,0.718235,0.070937,0.789171
improved_no_mirror,lerer_fit,1760.0,0.175746,0.752367,0.071887,0.824254
improved_no_mirror,lerer_fit,1780.0,0.117039,0.829175,0.053786,0.882961
improved_no_mirror,lerer_fit,1800.0,0.079102,0.857477,0.063420,0.920898
improved_no_mirror,lerer_fit,1820.0,0.047706,0.877778,0.074516,0.952294
improved_no_mirror,lerer_fit,1840.0,0.023494,0.900589,0.075916,0.976506
improved_no_mirror,lerer_fit,1860.0,0.018069,0.908149,0.073781,0.981931
improved_no_mirror,lerer_fit,1880.0,0.033589,0.895999,0.070412,0.966411
improved_no_mirror,lerer_fit,1900.0,0.065848,0.867502,0.066651,0.934152
improved_no_mirror,lerer_fit,1920.0,0.108354,0.829226,0.062420,0.891646
improved_no_mirror,lerer_fit,1940.0,0.154324,0.787628,0.058047,0.845676
improved_no_mirror,lerer_fit,1960.0,0.198574,0.747696,0.053730,0.801426
improved_no_mirror,lerer_fit,1980.0,0.237269,0.712727,0.050004,0.762731
improved_no_mirror,lerer_fit,2000.0,0.268527,0.684535,0.046938,0.731473
improved_no_mirror,lerer_fit,2050.0,0.310568,0.646724,0.042708,0.689432
improved_no_mirror,lerer_fit,2100.0,0.303568,0.655127,0.041305,0.696432
improved_no_mirror,lerer_fit,2150.0,0.255236,0.702606,0.042158,0.744764
improved_no_mirror,lerer_fit,2200.0,0.177570,0.778177,0.044253,0.822430
improved_no_mirror,lerer_fit,2250.0,0.093630,0.860164,0.046206,0.906370
improved_no_mirror,lerer_fit,2300.0,0.037054,0.916503,0.046443,0.962946
improved_no_mirror,lerer_fit,2350.0,0.032870,0.922960,0.044170,0.967130
improved_no_mirror,lerer_fit,2400.0,0.076745,0.883206,0.040049,0.923255
improved_no_mirror,lerer_fit,2450.0,0.142859,0.821669,0.035471,0.857141
improved_no_mirror,lerer_fit,2500.0,0.206891,0.761642,0.031467,0.793109
improved_no_mirror,lerer_fit,2550.0,0.255985,0.715584,0.028431,0.744015
improved_no_mirror,lerer_fit,2600.0,0.286168,0.687465,0.026368,0.713832
improved_no_mirror,lerer_fit,2650.0,0.297650,0.677213,0.025137,0.702350
improved_no_mirror,lerer_fit,2700.0,0.292045,0.683379,0.024576,0.707955
improved_no_mirror,lerer_fit,2750.0,0.271361,0.704105,0.024534,0.728639
improved_no_mirror,lerer_fit,2800.0,0.237954,0.737180,0.024866,0.762046
improved_no_mirror,lerer_fit,2850.0,0.194884,0.779690,0.025426,0.805116
improved_no_mirror,lerer_fit,2900.0,0.146341,0.827606,0.026053,0.853659
improved_no_mirror,lerer_fit,2950.0,0.097770,0.875659,0.026571,0.902230
improved_no_mirror,lerer_fit,3000.0,0.055374,0.917812,0.026814,0.944626
improved_no_mirror,lerer_fit,3050.0,0.024887,0.948457,0.026655,0.975113
improved_no_mirror,lerer_fit,3100.0,0.010031,0.963919,0.026050,0.989969
improved_no_mirror,lerer_fit,3150.0,0.011485,0.963475,0.025039,0.988515
improved_no_mirror,lerer_fit,3200.0,0.026987,0.949278,0.023735,0.973013
improved_no_mirror,lerer_fit,3250.0,0.052426,0.925297,0.022277,0.947574
improved_no_mirror,lerer_fit,3300.0,0.083235,0.895972,0.020793,0.916765
improved_no_mirror,lerer_fit,3350.0,0.115420,0.865200,0.019380,0.884580
improved_no_mirror,lerer_fit,3400.0,0.146020,0.835883,0.018097,0.853980
improved_no_mirror,lerer_fit,3450.0,0.173122,0.809905,0.016973,0.826878
improved_no_mirror,lerer_fit,3500.0,0.195664,0.788323,0.016013,0.804336
improved_no_mirror,lerer_fit,3550.0,0.213177,0.771610,0.015213,0.786823
improved_no_mirror,lerer_fit,3600.0,0.225577,0.759865,0.014558,0.774423
improved_no_mirror,lerer_fit,3650.0,0.233002,0.752964,0.014033,0.766998
improved_no_mirror,lerer_fit,3700.0,0.235717,0.750661,0.013622,0.764283
improved_no_mirror,lerer_fit,3750.0,0.234052,0.752640,0.013308,0.765948
improved_no_mirror,lerer_fit,3800.0,0.228374,0.758549,0.013076,0.771626
improved_no_mirror,lerer_fit,3850.0,0.219079,0.768007,0.012914,0.780921
improved_no_mirror,lerer_fit,3900.0,0.206589,0.780604,0.012807,0.793411
improved_no_mirror,lerer_fit,3950.0,0.191358,0.795898,0.012744,0.808642
improved_no_mirror,lerer_fit,4000.0,0.173883,0.813404,0.012713,0.826117
improved_no_mirror,lerer_fit,2500.0,0.206891,0.761642,0.031467,0.793109
improved_no_mirror,lerer_fit,2699.6,0.292152,0.683270,0.024579,0.707848
improved_no_mirror,lerer_fit,2915.1,0.131358,0.842412,0.026230,0.868642
improved_no_mirror,lerer_fit,3147.9,0.011115,0.963796,0.025089,0.988885
improved_no_mirror,lerer_fit,3399.2,0.145564,0.836320,0.018116,0.854436
improved_no_mirror,lerer_fit,3670.6,0.234674,0.751475,0.013851,0.765326
improved_no_mirror,lerer_fit,3963.7,0.186778,0.800489,0.012733,0.813222
improved_no_mirror,lerer_fit,4280.1,0.062029,0.925327,0.012644,0.937971
improved_no_mirror,lerer_fit,4621.9,0.002947,0.985592,0.011461,0.997053
improved_no_mirror,lerer_fit,4990.9,0.077862,0.913115,0.009023,0.922138
improved_no_mirror,lerer_fit,5389.4,0.184704,0.808464,0.006832,0.815296
improved_no_mirror,lerer_fit,5819.7,0.245821,0.748730,0.005450,0.754179
improved_no_mirror,lerer_fit,6284.3,0.250293,0.745029,0.004678,0.749707
improved_no_mirror,lerer_fit,6786.0,0.208506,0.787252,0.004242,0.791494
improved_no_mirror,lerer_fit,7327.8,0.138059,0.858009,0.003932,0.861941
improved_no_mirror,lerer_fit,7912.9,0.065429,0.930976,0.003595,0.934571
improved_no_mirror,lerer_fit,8544.7,0.021100,0.975745,0.003156,0.978900
improved_no_mirror,lerer_fit,9226.9,0.022372,0.974991,0.002637,0.977628
improved_no_mirror,lerer_fit,9963.6,0.062614,0.935263,0.002123,0.937386
improved_no_mirror,lerer_fit,10759.1,0.121601,0.876717,0.001683,0.878399
improved_no_mirror,lerer_fit,11618.1,0.181436,0.817225,0.001339,0.818564
improved_no_mirror,lerer_fit,12545.7,0.232485,0.766432,0.001083,0.767515
improved_no_mirror,lerer_fit,13547.4,0.271591,0.727514,0.000895,0.728409
improved_no_mirror,lerer_fit,14629.0,0.298929,0.700315,0.000755,0.701071
improved_no_mirror,lerer_fit,15797.0,0.315941,0.683409,0.000650,0.684059
improved_no_mirror,lerer_fit,17058.2,0.324345,0.675088,0.000567,0.675655
improved_no_mirror,lerer_fit,18420.2,0.325761,0.673738,0.000501,0.674239
improved_no_mirror,lerer_fit,19890.8,0.321604,0.677950,0.000446,0.678396
improved_no_mirror,lerer_fit,21478.9,0.313084,0.686516,0.000400,0.686916
improved_no_mirror,lerer_fit,23193.8,0.301233,0.698408,0.000359,0.698767
improved_no_mirror,lerer_fit,25045.7,0.286936,0.712742,0.000322,0.713064
improved_no_mirror,lerer_fit,27045.3,0.270952,0.728759,0.000289,0.729048
improved_no_mirror,lerer_fit,29204.6,0.253932,0.745809,0.000259,0.746068
improved_no_mirror,lerer_fit,31536.4,0.236426,0.763342,0.000232,0.763574
improved_no_mirror,lerer_fit,34054.2,0.218892,0.780901,0.000207,0.781108
improved_no_mirror,lerer_fit,36773.2,0.201703,0.798113,0.000184,0.798297
improved_no_mirror,lerer_fit,39709.2,0.185147,0.814689,0.000163,0.814853
improved_no_mirror,lerer_fit,42879.6,0.169441,0.830415,0.000144,0.830559
improved_no_mirror,lerer_fit,46303.1,0.154733,0.845139,0.000127,0.845267
improved_no_mirror,lerer_fit,50000.0,0.141115,0.858773,0.000112,0.858885
improved_no_mirror,lerer_ordal,2500.0,0.215090,0.777367,0.007543,0.784910
improved_no_mirror,lerer_ordal,2699.6,0.294209,0.699849,0.005942,0.705791
improved_no_mirror,lerer_ordal,2915.1,0.128080,0.865541,0.006379,0.871920
improved_no_mirror,lerer_ordal,3147.9,0.011224,0.982707,0.006070,0.988776
improved_no_mirror,lerer_ordal,3399.2,0.149028,0.846609,0.004363,0.850972
improved_no_mirror,lerer_ordal,3670.6,0.236664,0.759995,0.003341,0.763336
improved_no_mirror,lerer_ordal,3963.7,0.186923,0.809998,0.003079,0.813077
improved_no_mirror,lerer_ordal,4280.1,0.061200,0.935740,0.003060,0.938800
improved_no_mirror,lerer_ordal,4621.9,0.002932,0.994297,0.002771,0.997068
improved_no_mirror,lerer_ordal,4990.9,0.078965,0.918857,0.002178,0.921035
improved_no_mirror,lerer_ordal,5389.4,0.185942,0.812409,0.001649,0.814058
improved_no_mirror,lerer_ordal,5819.7,0.246736,0.751948,0.001316,0.753264
improved_no_mirror,lerer_ordal,6284.3,0.250832,0.748038,0.001130,0.749168
improved_no_mirror,lerer_ordal,6786.0,0.208707,0.790268,0.001025,0.791293
improved_no_mirror,lerer_ordal,7327.8,0.137998,0.861052,0.000950,0.862002
improved_no_mirror,lerer_ordal,7912.9,0.065238,0.933894,0.000869,0.934762
improved_no_mirror,lerer_ordal,8544.7,0.020940,0.978297,0.000762,0.979060
improved_no_mirror,lerer_ordal,9226.9,0.022344,0.977019,0.000637,0.977656
improved_no_mirror,lerer_ordal,9963.6,0.062714,0.936774,0.000513,0.937286
improved_no_mirror,lerer_ordal,10759.1,0.121771,0.877823,0.000406,0.878229
improved_no_mirror,lerer_ordal,11618.1,0.181626,0.818051,0.000323,0.818374
improved_no_mirror,lerer_ordal,12545.7,0.232666,0.767073,0.000262,0.767334
improved_no_mirror,lerer_ordal,13547.4,0.271751,0.728033,0.000216,0.728249
improved_no_mirror,lerer_ordal,14629.0,0.299067,0.700751,0.000182,0.700933
improved_no_mirror,lerer_ordal,15797.0,0.316057,0.683786,0.000157,0.683943
improved_no_mirror,lerer_ordal,17058.2,0.324442,0.675421,0.000137,0.675558
improved_no_mirror,lerer_ordal,18420.2,0.325841,0.674038,0.000121,0.674159
improved_no_mirror,lerer_ordal,19890.8,0.321669,0.678223,0.000108,0.678331
improved_no_mirror,lerer_ordal,21478.9,0.313136,0.686767,0.000097,0.686864
improved_no_mirror,lerer_ordal,23193.8,0.301274,0.698639,0.000087,0.698726
improved_no_mirror,lerer_ordal,25045.7,0.286967,0.712955,0.000078,0.713033
improved_no_mirror,lerer_ordal,27045.3,0.270975,0.728955,0.000070,0.729025
improved_no_mirror,lerer_ordal,29204.6,0.253948,0.745990,0.000063,0.746052
improved_no_mirror,lerer_ordal,31536.4,0.236436,0.763508,0.000056,0.763564
improved_no_mirror,lerer_ordal,34054.2,0.218898,0.781052,0.000050,0.781102
improved_no_mirror,lerer_ordal,36773.2,0.201705,0.798251,0.000044,0.798295
improved_no_mirror,lerer_ordal,39709.2,0.185147,0.814814,0.000039,0.814853
improved_no_mirror,lerer_ordal,42879.6,0.169439,0.830527,0.000035,0.830561
improved_no_mirror,lerer_ordal,46303.1,0.154729,0.845240,0.000031,0.845271
improved_no_mirror,lerer_ordal,50000.0,0.141110,0.858863,0.000027,0.858890
improved,jc_fit,300.0,0.035845,0.000000,0.964155,0.964155
improved,jc_fit,310.0,0.033910,0.000000,0.966090,0.966090
improved,jc_fit,320.0,0.031735,0.000000,0.968265,0.968265
improved,jc_fit,330.0,0.028675,0.000000,0.971325,0.971325
improved,jc_fit,340.0,0.026126,0.000000,0.973874,0.973874
improved,jc_fit,350.0,0.023899,0.000000,0.976101,0.976101
improved,jc_fit,360.0,0.021585,0.000000,0.978415,0.978415
improved,jc_fit,370.0,0.019085,0.000000,0.980915,0.980915
improved,jc_fit,380.0,0.016565,0.000000,0.983435,0.983435
improved,jc_fit,390.0,0.014202,0.000000,0.985798,0.985798
improved,jc_fit,400.0,0.011966,0.000000,0.988034,0.988034
improved,jc_fit,410.0,0.009862,0.000000,0.990138,0.990138
improved,jc_fit,420.0,0.007984,0.000000,0.992016,0.992016
improved,jc_fit,430.0,0.006321,0.000000,0.993679,0.993679
improved,jc_fit,440.0,0.004697,0.000000,0.995303,0.995303
improved,jc_fit,450.0,0.003273,0.000000,0.996727,0.996727
improved,jc_fit,460.0,0.002060,0.000000,0.997940,0.997940
improved,jc_fit,470.0,0.001122,0.000000,0.998878,0.998878
improved,jc_fit,480.0,0.000412,0.000000,0.999588,0.999588
improved,jc_fit,490.0,0.000064,0.000000,0.999936,0.999936
improved,jc_fit,500.0,0.000074,0.000000,0.999926,0.999926
improved,jc_fit,510.0,0.000431,0.000000,0.999569,0.999569
improved,jc_fit,520.0,0.001380,0.000000,0.998620,0.998620
improved,jc_fit,530.0,0.003017,0.000000,0.996983,0.996983
improved,jc_fit,540.0,0.005690,0.000000,0.994310,0.994310
improved,jc_fit,550.0,0.008906,0.000000,0.991094,0.991094
improved,jc_fit,560.0,0.010532,0.000000,0.989468,0.989468
improved,jc_fit,570.0,0.009707,0.000000,0.990293,0.990293
improved,jc_fit,580.0,0.007783,0.000000,0.992217,0.992217
improved,jc_fit,590.0,0.005304,0.000000,0.994696,0.994696
improved,jc_fit,600.0,0.002420,0.000000,0.997580,0.997580
improved,jc_fit,610.0,0.000902,0.000000,0.999098,0.999098
improved,jc_fit,620.0,0.000402,0.000000,0.999598,0.999598
improved,jc_fit,630.0,0.002605,0.000000,0.997395,0.997395
improved,jc_fit,640.0,0.010406,0.000001,0.989593,0.989594
improved,jc_fit,650.0,0.018613,0.000020,0.981367,0.981387
improved,jc_fit,660.0,0.020408,0.000139,0.979453,0.979592
improved,jc_fit,670.0,0.011262,0.000402,0.988335,0.988738
improved,jc_fit,680.0,0.012253,0.000851,0.986896,0.987747
improved,jc_fit,690.0,0.002601,0.001520,0.995879,0.997399
improved,jc_fit,700.0,0.004179,0.002315,0.993506,0.995821
improved,jc_fit,710.0,0.037933,0.003061,0.959006,0.962067
improved,jc_fit,720.0,0.021696,0.004135,0.974170,0.978304
improved,jc_fit,730.0,0.044676,0.004873,0.950451,0.955324
improved,jc_fit,740.0,0.164713,0.005068,0.830219,0.835287
improved,jc_fit,750.0,0.066431,0.006858,0.926710,0.933569
improved,jc_fit,760.0,0.047336,0.008065,0.944599,0.952664
improved,jc_fit,770.0,0.263933,0.006866,0.729200,0.736067
improved,jc_fit,780.0,0.270786,0.007618,0.721596,0.729214
improved,jc_fit,790.0,0.073783,0.011070,0.915147,0.926217
improved,jc_fit,800.0,0.097107,0.012085,0.890807,0.902893
improved,jc_fit,820.0,0.386343,0.009364,0.604293,0.613657
improved,jc_fit,840.0,0.129333,0.015840,0.854827,0.870667
improved,jc_fit,860.0,0.404987,0.012857,0.582155,0.595013
improved,jc_fit,880.0,0.402723,0.014214,0.583062,0.597277
improved,jc_fit,900.0,0.303629,0.018358,0.678013,0.696371
improved,jc_fit,920.0,0.519754,0.014410,0.465836,0.480246
improved,jc_fit,940.0,0.492785,0.016993,0.490222,0.507215
improved,jc_fit,960.0,0.310604,0.024889,0.664507,0.689396
improved,jc_fit,980.0,0.524286,0.018312,0.457403,0.475714
improved,jc_fit,1000.0,0.672841,0.013684,0.313475,0.327159
improved,jc_fit,1020.0,0.629744,0.017088,0.353168,0.370256
improved,jc_fit,1040.0,0.396735,0.030603,0.572662,0.603265
improved,jc_fit,1060.0,0.444104,0.030312,0.525584,0.555896
improved,jc_fit,1080.0,0.695789,0.017422,0.286789,0.304211
improved,jc_fit,1100.0,0.774938,0.013489,0.211573,0.225062
improved,jc_fit,1120.0,0.754775,0.015583,0.229642,0.245225
improved,jc_fit,1140.0,0.631048,0.025255,0.343697,0.368952
improved,jc_fit,1160.0,0.434514,0.041962,0.523524,0.565486
improved,jc_fit,1180.0,0.552255,0.035699,0.412046,0.447745
improved,jc_fit,1200.0,0.733103,0.022434,0.244463,0.266897
improved,jc_fit,1220.0,0.806816,0.016852,0.176331,0.193184
improved,jc_fit,1240.0,0.820132,0.016215,0.163653,0.179868
improved,jc_fit,1260.0,0.790013,0.019621,0.190366,0.209987
