design,n_super,lambda_nm,R,T,A_layers,A_total
improved,1.35,450,0.005408,0.000000,0.994592,0.994592
improved,1.35,455,0.004816,0.000000,0.995184,0.995184
improved,1.35,460,0.004229,0.000000,0.995771,0.995771
improved,1.35,465,0.003637,0.000000,0.996363,0.996363
improved,1.35,470,0.003081,0.000000,0.996919,0.996919
improved,1.35,475,0.002575,0.000000,0.997425,0.997425
improved,1.35,480,0.002106,0.000000,0.997894,0.997894
improved,1.35,485,0.001696,0.000000,0.998304,0.998304
improved,1.35,490,0.001358,0.000000,0.998642,0.998642
improved,1.35,495,0.001068,0.000000,0.998932,0.998932
improved,1.35,500,0.000892,0.000000,0.999108,0.999108
improved,1.35,505,0.000735,0.000000,0.999265,0.999265
improved,1.35,510,0.000599,0.000000,0.999401,0.999401
improved,1.35,515,0.000532,0.000000,0.999468,0.999468
improved,1.35,520,0.000755,0.000000,0.999245,0.999245
improved,1.35,525,0.001532,0.000000,0.998468,0.998468
improved,1.35,530,0.003261,0.000000,0.996739,0.996739
improved,1.35,535,0.006471,0.000000,0.993529,0.993529
improved,1.35,540,0.010868,0.000000,0.989132,0.989132
improved,1.35,545,0.013627,0.000000,0.986373,0.986373
improved,1.35,550,0.015653,0.000000,0.984347,0.984347
improved,1.35,555,0.016760,0.000000,0.983240,0.983240
improved,1.35,560,0.016941,0.000000,0.983059,0.983059
improved,1.35,565,0.016490,0.000000,0.983510,0.983510
improved,1.35,570,0.015899,0.000000,0.984101,0.984101
improved,1.35,575,0.015294,0.000000,0.984706,0.984706
improved,1.35,580,0.014621,0.000000,0.985379,0.985379
improved,1.35,585,0.013986,0.000000,0.986014,0.986014
improved,1.35,590,0.013355,0.000000,0.986645,0.986645
improved,1.35,595,0.012712,0.000000,0.987288,0.987288
improved,1.35,600,0.012052,0.000000,0.987948,0.987948
improved,1.35,605,0.011368,0.000000,0.988632,0.988632
improved,1.35,610,0.010651,0.000000,0.989349,0.989349
improved,1.35,615,0.009837,0.000000,0.990163,0.990163
improved,1.35,620,0.009060,0.000000,0.990940,0.990940
improved,1.35,625,0.008284,0.000000,0.991716,0.991716
improved,1.35,630,0.007557,0.000000,0.992443,0.992443
improved,1.35,635,0.006952,0.000000,0.993048,0.993048
improved,1.35,640,0.006543,0.000000,0.993457,0.993457
improved,1.35,645,0.006398,0.000000,0.993602,0.993602
improved,1.35,650,0.006525,0.000000,0.993475,0.993475
improved,1.35,655,0.007373,0.000000,0.992627,0.992627
improved,1.35,660,0.007149,0.000000,0.992851,0.992851
improved,1.35,665,0.005088,0.000000,0.994912,0.994912
improved,1.35,670,0.003183,0.000001,0.996816,0.996817
improved,1.35,675,0.002363,0.000007,0.997630,0.997637
improved,1.35,680,0.002416,0.000041,0.997543,0.997584
improved,1.35,685,0.002279,0.000144,0.997577,0.997721
improved,1.35,690,0.003926,0.000340,0.995734,0.996074
improved,1.35,695,0.005094,0.000596,0.994310,0.994906
improved,1.35,700,0.001432,0.000946,0.997622,0.998568
improved,1.35,705,0.006827,0.001379,0.991794,0.993173
improved,1.35,710,0.019199,0.001851,0.978950,0.980801
improved,1.35,715,0.015907,0.002476,0.981617,0.984093
improved,1.35,720,0.000928,0.003221,0.995850,0.999072
improved,1.35,725,0.013167,0.003897,0.982936,0.986833
improved,1.35,730,0.054109,0.004358,0.941533,0.945891
improved,1.35,735,0.078637,0.004823,0.916540,0.921363
improved,1.35,740,0.067897,0.005576,0.926527,0.932103
improved,1.35,745,0.030869,0.006602,0.962529,0.969131
improved,1.35,750,0.010286,0.007540,0.982174,0.989714
