table,formula,lambda_nm,Re_eps_eff,Im_eps_eff,R,T,A
jc,Bruggeman,600,3.143154,2.179838,0.025573,0.000005,0.974422
jc,Bruggeman,605,3.194031,2.223608,0.026631,0.000005,0.973364
jc,Bruggeman,610,3.245776,2.265345,0.027713,0.000005,0.972282
jc,Bruggeman,615,3.298320,2.305115,0.028819,0.000005,0.971176
jc,Bruggeman,620,3.349933,2.341884,0.029941,0.000005,0.970054
jc,Bruggeman,625,3.401246,2.376329,0.031079,0.000005,0.968916
jc,Bruggeman,630,3.453146,2.409140,0.032239,0.000005,0.967756
jc,Bruggeman,635,3.505599,2.440357,0.033418,0.000005,0.966576
jc,Bruggeman,640,3.558572,2.470019,0.034616,0.000005,0.965378
jc,Bruggeman,645,3.612038,2.498158,0.035831,0.000006,0.964163
jc,Bruggeman,650,3.665970,2.524806,0.037063,0.000006,0.962931
jc,Bruggeman,655,3.720348,2.549990,0.038309,0.000006,0.961685
jc,Bruggeman,660,3.775394,2.573045,0.039566,0.000007,0.960427
jc,Bruggeman,665,3.832860,2.588435,0.040811,0.000007,0.959182
jc,Bruggeman,670,3.890367,2.602375,0.042065,0.000008,0.957927
jc,Bruggeman,675,3.947909,2.614890,0.043327,0.000009,0.956664
jc,Bruggeman,680,4.005478,2.625998,0.044596,0.000010,0.955394
jc,Bruggeman,685,4.063069,2.635717,0.045869,0.000011,0.954120
jc,Bruggeman,690,4.120675,2.644062,0.047146,0.000012,0.952841
jc,Bruggeman,695,4.178289,2.651046,0.048426,0.000014,0.951560
jc,Bruggeman,700,4.235906,2.656680,0.049707,0.000016,0.950278
jc,Bruggeman,705,4.293801,2.660723,0.050987,0.000018,0.948995
jc,Bruggeman,710,4.354152,2.661126,0.052268,0.000020,0.947712
jc,Bruggeman,715,4.414359,2.660079,0.053545,0.000023,0.946432
jc,Bruggeman,720,4.474416,2.657587,0.054818,0.000026,0.945155
jc,Bruggeman,725,4.534317,2.653651,0.056086,0.000030,0.943884
jc,Bruggeman,730,4.594055,2.648273,0.057348,0.000035,0.942618
jc,Bruggeman,735,4.653621,2.641449,0.058602,0.000040,0.941358
jc,Bruggeman,740,4.713009,2.633175,0.059847,0.000046,0.940107
jc,Bruggeman,745,4.772210,2.623446,0.061083,0.000054,0.938863
jc,Bruggeman,750,4.831213,2.612253,0.062309,0.000062,0.937629
jc,MLWA15,400,3.059983,0.921513,0.063959,0.000267,0.935774
jc,MLWA15,405,3.061769,0.925784,0.064368,0.000285,0.935346
jc,MLWA15,410,3.063474,0.929992,0.064745,0.000305,0.934951
jc,MLWA15,415,3.064754,0.932940,0.065061,0.000328,0.934611
jc,MLWA15,420,3.065252,0.933483,0.065292,0.000358,0.934350
jc,MLWA15,425,3.065620,0.933945,0.065480,0.000391,0.934129
jc,MLWA15,430,3.065862,0.934329,0.065619,0.000427,0.933954
jc,MLWA15,435,3.055491,0.934299,0.065464,0.000461,0.934076
jc,MLWA15,440,3.043587,0.934121,0.065201,0.000496,0.934303
jc,MLWA15,445,3.031307,0.933823,0.064843,0.000533,0.934623
jc,MLWA15,450,3.018649,0.933393,0.064374,0.000573,0.935054
jc,MLWA15,455,3.004734,0.927996,0.063692,0.000637,0.935671
jc,MLWA15,460,2.990339,0.921189,0.062841,0.000713,0.936446
jc,MLWA15,465,2.975682,0.913996,0.061809,0.000799,0.937391
jc,MLWA15,470,2.960778,0.906400,0.060554,0.000896,0.938550
jc,MLWA15,475,2.926069,0.909141,0.058694,0.000910,0.940396
jc,MLWA15,480,2.881463,0.915625,0.056269,0.000890,0.942841
jc,MLWA15,485,2.834050,0.921534,0.053172,0.000869,0.945959
jc,MLWA15,490,2.783607,0.926695,0.048933,0.000849,0.950218
jc,MLWA15,495,2.729897,0.930902,0.042205,0.000828,0.956966
jc,MLWA15,500,2.644363,0.969768,0.016383,0.000595,0.983022
jc,MLWA15,505,2.541514,1.021395,0.012447,0.000395,0.987158
jc,MLWA15,510,2.424496,1.079432,0.011918,0.000242,0.987840
jc,MLWA15,515,2.290137,1.145072,0.011937,0.000135,0.987929
jc,MLWA15,520,2.134245,1.219817,0.012339,0.000066,0.987595
jc,MLWA15,525,2.008996,1.341602,0.013466,0.000024,0.986510
jc,MLWA15,530,1.885009,1.495304,0.015251,0.000007,0.984742
jc,MLWA15,535,1.751499,1.680557,0.017816,0.000002,0.982183
jc,MLWA15,540,1.609537,1.906228,0.021335,0.000000,0.978665
jc,MLWA15,545,1.462104,2.184135,0.025856,0.000000,0.974144
jc,MLWA15,550,1.321290,2.529609,0.031057,0.000000,0.968943
jc,MLWA15,555,1.213761,2.958530,0.036013,0.000000,0.963987
jc,MLWA15,560,1.153951,3.490102,0.039828,0.000000,0.960172
jc,MLWA15,565,1.186690,4.141584,0.041476,0.000000,0.958524
jc,MLWA15,570,1.383072,4.915550,0.040366,0.000000,0.959634
jc,MLWA15,575,1.841761,5.773986,0.036720,0.000000,0.963280
jc,MLWA15,580,2.664066,6.599643,0.031660,0.000000,0.968340
jc,MLWA15,585,3.945017,7.122446,0.026699,0.000000,0.973301
jc,MLWA15,590,5.446722,7.049020,0.023804,0.000000,0.976196
jc,MLWA15,595,6.747008,6.398156,0.023457,0.000000,0.976543
jc,MLWA15,600,7.605433,5.419880,0.024923,0.000000,0.975077
jc,MLWA15,605,8.017936,4.398118,0.027402,0.000000,0.972598
jc,MLWA15,610,8.111134,3.498576,0.030477,0.000003,0.969519
jc,MLWA15,615,8.019357,2.770780,0.033939,0.000042,0.966019
jc,MLWA15,620,7.843517,2.218173,0.037523,0.000275,0.962203
jc,MLWA15,625,7.637626,1.796318,0.041132,0.001168,0.957700
jc,MLWA15,630,7.425565,1.468331,0.044712,0.003639,0.951648
jc,MLWA15,635,7.220684,1.211900,0.047283,0.008954,0.943763
jc,MLWA15,640,7.029016,1.009690,0.047962,0.018373,0.933665
jc,MLWA15,645,6.852700,0.848658,0.048773,0.032729,0.918497
jc,MLWA15,650,6.691890,0.719108,0.052838,0.052278,0.894884
jc,MLWA15,655,6.545792,0.613839,0.059985,0.076923,0.863092
jc,MLWA15,660,6.412404,0.528955,0.066926,0.105494,0.827580
jc,MLWA15,665,6.285457,0.470616,0.068451,0.131125,0.800425
jc,MLWA15,670,6.171553,0.421538,0.061625,0.158183,0.780191
jc,MLWA15,675,6.068867,0.379865,0.047603,0.187563,0.764834
jc,MLWA15,680,5.975880,0.344179,0.033336,0.219903,0.746761
jc,MLWA15,685,5.891323,0.313387,0.029428,0.251240,0.719332
jc,MLWA15,690,5.814132,0.286631,0.042845,0.275560,0.681595
jc,MLWA15,695,5.743409,0.263234,0.068596,0.292686,0.638718
jc,MLWA15,700,5.678390,0.242653,0.093786,0.306856,0.599358
jc,MLWA15,705,5.618116,0.224627,0.112460,0.318084,0.569455
jc,MLWA15,710,5.559826,0.210067,0.118199,0.330875,0.550925
jc,MLWA15,715,5.506013,0.197036,0.105446,0.357292,0.537261
jc,MLWA15,720,5.456183,0.185320,0.083878,0.390260,0.525862
jc,MLWA15,725,5.409910,0.174742,0.060060,0.408892,0.531048
jc,MLWA15,730,5.366830,0.165153,0.036085,0.446835,0.517080
jc,MLWA15,735,5.326624,0.156429,0.021762,0.467580,0.510658
jc,MLWA15,740,5.289015,0.148464,0.025386,0.453116,0.521498
jc,MLWA15,745,5.253759,0.141170,0.043532,0.387777,0.568691
jc,MLWA15,750,5.220643,0.134470,0.028324,0.396993,0.574683
jc,Lerer,400,3.107478,0.936033,0.065157,0.000249,0.934594
jc,Lerer,405,3.106987,0.938923,0.065505,0.000269,0.934227
jc,Lerer,410,3.106500,0.941828,0.065823,0.000289,0.933888
jc,Lerer,415,3.105060,0.943839,0.066074,0.000313,0.933613
jc,Lerer,420,3.101751,0.944086,0.066223,0.000342,0.933435
jc,Lerer,425,3.098429,0.944320,0.066332,0.000373,0.933295
jc,Lerer,430,3.095094,0.944543,0.066394,0.000406,0.933200
jc,Lerer,435,3.081891,0.949770,0.066251,0.000419,0.933330
jc,Lerer,440,3.067220,0.955506,0.066010,0.000431,0.933559
jc,Lerer,445,3.052144,0.961183,0.065673,0.000442,0.933885
jc,Lerer,450,3.036651,0.966791,0.065225,0.000453,0.934323
jc,Lerer,455,3.017494,0.968133,0.064517,0.000477,0.935007
jc,Lerer,460,2.997203,0.968124,0.063624,0.000506,0.935870
jc,Lerer,465,2.976492,0.967621,0.062544,0.000537,0.936918
jc,Lerer,470,2.955368,0.966591,0.061233,0.000572,0.938195
jc,Lerer,475,2.919323,0.985137,0.059578,0.000518,0.939904
jc,Lerer,480,2.874450,1.012398,0.057467,0.000436,0.942096
jc,Lerer,485,2.825527,1.040791,0.054685,0.000363,0.944952
jc,Lerer,490,2.772029,1.070310,0.050741,0.000297,0.948962
jc,Lerer,495,2.713343,1.100921,0.044232,0.000239,0.955529
jc,Lerer,500,2.636660,1.188761,0.018414,0.000122,0.981463
jc,Lerer,505,2.546572,1.306575,0.014746,0.000052,0.985202
jc,Lerer,510,2.443148,1.449260,0.014917,0.000018,0.985065
jc,Lerer,515,2.323636,1.625267,0.015998,0.000005,0.983997
jc,Lerer,520,2.184798,1.847182,0.018002,0.000001,0.981997
jc,Lerer,525,2.137938,2.120048,0.020453,0.000000,0.979547
jc,Lerer,530,2.149621,2.445023,0.022999,0.000000,0.977001
jc,Lerer,535,2.224403,2.826587,0.025254,0.000000,0.974746
jc,Lerer,540,2.397967,3.258410,0.026642,0.000000,0.973358
jc,Lerer,545,2.714044,3.713174,0.026693,0.000000,0.973307
jc,Lerer,550,3.212082,4.119880,0.025291,0.000000,0.974709
jc,Lerer,555,3.881203,4.361760,0.022948,0.000000,0.977052
jc,Lerer,560,4.638910,4.372837,0.020638,0.000000,0.979362
jc,Lerer,565,5.360723,4.126121,0.019093,0.000000,0.980907
jc,Lerer,570,5.930845,3.678296,0.018669,0.000000,0.981331
jc,Lerer,575,6.297215,3.134558,0.019357,0.000002,0.980642
jc,Lerer,580,6.474765,2.591036,0.020957,0.000017,0.979026
jc,Lerer,585,6.488389,2.088600,0.023261,0.000137,0.976601
jc,Lerer,590,6.400934,1.670370,0.025960,0.000762,0.973278
jc,Lerer,595,6.273812,1.342607,0.028606,0.002911,0.968483
jc,Lerer,600,6.132824,1.087681,0.030569,0.008291,0.961140
jc,Lerer,605,5.991741,0.889075,0.032213,0.018833,0.948954
jc,Lerer,610,5.857314,0.733345,0.035546,0.035979,0.928474
jc,Lerer,615,5.732433,0.610157,0.041086,0.060335,0.898578
jc,Lerer,620,5.621370,0.514390,0.046071,0.090736,0.863193
jc,Lerer,625,5.521664,0.437857,0.047210,0.126180,0.826610
jc,Lerer,630,5.430672,0.374954,0.042365,0.166015,0.791620
jc,Lerer,635,5.347689,0.322822,0.032569,0.209796,0.757634
jc,Lerer,640,5.271962,0.279278,0.022607,0.257787,0.719606
jc,Lerer,645,5.202762,0.242639,0.020527,0.305951,0.673522
jc,Lerer,650,5.139407,0.211598,0.033488,0.346445,0.620067
jc,Lerer,655,5.081279,0.185132,0.059022,0.378290,0.562688
jc,Lerer,660,5.027602,0.163078,0.082803,0.409286,0.507911
jc,Lerer,665,4.976416,0.149369,0.099516,0.428234,0.472250
jc,Lerer,670,4.929464,0.137348,0.102762,0.453378,0.443859
jc,Lerer,675,4.886250,0.126749,0.090998,0.487369,0.421633
jc,Lerer,680,4.846348,0.117355,0.071961,0.522643,0.405396
jc,Lerer,685,4.809398,0.108991,0.053872,0.547726,0.398402
jc,Lerer,690,4.775087,0.101509,0.037373,0.577971,0.384656
jc,Lerer,695,4.743145,0.094791,0.020341,0.613893,0.365766
jc,Lerer,700,4.713336,0.088735,0.008853,0.647980,0.343168
jc,Lerer,705,4.685308,0.083356,0.008807,0.664067,0.327126
jc,Lerer,710,4.657806,0.079323,0.020005,0.659622,0.320373
jc,Lerer,715,4.632073,0.075628,0.039528,0.632692,0.327781
jc,Lerer,720,4.607944,0.072233,0.068894,0.580244,0.350862
jc,Lerer,725,4.585275,0.069104,0.123969,0.367537,0.508494
jc,Lerer,730,4.563935,0.066214,0.030744,0.573115,0.396141
jc,Lerer,735,4.543814,0.063536,0.040829,0.671398,0.287773
jc,Lerer,740,4.524808,0.061050,0.066130,0.683007,0.250863
jc,Lerer,745,4.506827,0.058736,0.082838,0.693818,0.223344
jc,Lerer,750,4.489792,0.056578,0.095867,0.698488,0.205644
