design,variant,lambda_nm,R,T,A_layers,A_total
improved,circle_side,650,0.017960,0.000000,0.982040,0.982040
improved,circle_side,700,0.020654,0.000938,0.978409,0.979346
improved,circle_side,750,0.004259,0.007625,0.988116,0.995741
improved,ellipse_x,400,0.016572,0.000000,0.983428,0.983428
improved,ellipse_x,450,0.005678,0.000000,0.994322,0.994322
improved,ellipse_x,500,0.001420,0.000000,0.998580,0.998580
improved,ellipse_x,550,0.032648,0.000000,0.967352,0.967352
improved,ellipse_x,600,0.024201,0.000000,0.975799,0.975799
improved,ellipse_x,650,0.010826,0.000000,0.989174,0.989174
improved,ellipse_x,700,0.002761,0.000940,0.996299,0.997239
improved,ellipse_x,750,0.010064,0.007531,0.982405,0.989936
improved,ellipse_y,400,0.012852,0.000000,0.987148,0.987148
improved,ellipse_y,450,0.004535,0.000000,0.995465,0.995465
improved,ellipse_y,500,0.000882,0.000000,0.999118,0.999118
improved,ellipse_y,550,0.000611,0.000000,0.999389,0.999389
improved,ellipse_y,600,0.003916,0.000000,0.996084,0.996084
improved,ellipse_y,650,0.011295,0.000000,0.988705,0.988705
improved,ellipse_y,700,0.013858,0.000943,0.985199,0.986142
improved,ellipse_y,750,0.002562,0.007633,0.989805,0.997438
improved,frustum,400,0.011715,0.000000,0.988285,0.988285
improved,frustum,450,0.016934,0.000000,0.983066,0.983066
improved,frustum,500,0.019632,0.000000,0.980368,0.980368
improved,frustum,550,0.057287,0.000000,0.942713,0.942713
improved,frustum,600,0.066153,0.000000,0.933847,0.933847
improved,frustum,650,0.070890,0.000000,0.929110,0.929110
improved,frustum,700,0.053072,0.000911,0.946017,0.946928
improved,frustum,750,0.019346,0.007524,0.973130,0.980654
improved,cone,400,0.038143,0.000000,0.961857,0.961857
improved,cone,450,0.044090,0.000000,0.955910,0.955910
improved,cone,500,0.042415,0.000000,0.957585,0.957585
improved,cone,550,0.142317,0.000000,0.857683,0.857683
improved,cone,600,0.146807,0.000000,0.853193,0.853193
improved,cone,650,0.135790,0.000000,0.864210,0.864210
improved,cone,700,0.087705,0.000883,0.911412,0.912295
improved,cone,750,0.038247,0.007396,0.954357,0.961753
improved,cone_circle,400,0.038905,0.000000,0.961095,0.961095
improved,cone_circle,450,0.044701,0.000000,0.955299,0.955299
improved,cone_circle,500,0.042848,0.000000,0.957152,0.957152
improved,cone_circle,550,0.145235,0.000000,0.854765,0.854765
improved,cone_circle,600,0.149244,0.000000,0.850756,0.850756
improved,cone_circle,650,0.137210,0.000000,0.862790,0.862790
improved,cone_circle,700,0.088219,0.000882,0.910899,0.911781
improved,cone_circle,750,0.038505,0.007394,0.954101,0.961495
improved,cone_h150,400,0.020307,0.000000,0.979693,0.979693
improved,cone_h150,450,0.024704,0.000000,0.975296,0.975296
improved,cone_h150,500,0.024793,0.000000,0.975207,0.975207
improved,cone_h150,550,0.075276,0.000000,0.924724,0.924724
improved,cone_h150,600,0.084276,0.000000,0.915724,0.915724
improved,cone_h150,650,0.085811,0.000000,0.914189,0.914189
improved,cone_h150,700,0.060373,0.000905,0.938721,0.939627
improved,cone_h150,750,0.022675,0.007503,0.969823,0.977325
improved,frustum_h150,400,0.020973,0.000000,0.979027,0.979027
improved,frustum_h150,450,0.017576,0.000000,0.982424,0.982424
improved,frustum_h150,500,0.010796,0.000000,0.989204,0.989204
improved,frustum_h150,550,0.019919,0.000000,0.980081,0.980081
improved,frustum_h150,600,0.024981,0.000000,0.975019,0.975019
improved,frustum_h150,650,0.031443,0.000000,0.968557,0.968557
improved,frustum_h150,700,0.025847,0.000931,0.973222,0.974153
improved,frustum_h150,750,0.004860,0.007614,0.987526,0.995140
improved,two_step,400,0.005139,0.000000,0.994861,0.994861
improved,two_step,450,0.008463,0.000000,0.991537,0.991537
improved,two_step,500,0.005797,0.000000,0.994203,0.994203
improved,two_step,550,0.008689,0.000000,0.991311,0.991311
improved,two_step,600,0.010678,0.000000,0.989322,0.989322
improved,two_step,650,0.015575,0.000000,0.984425,0.984425
improved,two_step,700,0.010056,0.000934,0.989010,0.989944
improved,two_step,750,0.001150,0.007603,0.991246,0.998850
