t_nm,lr_re,lr_im,sr_re,sr_im,lr_L_um,sr_L_um,maier_vs_tmm_lr,maier_vs_tmm_sr
4.0,1.4501027781653075,3.637444304634984e-07,2.4326297777718513,0.15055023863999462,339098.1979821585,0.8192951536341935,0.0,4.577566798522237e-16
4.256014878142722,1.450116265330829,4.1991486345254775e-07,2.339709743825122,0.13831876996251005,293738.30657498847,0.8917450677854522,0.0,2.7755575615628914e-17
4.528415660743054,1.450131508950203,4.857624089970626e-07,2.254467273029183,0.12685495441366418,253920.59700725987,0.9723316008139511,0.0,5.551115123125783e-17
4.818251106634234,1.45014873401724,5.631877740872356e-07,2.176414740844524,0.1161297727573023,219012.35533055663,1.0621314239027726,0.0,0.0
5.126637099115737,1.4501681932975456,6.54512118421045e-07,2.105082562662023,0.10611552311683016,188453.4715625716,1.1623660447908217,0.0,0.0
5.454760942168752,1.450190170462195,7.625776844864234e-07,2.0400185283982677,0.09678532204533977,161747.56146882087,1.2744192847592841,0.0,9.012017851447574e-16
5.8038859316455085,1.4502149834910274,8.908732751627924e-07,1.980787456251391,0.08811265966628717,138454.12623212836,1.3998565173650297,2.2204460492626824e-16,9.71445146547012e-17
6.1753562190316265,1.4502429883432997,1.0436906207381267e-06,1.926971122234814,0.08007102825529366,118181.65119562525,1.540445821464323,0.0,4.47545209131181e-16
6.570601986507451,1.450274582883693,1.2263190429388825e-06,1.8781684098313465,0.07263363918911496,100581.55877659822,1.698181204649094,0.0,4.545902364027965e-16
6.991144953232456,1.450310211038474,1.4452874432779772e-06,1.833995615626518,0.06577323709369375,85342.94092839184,1.8753080484774416,0.0,2.2591401799415137e-16
7.4386042340524305,1.4503503671391258,1.7086645371671482e-06,1.7940868430267907,0.059462013042713015,72188.00309434455,2.0743509105152076,0.0,2.3263411494723067e-16
7.914702573185653,1.4503956003880303,2.0264304309512504e-06,1.7580944174592312,0.053671611679098806,60868.15466856073,2.2981437865830445,0.0,0.0
8.421272976888153,1.4504465193516483,2.410935080110987e-06,1.7256892624431774,0.04837322100226119,51160.681145566436,2.5498628857163173,0.0,0.0
8.960265770634312,1.4505037963499208,2.8774618193100065e-06,1.6965611857194232,0.0435377289439536,42865.93138038443,2.833061895695152,0.0,2.7755575615628914e-17
9.533756107983145,1.4505681715649958,3.4449169066165777e-06,1.6704190369430068,0.03913592812318106,35804.95095812402,3.1517096134270264,0.0,0.0
10.143951960040079,1.4506404566366529,4.136668677512328e-06,1.6469907118737397,0.03513874939329435,29817.49095999514,3.5102296759530445,0.0,6.938893903907228e-18
10.793202616273902,1.4507215374448894,4.981562140322698e-06,1.6260229911947255,0.03151750576700669,24760.321646460234,3.9135419473878414,0.0,1.3877787807814457e-17
11.48400772941767,1.450812375701385,6.015136178320786e-06,1.6072812139612638,0.02824413063081427,20505.783616465436,4.367104886621992,0.0,0.0
12.219026939276905,1.4509140088811112,7.281070250001665e-06,1.590548795481831,0.025291397350406118,16940.515152451753,4.876957931082375,0.0,0.0
13.001090112497304,1.4510275479244406,8.83288461388158e-06,1.5756266067746012,0.022633110934806664,13964.303428392159,5.449762573581117,0.0,1.3877787807814457e-17
