x_um,P_plasmonic,P_dielectric,P_total
866.4369,0.126183,0.734354,0.860536
869.9590,0.119974,0.740320,0.860294
873.4811,0.113925,0.746134,0.860059
877.0032,0.108037,0.751793,0.859830
880.5253,0.102313,0.757295,0.859607
884.0474,0.096756,0.762636,0.859391
887.5695,0.091367,0.767814,0.859182
891.0916,0.086151,0.772827,0.858978
894.6137,0.081109,0.777672,0.858780
898.1358,0.076242,0.782346,0.858588
901.6579,0.071554,0.786848,0.858402
905.1800,0.067047,0.791175,0.858221
908.7021,0.062721,0.795325,0.858046
912.2242,0.058580,0.799295,0.857875
915.7463,0.054624,0.803085,0.857710
919.2684,0.050857,0.806693,0.857549
922.7905,0.047278,0.810115,0.857393
926.3126,0.043890,0.813352,0.857242
929.8347,0.040694,0.816401,0.857095
933.3568,0.037691,0.819260,0.856952
936.8789,0.034883,0.821930,0.856812
940.4010,0.032270,0.824407,0.856677
943.9231,0.029854,0.826692,0.856545
947.4452,0.027635,0.828782,0.856417
950.9673,0.025614,0.830678,0.856292
954.4894,0.023792,0.832378,0.856170
958.0115,0.022170,0.833881,0.856051
961.5336,0.020747,0.835187,0.855934
965.0557,0.019525,0.836295,0.855820
968.5778,0.018503,0.837206,0.855709
972.0999,0.017682,0.837917,0.855599
975.6220,0.017062,0.838430,0.855492
979.1441,0.016643,0.838743,0.855386
982.6662,0.016424,0.838858,0.855281
986.1883,0.016405,0.838773,0.855178
