case,z_um,p_z
sh_linear_L100_fwd_a,0.5000,9.891163613e-01
sh_linear_L100_fwd_a,0.7500,9.304548957e-01
sh_linear_L100_fwd_a,1.0000,8.035003289e-01
sh_linear_L100_fwd_a,1.2500,7.502051634e-01
sh_linear_L100_fwd_a,1.5000,7.190852927e-01
sh_linear_L100_fwd_a,1.7500,6.702126564e-01
sh_linear_L100_fwd_a,2.0000,6.374286484e-01
sh_linear_L100_fwd_a,2.2500,6.065872625e-01
sh_linear_L100_fwd_a,2.5000,5.731134509e-01
sh_linear_L100_fwd_a,2.7500,5.458626785e-01
sh_linear_L100_fwd_a,2.8000,5.402494385e-01
sh_linear_L100_rev_a,-0.8000,-5.158914599e-01
sh_linear_L100_rev_a,-0.3000,-5.187502589e-01
sh_linear_L100_rev_a,-0.1000,-5.197075349e-01
sh_linear_L100_rev_a,0.2500,-5.234153298e-01
sh_linear_L100_rev_a,0.5000,-5.361000322e-01
sh_linear_L100_rev_a,0.7500,-6.099006730e-01
sh_linear_L100_rev_a,1.0000,-6.483821160e-01
sh_linear_L100_rev_a,1.2500,-6.857095164e-01
sh_linear_L100_rev_a,1.5000,-7.259116312e-01
sh_linear_L100_rev_a,1.7500,-7.649361989e-01
sh_linear_L100_rev_a,2.0000,-8.077236095e-01
sh_linear_L100_rev_a,2.2500,-8.500454706e-01
sh_linear_L100_rev_a,2.5000,-8.978477291e-01
sh_linear_L100_rev_a,2.7500,-9.442209673e-01
sh_linear_L100_rev_a,2.8000,-9.540950778e-01
sh_table_L50_fwd_a,-0.8000,1.000027612e+00
sh_table_L50_fwd_a,-0.3000,9.972442371e-01
sh_table_L50_fwd_a,-0.1000,9.967163263e-01
sh_table_L50_fwd_a,0.2500,9.901606295e-01
sh_table_L50_fwd_a,0.5000,9.835643777e-01
sh_table_L50_fwd_a,0.7500,9.314209103e-01
sh_table_L50_fwd_a,1.0000,8.742785904e-01
sh_table_L50_fwd_a,1.2500,8.306038751e-01
sh_table_L50_fwd_a,1.5000,7.900160305e-01
sh_table_L50_fwd_a,1.7500,7.467370805e-01
sh_table_L50_fwd_a,2.0000,7.101702772e-01
sh_table_L50_fwd_a,2.2500,6.732911920e-01
sh_table_L50_fwd_a,2.5000,6.395644724e-01
sh_table_L50_fwd_a,2.7500,6.076142367e-01
sh_table_L50_fwd_a,2.8000,6.010946700e-01
sh_table_L50_rev_a,-0.8000,-5.739343927e-01
sh_table_L50_rev_a,-0.3000,-5.747948780e-01
sh_table_L50_rev_a,-0.1000,-5.753578428e-01
sh_table_L50_rev_a,0.2500,-5.817245006e-01
sh_table_L50_rev_a,0.5000,-5.908730779e-01
sh_table_L50_rev_a,0.7500,-6.238728816e-01
sh_table_L50_rev_a,1.0000,-6.596303961e-01
sh_table_L50_rev_a,1.2500,-6.947668948e-01
sh_table_L50_rev_a,1.5000,-7.328367757e-01
sh_table_L50_rev_a,1.7500,-7.706595518e-01
sh_table_L50_rev_a,2.0000,-8.128583664e-01
sh_table_L50_rev_a,2.2500,-8.545774387e-01
sh_table_L50_rev_a,2.5000,-9.021934807e-01
sh_table_L50_rev_a,2.7500,-9.491813836e-01
sh_table_L50_rev_a,2.8000,-9.587024405e-01
sh_table_L25_fwd_a,-0.8000,1.000194005e+00
sh_table_L25_fwd_a,-0.3000,9.986509514e-01
sh_table_L25_fwd_a,-0.1000,9.978744972e-01
sh_table_L25_fwd_a,0.2500,9.870726074e-01
sh_table_L25_fwd_a,0.5000,9.392481015e-01
sh_table_L25_fwd_a,0.7500,8.756267889e-01
sh_table_L25_fwd_a,1.0000,8.312959743e-01
sh_table_L25_fwd_a,1.2500,7.918232615e-01
sh_table_L25_fwd_a,1.5000,7.468030524e-01
sh_table_L25_fwd_a,1.7500,7.106494194e-01
sh_table_L25_fwd_a,2.0000,6.743250617e-01
sh_table_L25_fwd_a,2.2500,6.395873560e-01
sh_table_L25_fwd_a,2.5000,6.079069481e-01
sh_table_L25_fwd_a,2.7500,5.773128732e-01
sh_table_L25_fwd_a,2.8000,5.711521270e-01
sh_table_L25_rev_a,-0.8000,-5.451649123e-01
sh_table_L25_rev_a,-0.3000,-5.469318682e-01
sh_table_L25_rev_a,-0.1000,-5.476055400e-01
sh_table_L25_rev_a,0.2500,-5.599532694e-01
sh_table_L25_rev_a,0.5000,-5.930160946e-01
sh_table_L25_rev_a,0.7500,-6.249511603e-01
sh_table_L25_rev_a,1.0000,-6.603543428e-01
sh_table_L25_rev_a,1.2500,-6.951136398e-01
sh_table_L25_rev_a,1.5000,-7.321830624e-01
sh_table_L25_rev_a,1.7500,-7.713331057e-01
sh_table_L25_rev_a,2.0000,-8.126473834e-01
sh_table_L25_rev_a,2.2500,-8.554179067e-01
sh_table_L25_rev_a,2.5000,-9.013764393e-01
sh_table_L25_rev_a,2.7500,-9.494796844e-01
sh_table_L25_rev_a,2.8000,-9.589779863e-01
sh_table_L100_fwd_a,-0.8000,9.998037510e-01
sh_table_L100_fwd_a,-0.3000,9.980638577e-01
sh_table_L100_fwd_a,-0.1000,9.976823204e-01
sh_table_L100_fwd_a,0.2500,9.934723174e-01
sh_table_L100_fwd_a,0.5000,9.912380542e-01
sh_table_L100_fwd_a,0.7500,9.873246047e-01
sh_table_L100_fwd_a,1.0000,9.806592255e-01
sh_table_L100_fwd_a,1.2500,9.238264031e-01
sh_table_L100_fwd_a,1.5000,8.650638248e-01
sh_table_L100_fwd_a,1.7500,8.234859395e-01
sh_table_L100_fwd_a,2.0000,7.818107915e-01
sh_table_L100_fwd_a,2.2500,7.389345506e-01
sh_table_L100_fwd_a,2.5000,7.032157710e-01
sh_table_L100_fwd_a,2.7500,6.666252073e-01
sh_table_L100_fwd_a,2.8000,6.598527951e-01
sh_table_L100_rev_a,-0.8000,-6.299056346e-01
sh_table_L100_rev_a,-0.3000,-6.320637741e-01
sh_table_L100_rev_a,-0.1000,-6.324308865e-01
sh_table_L100_rev_a,0.2500,-6.348591666e-01
sh_table_L100_rev_a,0.5000,-6.386128821e-01
sh_table_L100_rev_a,0.7500,-6.442932006e-01
sh_table_L100_rev_a,1.0000,-6.552616401e-01
sh_table_L100_rev_a,1.2500,-6.928711674e-01
sh_table_L100_rev_a,1.5000,-7.311385024e-01
sh_table_L100_rev_a,1.7500,-7.710508299e-01
sh_table_L100_rev_a,2.0000,-8.125015777e-01
sh_table_L100_rev_a,2.2500,-8.547058258e-01
sh_table_L100_rev_a,2.5000,-9.017404210e-01
sh_table_L100_rev_a,2.7500,-9.486221648e-01
sh_table_L100_rev_a,2.8000,-9.587783981e-01
