lambda_nm,n,k
423.0,5.0735,0.15825
424.0,5.054277778,0.153666667
425.0,5.037055556,0.150333333
426.0,5.019833333,0.147
427.0,5.002611111,0.143666667
428.0,4.985756757,0.140378378
429.0,4.96927027,0.137135135
430.0,4.952783784,0.133891892
431.0,4.936297297,0.130648649
432.0,4.920157895,0.128105263
433.0,4.904105263,0.125736842
434.0,4.888052632,0.123368421
435.0,4.872,0.121
436.0,4.859948718,0.117666667
437.0,4.847897436,0.114333333
438.0,4.835846154,0.111
439.0,4.823589744,0.107820513
440.0,4.809487179,0.106025641
441.0,4.795384615,0.104230769
442.0,4.781282051,0.102435897
443.0,4.7676,0.1007
444.0,4.7556,0.0992
445.0,4.7436,0.0977
446.0,4.7316,0.0962
447.0,4.719804878,0.094560976
448.0,4.708829268,0.092365854
449.0,4.697853659,0.090170732
450.0,4.686878049,0.08797561
451.0,4.675878049,0.085853659
452.0,4.664658537,0.084390244
453.0,4.653439024,0.082926829
454.0,4.642219512,0.081463415
455.0,4.631,0.08
456.0,4.62147619,0.077380952
457.0,4.611952381,0.074761905
458.0,4.602428571,0.072142857
459.0,4.592904762,0.06952381
460.0,4.583186047,0.067809302
461.0,4.573418605,0.06632093
462.0,4.563651163,0.064832558
463.0,4.553883721,0.063344186
464.0,4.544568182,0.061940909
465.0,4.535704545,0.060622727
466.0,4.526840909,0.059304545
467.0,4.517977273,0.057986364
468.0,4.509113636,0.056604545
469.0,4.50025,0.05465
470.0,4.491386364,0.052695455
471.0,4.482522727,0.050740909
472.0,4.473659091,0.048786364
473.0,4.465521739,0.047363043
474.0,4.457695652,0.046167391
475.0,4.449869565,0.044971739
476.0,4.442043478,0.043776087
477.0,4.434282609,0.042626087
478.0,4.427108696,0.041886957
479.0,4.419934783,0.041147826
480.0,4.41276087,0.040408696
481.0,4.405586957,0.039669565
482.0,4.398382979,0.038970213
483.0,4.391148936,0.038310638
484.0,4.383914894,0.037651064
485.0,4.376680851,0.036991489
486.0,4.369446809,0.036331915
487.0,4.362833333,0.03565
488.0,4.356375,0.0349625
489.0,4.349916667,0.034275
490.0,4.343458333,0.0335875
491.0,4.337,0.0329
492.0,4.331285714,0.0319
493.0,4.325571429,0.0309
494.0,4.319857143,0.0299
495.0,4.314142857,0.0289
496.0,4.30844,0.02792
497.0,4.30284,0.02712
498.0,4.29724,0.02632
499.0,4.29164,0.02552
500.0,4.28604,0.02472
501.0,4.280442308,0.023976923
502.0,4.274865385,0.023746154
503.0,4.269288462,0.023515385
504.0,4.263711538,0.023284615
505.0,4.258134615,0.023053846
506.0,4.252557692,0.022823077
507.0,4.247153846,0.022125
508.0,4.241769231,0.021375
509.0,4.236384615,0.020625
510.0,4.231,0.019875
511.0,4.225615385,0.019125
512.0,4.220830189,0.01830566
513.0,4.216301887,0.017456604
514.0,4.211773585,0.016607547
515.0,4.207245283,0.015758491
516.0,4.202716981,0.014909434
517.0,4.198296296,0.014237037
518.0,4.194037037,0.01382963
519.0,4.189777778,0.013422222
520.0,4.185518519,0.013014815
521.0,4.181259259,0.012607407
522.0,4.177,0.0122
523.0,4.172714286,0.011967857
524.0,4.168428571,0.011735714
525.0,4.164142857,0.011503571
526.0,4.159857143,0.011271429
527.0,4.155571429,0.011039286
528.0,4.15145614,0.010836842
529.0,4.147596491,0.010678947
530.0,4.143736842,0.010521053
531.0,4.139877193,0.010363158
532.0,4.136017544,0.010205263
533.0,4.132157895,0.010047368
534.0,4.128344828,0.009758621
535.0,4.124551724,0.009413793
536.0,4.120758621,0.009068966
537.0,4.116965517,0.008724138
538.0,4.113172414,0.00837931
539.0,4.10937931,0.008034483
540.0,4.105949153,0.007923729
541.0,4.102559322,0.007838983
542.0,4.099169492,0.007754237
543.0,4.095779661,0.007669492
544.0,4.092389831,0.007584746
545.0,4.089,0.0075
546.0,4.0855,0.00725
547.0,4.082,0.007
548.0,4.0785,0.00675
549.0,4.075,0.0065
550.0,4.0715,0.00625
551.0,4.068,0.006
552.0,4.064935484,0.006064516
553.0,4.061870968,0.006129032
554.0,4.058806452,0.006193548
555.0,4.055741935,0.006258065
556.0,4.052677419,0.006322581
557.0,4.049612903,0.006387097
558.0,4.0465,0.00625
559.0,4.043375,0.0060625
560.0,4.04025,0.005875
561.0,4.037125,0.0056875
562.0,4.034,0.0055
563.0,4.030875,0.0053125
564.0,4.0279375,0.00516875
565.0,4.02528125,0.005090625
566.0,4.022625,0.0050125
567.0,4.01996875,0.004934375
568.0,4.0173125,0.00485625
569.0,4.01465625,0.004778125
570.0,4.012,0.0047
571.0,4.009462687,0.004670149
572.0,4.006925373,0.004640299
573.0,4.00438806,0.004610448
574.0,4.001850746,0.004580597
575.0,3.999313433,0.004550746
576.0,3.996776119,0.004520896
577.0,3.994205882,0.004469118
578.0,3.991558824,0.004366176
579.0,3.988911765,0.004263235
580.0,3.986264706,0.004160294
581.0,3.983617647,0.004057353
582.0,3.980970588,0.003954412
583.0,3.978323529,0.003851471
584.0,3.975768116,0.003778261
585.0,3.973304348,0.003734783
586.0,3.97084058,0.003691304
587.0,3.968376812,0.003647826
588.0,3.965913043,0.003604348
589.0,3.963449275,0.00356087
590.0,3.960985507,0.003517391
591.0,3.958656338,0.003423944
592.0,3.956416901,0.003297183
593.0,3.954177465,0.003170423
594.0,3.951938028,0.003043662
595.0,3.949698592,0.002916901
596.0,3.947459155,0.002790141
597.0,3.945219718,0.00266338
598.0,3.943072603,0.002558904
599.0,3.941017808,0.002476712
600.0,3.938963014,0.002394521
601.0,3.936908219,0.002312329
602.0,3.934853425,0.002230137
603.0,3.93279863,0.002147945
604.0,3.930743836,0.002065753
605.0,3.928708,0.002010667
606.0,3.926748,0.002064
607.0,3.924788,0.002117333
608.0,3.922828,0.002170667
609.0,3.920868,0.002224
610.0,3.918908,0.002277333
611.0,3.916948,0.002330667
612.0,3.914988,0.002384
613.0,3.913073684,0.002335526
614.0,3.911178947,0.002243421
615.0,3.909284211,0.002151316
616.0,3.907389474,0.002059211
617.0,3.905494737,0.001967105
618.0,3.9036,0.001875
619.0,3.901705263,0.001782895
620.0,3.899822785,0.001694937
621.0,3.898050633,0.001644304
622.0,3.896278481,0.001593671
623.0,3.894506329,0.001543038
624.0,3.892734177,0.001492405
625.0,3.890962025,0.001441772
626.0,3.889189873,0.001391139
627.0,3.887417722,0.001340506
628.0,3.8856575,0.0012875
629.0,3.883945,0.001225
630.0,3.8822325,0.0011625
631.0,3.88052,0.0011
632.0,3.8788075,0.0010375
633.0,3.877095,0.000975
634.0,3.8753825,0.0009125
635.0,3.87367,0.00085
636.0,3.871977108,0.000812048
637.0,3.870362651,0.000872289
638.0,3.868748193,0.00093253
639.0,3.867133735,0.000992771
640.0,3.865519277,0.001053012
641.0,3.863904819,0.001113253
642.0,3.862290361,0.001173494
643.0,3.860675904,0.001233735
644.0,3.859061446,0.001293976
645.0,3.857410714,0.001342857
646.0,3.855755952,0.001390476
647.0,3.85410119,0.001438095
648.0,3.852446429,0.001485714
649.0,3.850791667,0.001533333
650.0,3.849136905,0.001580952
651.0,3.847482143,0.001628571
652.0,3.845827381,0.00167619
653.0,3.844310345,0.001722989
654.0,3.842931034,0.001768966
655.0,3.841551724,0.001814943
656.0,3.840172414,0.00186092
657.0,3.838793103,0.001906897
658.0,3.837413793,0.001952874
659.0,3.836034483,0.001998851
660.0,3.834655172,0.002044828
661.0,3.833275862,0.002090805
662.0,3.831888889,0.002064444
663.0,3.8305,0.00202
664.0,3.829111111,0.001975556
665.0,3.827722222,0.001931111
666.0,3.826333333,0.001886667
667.0,3.824944444,0.001842222
668.0,3.823555556,0.001797778
669.0,3.822166667,0.001753333
670.0,3.820777778,0.001708889
671.0,3.819447826,0.00176087
672.0,3.818132609,0.001836957
673.0,3.816817391,0.001913043
674.0,3.815502174,0.00198913
675.0,3.814186957,0.002065217
676.0,3.812871739,0.002141304
677.0,3.811556522,0.002217391
678.0,3.810241304,0.002293478
679.0,3.808926087,0.002369565
680.0,3.807608511,0.002431915
681.0,3.806289362,0.002485106
682.0,3.804970213,0.002538298
683.0,3.803651064,0.002591489
684.0,3.802331915,0.002644681
685.0,3.801012766,0.002697872
686.0,3.799693617,0.002751064
687.0,3.798374468,0.002804255
688.0,3.797055319,0.002857447
689.0,3.795775258,0.002893814
690.0,3.794651546,0.002862887
691.0,3.793527835,0.002831959
692.0,3.792404124,0.002801031
693.0,3.791280412,0.002770103
694.0,3.790156701,0.002739175
695.0,3.78903299,0.002708247
696.0,3.787909278,0.00267732
697.0,3.786785567,0.002646392
698.0,3.785661856,0.002615464
699.0,3.78454,0.00259
700.0,3.78342,0.00257
701.0,3.7823,0.00255
702.0,3.78118,0.00253
703.0,3.78006,0.00251
704.0,3.77894,0.00249
705.0,3.77782,0.00247
706.0,3.7767,0.00245
707.0,3.77558,0.00243
708.0,3.77446,0.00241
709.0,3.773370588,0.0024
710.0,3.772311765,0.0024
711.0,3.771252941,0.0024
712.0,3.770194118,0.0024
713.0,3.769135294,0.0024
714.0,3.768076471,0.0024
715.0,3.767017647,0.0024
716.0,3.765958824,0.0024
717.0,3.7649,0.0024
718.0,3.763841176,0.0024
719.0,3.762814151,0.002414151
720.0,3.761861321,0.002461321
721.0,3.760908491,0.002508491
722.0,3.75995566,0.00255566
723.0,3.75900283,0.00260283
724.0,3.75805,0.00265
725.0,3.75709717,0.00269717
726.0,3.75614434,0.00274434
727.0,3.755191509,0.002791509
728.0,3.754238679,0.002838679
729.0,3.753285849,0.002885849
730.0,3.752312844,0.002880734
731.0,3.751331193,0.002853211
732.0,3.750349541,0.002825688
733.0,3.74936789,0.002798165
734.0,3.748386239,0.002770642
735.0,3.747404587,0.002743119
736.0,3.746422936,0.002715596
737.0,3.745441284,0.002688073
738.0,3.744459633,0.00266055
739.0,3.743477982,0.002633028
740.0,3.74249633,0.002605505
741.0,3.741592857,0.0027
742.0,3.740708929,0.002825
743.0,3.739825,0.00295
744.0,3.738941071,0.003075
745.0,3.738057143,0.0032
746.0,3.737173214,0.003325
747.0,3.736289286,0.00345
748.0,3.735405357,0.003575
749.0,3.734521429,0.0037
750.0,3.7336375,0.003825
751.0,3.732753571,0.00395
752.0,3.731903448,0.00402069
753.0,3.731075862,0.004055172
754.0,3.730248276,0.004089655
755.0,3.72942069,0.004124138
756.0,3.728593103,0.004158621
757.0,3.727765517,0.004193103
758.0,3.726937931,0.004227586
759.0,3.726110345,0.004262069
760.0,3.725282759,0.004296552
761.0,3.724455172,0.004331034
762.0,3.723627586,0.004365517
763.0,3.7228,0.0044
764.0,3.722228571,0.004131092
765.0,3.721657143,0.003862185
766.0,3.721085714,0.003593277
767.0,3.720514286,0.00332437
768.0,3.719942857,0.003055462
769.0,3.719371429,0.002786555
770.0,3.7188,0.002517647
771.0,3.718228571,0.002248739
772.0,3.717657143,0.001979832
773.0,3.717085714,0.001710924
774.0,3.716514286,0.001442017
775.0,3.715907317,0.001213821
776.0,3.714980488,0.001352033
777.0,3.714053659,0.001490244
778.0,3.713126829,0.001628455
779.0,3.7122,0.001766667
780.0,3.711273171,0.001904878
781.0,3.710346341,0.002043089
782.0,3.709419512,0.002181301
783.0,3.708492683,0.002319512
784.0,3.707565854,0.002457724
785.0,3.706639024,0.002595935
786.0,3.705712195,0.002734146
787.0,3.704785366,0.002872358
788.0,3.704058268,0.003013386
789.0,3.703381102,0.003155118
790.0,3.702703937,0.00329685
791.0,3.702026772,0.003438583
792.0,3.701349606,0.003580315
793.0,3.700672441,0.003722047
794.0,3.699995276,0.00386378
795.0,3.69931811,0.004005512
796.0,3.698640945,0.004147244
797.0,3.69796378,0.004288976
798.0,3.697286614,0.004430709
799.0,3.696609449,0.004572441
800.0,3.695936641,0.00470229
801.0,3.695303053,0.004725191
802.0,3.694669466,0.004748092
803.0,3.694035878,0.004770992
804.0,3.69340229,0.004793893
805.0,3.692768702,0.004816794
806.0,3.692135115,0.004839695
807.0,3.691501527,0.004862595
808.0,3.690867939,0.004885496
809.0,3.690234351,0.004908397
810.0,3.689600763,0.004931298
811.0,3.688967176,0.004954198
812.0,3.688333588,0.004977099
813.0,3.6877,0.005
814.0,3.686986765,0.004970588
815.0,3.686273529,0.004941176
816.0,3.685560294,0.004911765
817.0,3.684847059,0.004882353
818.0,3.684133824,0.004852941
819.0,3.683420588,0.004823529
820.0,3.682707353,0.004794118
821.0,3.681994118,0.004764706
822.0,3.681280882,0.004735294
823.0,3.680567647,0.004705882
824.0,3.679854412,0.004676471
825.0,3.679141176,0.004647059
826.0,3.678427941,0.004617647
827.0,3.678,0.0046
828.0,3.678,0.0046
829.0,3.678,0.0046
830.0,3.678,0.0046
831.0,3.678,0.0046
832.0,3.678,0.0046
833.0,3.678,0.0046
834.0,3.678,0.0046
835.0,3.678,0.0046
836.0,3.678,0.0046
837.0,3.678,0.0046
838.0,3.678,0.0046
839.0,3.678,0.0046
840.0,3.678,0.0046
841.0,3.678,0.0046
842.0,3.678,0.0046
843.0,3.678,0.0046
844.0,3.678,0.0046
845.0,3.678,0.0046
846.0,3.678,0.0046
847.0,3.678,0.0046
848.0,3.678,0.0046
849.0,3.678,0.0046
850.0,3.678,0.0046
851.0,3.678,0.0046
852.0,3.678,0.0046
853.0,3.678,0.0046
854.0,3.678,0.0046
855.0,3.678,0.0046
856.0,3.678,0.0046
857.0,3.678,0.0046
858.0,3.678,0.0046
859.0,3.678,0.0046
860.0,3.678,0.0046
861.0,3.678,0.0046
862.0,3.678,0.0046
863.0,3.678,0.0046
864.0,3.678,0.0046
865.0,3.678,0.0046
866.0,3.678,0.0046
