lambda_nm,n,k
1333.0,0.427,8.503
1334.0,0.427,8.509
1335.0,0.428,8.515
1336.0,0.429,8.521
1337.0,0.429,8.527
1338.0,0.43,8.533
1339.0,0.43,8.538
1340.0,0.431,8.544
1341.0,0.432,8.55
1342.0,0.432,8.556
1343.0,0.433,8.562
1344.0,0.433,8.568
1345.0,0.434,8.574
1346.0,0.435,8.58
1347.0,0.435,8.586
1348.0,0.436,8.592
1349.0,0.436,8.598
1350.0,0.437,8.604
1351.0,0.438,8.61
1352.0,0.438,8.616
1353.0,0.439,8.622
1354.0,0.439,8.628
1355.0,0.44,8.634
1356.0,0.441,8.64
1357.0,0.441,8.646
1358.0,0.442,8.652
1359.0,0.442,8.658
1360.0,0.443,8.664
1361.0,0.444,8.67
1362.0,0.444,8.676
1363.0,0.445,8.682
1364.0,0.445,8.688
1365.0,0.446,8.694
1366.0,0.447,8.7
1367.0,0.447,8.706
1368.0,0.448,8.712
1369.0,0.448,8.718
1370.0,0.449,8.724
1371.0,0.45,8.73
1372.0,0.45,8.736
1373.0,0.451,8.742
1374.0,0.451,8.748
1375.0,0.452,8.754
1376.0,0.453,8.76
1377.0,0.453,8.766
1378.0,0.458,9.709
1379.0,0.458,9.685
1380.0,0.459,9.66
1381.0,0.459,9.636
1382.0,0.46,9.612
1383.0,0.46,9.587
1384.0,0.461,9.563
1385.0,0.461,9.539
1386.0,0.462,9.515
1387.0,0.462,9.49
1388.0,0.463,9.466
1389.0,0.463,9.442
1390.0,0.463,9.417
1391.0,0.464,9.393
1392.0,0.464,9.369
1393.0,0.465,9.345
1394.0,0.465,9.32
1395.0,0.466,9.296
1396.0,0.466,9.272
1397.0,0.467,9.247
1398.0,0.467,9.223
1399.0,0.468,9.199
1400.0,0.468,9.175
1401.0,0.469,9.15
1402.0,0.469,9.126
1403.0,0.47,9.102
1404.0,0.47,9.078
1405.0,0.471,9.053
1406.0,0.471,9.029
1407.0,0.472,9.005
1408.0,0.472,8.98
1409.0,0.473,8.96
1410.0,0.473,8.966
1411.0,0.474,8.972
1412.0,0.474,8.978
1413.0,0.475,8.984
1414.0,0.476,8.989
1415.0,0.476,8.995
1416.0,0.477,9.001
1417.0,0.477,9.007
1418.0,0.478,9.012
1419.0,0.479,9.018
1420.0,0.479,9.024
1421.0,0.48,9.03
1422.0,0.481,9.036
1423.0,0.481,9.041
1424.0,0.482,9.047
1425.0,0.482,9.053
1426.0,0.483,9.059
1427.0,0.484,9.065
1428.0,0.484,9.07
1429.0,0.485,9.076
1430.0,0.485,9.082
1431.0,0.486,9.088
1432.0,0.487,9.094
1433.0,0.487,9.099
1434.0,0.488,9.105
1435.0,0.488,9.111
1436.0,0.489,9.117
1437.0,0.49,9.123
1438.0,0.49,9.128
1439.0,0.491,9.134
1440.0,0.492,9.14
1441.0,0.492,9.146
1442.0,0.493,9.152
1443.0,0.493,9.158
1444.0,0.494,9.164
1445.0,0.495,9.17
1446.0,0.495,9.176
1447.0,0.496,9.182
1448.0,0.497,9.188
1449.0,0.497,9.195
1450.0,0.498,9.201
1451.0,0.499,9.207
1452.0,0.499,9.213
1453.0,0.5,9.219
1454.0,0.5,9.225
1455.0,0.501,9.231
1456.0,0.502,9.237
1457.0,0.502,9.244
1458.0,0.503,9.25
1459.0,0.504,9.256
1460.0,0.504,9.262
1461.0,0.505,9.268
1462.0,0.506,9.274
1463.0,0.506,9.28
1464.0,0.507,9.286
1465.0,0.507,9.292
1466.0,0.508,9.299
1467.0,0.509,9.305
1468.0,0.509,9.311
1469.0,0.51,9.317
1470.0,0.511,9.323
1471.0,0.511,9.329
1472.0,0.512,9.335
1473.0,0.513,9.341
1474.0,0.513,9.348
1475.0,0.514,9.354
1476.0,0.515,9.36
1477.0,0.515,9.366
1478.0,0.516,9.372
1479.0,0.516,9.378
1480.0,0.517,9.384
1481.0,0.518,9.39
1482.0,0.518,9.396
1483.0,0.519,9.403
1484.0,0.519,9.409
1485.0,0.52,9.415
1486.0,0.521,9.421
1487.0,0.521,9.427
1488.0,0.522,9.433
1489.0,0.522,9.439
1490.0,0.523,9.445
1491.0,0.524,9.451
1492.0,0.524,9.458
1493.0,0.525,9.464
1494.0,0.526,9.47
1495.0,0.526,9.476
1496.0,0.527,9.482
1497.0,0.527,9.488
1498.0,0.528,9.494
1499.0,0.529,9.5
1500.0,0.529,9.506
1501.0,0.53,9.513
1502.0,0.53,9.519
1503.0,0.531,9.525
1504.0,0.532,9.531
1505.0,0.532,9.537
1506.0,0.533,9.543
1507.0,0.533,9.549
1508.0,0.534,9.555
1509.0,0.535,9.561
1510.0,0.535,9.568
1511.0,0.536,9.574
1512.0,0.537,9.58
1513.0,0.537,9.586
1514.0,0.538,9.592
1515.0,0.538,9.598
1516.0,0.539,9.604
1517.0,0.539,9.61
1518.0,0.54,9.616
1519.0,0.541,9.622
1520.0,0.541,9.628
1521.0,0.542,9.635
1522.0,0.542,9.641
1523.0,0.543,9.647
1524.0,0.544,9.653
1525.0,0.544,9.659
1526.0,0.545,9.665
1527.0,0.545,9.671
1528.0,0.546,9.677
1529.0,0.546,9.683
1530.0,0.547,9.689
1531.0,0.548,9.695
1532.0,0.548,9.701
1533.0,0.549,9.708
1534.0,0.549,9.714
1535.0,0.55,9.72
1536.0,0.55,9.726
1537.0,0.551,9.732
1538.0,0.552,9.738
1539.0,0.552,9.744
1540.0,0.553,9.75
1541.0,0.553,9.756
1542.0,0.554,9.762
1543.0,0.555,9.768
1544.0,0.555,9.775
1545.0,0.556,9.781
1546.0,0.556,9.787
1547.0,0.557,9.793
1548.0,0.557,9.799
1549.0,0.558,9.805
1550.0,0.55,11.491
1551.0,0.551,11.455
1552.0,0.551,11.42
1553.0,0.552,11.385
1554.0,0.553,11.35
1555.0,0.554,11.315
1556.0,0.555,11.279
1557.0,0.556,11.244
1558.0,0.556,11.209
1559.0,0.557,11.174
1560.0,0.558,11.138
1561.0,0.559,11.103
1562.0,0.56,11.068
1563.0,0.561,11.033
1564.0,0.561,10.997
1565.0,0.562,10.962
1566.0,0.563,10.927
1567.0,0.564,10.892
1568.0,0.565,10.857
1569.0,0.565,10.821
1570.0,0.566,10.786
1571.0,0.567,10.751
1572.0,0.568,10.716
1573.0,0.569,10.68
1574.0,0.57,10.645
1575.0,0.57,10.61
1576.0,0.571,10.575
1577.0,0.572,10.54
1578.0,0.573,10.504
1579.0,0.574,10.469
1580.0,0.575,10.434
1581.0,0.575,10.399
1582.0,0.576,10.363
1583.0,0.577,10.328
1584.0,0.578,10.293
1585.0,0.579,10.258
1586.0,0.58,10.222
1587.0,0.58,10.187
1588.0,0.581,10.152
1589.0,0.582,10.117
1590.0,0.583,10.102
1591.0,0.583,10.107
1592.0,0.584,10.112
1593.0,0.585,10.116
1594.0,0.585,10.121
1595.0,0.586,10.126
1596.0,0.587,10.131
1597.0,0.587,10.135
1598.0,0.588,10.14
1599.0,0.588,10.145
1600.0,0.589,10.15
1601.0,0.59,10.155
1602.0,0.59,10.159
1603.0,0.591,10.164
1604.0,0.592,10.169
1605.0,0.592,10.174
1606.0,0.593,10.178
1607.0,0.593,10.183
1608.0,0.594,10.188
1609.0,0.595,10.193
1610.0,0.595,10.198
1611.0,0.596,10.202
1612.0,0.596,10.207
1613.0,0.597,10.212
1614.0,0.598,10.217
1615.0,0.598,10.221
1616.0,0.599,10.226
1617.0,0.6,10.231
1618.0,0.6,10.236
1619.0,0.601,10.241
1620.0,0.601,10.245
1621.0,0.602,10.25
1622.0,0.603,10.255
1623.0,0.603,10.26
1624.0,0.604,10.265
1625.0,0.605,10.269
1626.0,0.605,10.274
1627.0,0.606,10.279
1628.0,0.606,10.284
1629.0,0.607,10.288
1630.0,0.608,10.293
1631.0,0.608,10.298
1632.0,0.609,10.304
1633.0,0.61,10.311
1634.0,0.61,10.318
1635.0,0.611,10.325
1636.0,0.611,10.331
1637.0,0.612,10.338
1638.0,0.613,10.345
1639.0,0.613,10.352
1640.0,0.614,10.359
1641.0,0.614,10.365
1642.0,0.615,10.372
1643.0,0.616,10.379
1644.0,0.616,10.386
1645.0,0.617,10.393
1646.0,0.617,10.399
1647.0,0.618,10.406
1648.0,0.619,10.413
1649.0,0.619,10.42
1650.0,0.62,10.427
1651.0,0.621,10.433
1652.0,0.621,10.44
1653.0,0.622,10.447
1654.0,0.622,10.454
1655.0,0.623,10.461
1656.0,0.624,10.467
1657.0,0.624,10.474
1658.0,0.625,10.481
1659.0,0.625,10.488
1660.0,0.626,10.495
1661.0,0.627,10.501
1662.0,0.627,10.508
1663.0,0.628,10.515
1664.0,0.629,10.522
1665.0,0.629,10.529
1666.0,0.63,10.535
1667.0,0.63,10.542
1668.0,0.631,10.549
1669.0,0.632,10.556
1670.0,0.632,10.563
1671.0,0.633,10.569
1672.0,0.633,10.576
1673.0,0.634,10.583
1674.0,0.635,10.59
1675.0,0.635,10.597
1676.0,0.636,10.603
1677.0,0.636,10.61
1678.0,0.637,10.616
1679.0,0.638,10.623
1680.0,0.638,10.629
1681.0,0.639,10.636
1682.0,0.64,10.642
1683.0,0.64,10.648
1684.0,0.641,10.655
1685.0,0.641,10.661
1686.0,0.642,10.668
1687.0,0.643,10.674
1688.0,0.643,10.681
1689.0,0.644,10.687
1690.0,0.645,10.694
1691.0,0.645,10.7
1692.0,0.646,10.706
1693.0,0.646,10.713
1694.0,0.647,10.719
1695.0,0.648,10.726
1696.0,0.648,10.732
1697.0,0.649,10.739
1698.0,0.65,10.745
1699.0,0.65,10.752
1700.0,0.651,10.758
1701.0,0.651,10.764
1702.0,0.652,10.771
1703.0,0.653,10.777
1704.0,0.653,10.784
1705.0,0.654,10.79
1706.0,0.655,10.797
1707.0,0.655,10.803
1708.0,0.656,10.81
1709.0,0.656,10.816
1710.0,0.657,10.823
1711.0,0.658,10.829
1712.0,0.658,10.835
1713.0,0.659,10.842
1714.0,0.66,10.848
1715.0,0.66,10.855
1716.0,0.661,10.861
1717.0,0.661,10.868
1718.0,0.662,10.874
1719.0,0.663,10.881
1720.0,0.663,10.887
1721.0,0.664,10.893
1722.0,0.665,10.9
1723.0,0.665,10.906
1724.0,0.666,10.912
1725.0,0.666,10.918
1726.0,0.667,10.924
1727.0,0.668,10.93
1728.0,0.668,10.936
1729.0,0.669,10.943
1730.0,0.67,10.949
1731.0,0.67,10.955
1732.0,0.671,10.961
1733.0,0.671,10.967
1734.0,0.672,10.973
1735.0,0.673,10.979
1736.0,0.673,10.985
1737.0,0.674,10.991
1738.0,0.675,10.997
1739.0,0.675,11.004
1740.0,0.676,11.01
1741.0,0.677,11.016
1742.0,0.677,11.022
1743.0,0.678,11.028
1744.0,0.678,11.034
1745.0,0.679,11.04
1746.0,0.68,11.046
1747.0,0.68,11.052
1748.0,0.681,11.058
1749.0,0.682,11.065
1750.0,0.682,11.071
1751.0,0.683,11.077
1752.0,0.683,11.083
1753.0,0.684,11.089
1754.0,0.685,11.095
1755.0,0.685,11.101
1756.0,0.686,11.107
1757.0,0.687,11.113
1758.0,0.687,11.119
1759.0,0.688,11.125
1760.0,0.688,11.132
1761.0,0.689,11.138
1762.0,0.69,11.144
1763.0,0.69,11.15
1764.0,0.691,11.156
1765.0,0.692,11.162
1766.0,0.692,11.168
1767.0,0.693,11.174
1768.0,0.694,11.18
1769.0,0.694,11.186
1770.0,0.695,11.193
1771.0,0.695,11.199
1772.0,0.726,12.876
1773.0,0.726,12.85
1774.0,0.726,12.823
1775.0,0.726,12.796
1776.0,0.726,12.769
1777.0,0.726,12.742
1778.0,0.726,12.715
1779.0,0.726,12.688
1780.0,0.726,12.661
1781.0,0.726,12.635
1782.0,0.726,12.608
1783.0,0.726,12.581
1784.0,0.726,12.554
1785.0,0.727,12.527
1786.0,0.727,12.5
1787.0,0.727,12.473
1788.0,0.727,12.446
1789.0,0.727,12.42
1790.0,0.727,12.393
1791.0,0.727,12.366
1792.0,0.727,12.339
1793.0,0.727,12.312
1794.0,0.727,12.285
1795.0,0.727,12.258
1796.0,0.727,12.231
1797.0,0.727,12.205
1798.0,0.728,12.178
1799.0,0.728,12.151
1800.0,0.728,12.124
1801.0,0.728,12.097
1802.0,0.728,12.07
1803.0,0.728,12.043
1804.0,0.728,12.017
1805.0,0.728,11.99
1806.0,0.728,11.963
1807.0,0.728,11.936
1808.0,0.728,11.909
1809.0,0.728,11.882
1810.0,0.728,11.855
1811.0,0.729,11.828
1812.0,0.729,11.802
1813.0,0.729,11.775
1814.0,0.729,11.748
1815.0,0.729,11.721
1816.0,0.729,11.694
1817.0,0.729,11.667
1818.0,0.729,11.64
1819.0,0.729,11.613
1820.0,0.729,11.587
1821.0,0.729,11.56
1822.0,0.729,11.533
1823.0,0.729,11.506
1824.0,0.73,11.505
1825.0,0.731,11.512
1826.0,0.731,11.519
1827.0,0.732,11.527
1828.0,0.733,11.534
1829.0,0.733,11.541
1830.0,0.734,11.548
1831.0,0.735,11.556
1832.0,0.735,11.563
1833.0,0.736,11.57
1834.0,0.737,11.577
1835.0,0.737,11.585
1836.0,0.738,11.592
1837.0,0.739,11.599
1838.0,0.739,11.606
1839.0,0.74,11.614
1840.0,0.741,11.621
1841.0,0.741,11.628
1842.0,0.742,11.635
1843.0,0.743,11.643
1844.0,0.743,11.65
1845.0,0.744,11.657
1846.0,0.745,11.664
1847.0,0.745,11.672
1848.0,0.746,11.679
1849.0,0.747,11.686
1850.0,0.747,11.693
1851.0,0.748,11.701
1852.0,0.749,11.708
1853.0,0.749,11.715
1854.0,0.75,11.722
1855.0,0.751,11.729
1856.0,0.751,11.737
1857.0,0.752,11.744
1858.0,0.753,11.751
1859.0,0.753,11.758
1860.0,0.754,11.766
1861.0,0.755,11.773
1862.0,0.755,11.78
1863.0,0.756,11.787
1864.0,0.757,11.795
1865.0,0.757,11.802
1866.0,0.758,11.809
1867.0,0.759,11.816
1868.0,0.759,11.824
1869.0,0.76,11.831
1870.0,0.761,11.838
1871.0,0.761,11.845
1872.0,0.762,11.853
1873.0,0.763,11.86
1874.0,0.763,11.867
1875.0,0.764,11.874
1876.0,0.765,11.882
1877.0,0.766,11.889
1878.0,0.766,11.896
1879.0,0.767,11.902
1880.0,0.768,11.907
1881.0,0.768,11.912
1882.0,0.769,11.917
1883.0,0.77,11.923
1884.0,0.77,11.928
1885.0,0.771,11.933
1886.0,0.772,11.938
1887.0,0.772,11.943
1888.0,0.773,11.948
1889.0,0.774,11.953
1890.0,0.774,11.958
1891.0,0.775,11.963
1892.0,0.776,11.969
1893.0,0.776,11.974
1894.0,0.777,11.979
1895.0,0.778,11.984
1896.0,0.778,11.989
1897.0,0.779,11.994
1898.0,0.78,11.999
1899.0,0.78,12.004
1900.0,0.781,12.009
1901.0,0.782,12.015
1902.0,0.783,12.02
1903.0,0.783,12.025
1904.0,0.784,12.03
1905.0,0.785,12.035
1906.0,0.785,12.04
1907.0,0.786,12.045
1908.0,0.787,12.05
1909.0,0.787,12.055
1910.0,0.788,12.061
1911.0,0.789,12.066
1912.0,0.789,12.071
1913.0,0.79,12.076
1914.0,0.791,12.081
1915.0,0.791,12.086
1916.0,0.792,12.091
1917.0,0.793,12.096
1918.0,0.793,12.101
1919.0,0.794,12.107
1920.0,0.795,12.112
1921.0,0.795,12.117
1922.0,0.796,12.122
1923.0,0.797,12.127
1924.0,0.798,12.132
1925.0,0.798,12.137
1926.0,0.799,12.142
1927.0,0.8,12.147
1928.0,0.8,12.153
1929.0,0.801,12.158
1930.0,0.802,12.163
1931.0,0.802,12.168
1932.0,0.803,12.173
1933.0,0.804,12.178
1934.0,0.804,12.183
1935.0,0.805,12.188
1936.0,0.806,12.193
1937.0,0.806,12.199
1938.0,0.807,12.205
1939.0,0.808,12.211
1940.0,0.808,12.217
1941.0,0.809,12.224
1942.0,0.81,12.23
1943.0,0.81,12.237
1944.0,0.811,12.243
1945.0,0.812,12.249
1946.0,0.813,12.256
1947.0,0.813,12.262
1948.0,0.814,12.269
1949.0,0.815,12.275
1950.0,0.815,12.281
1951.0,0.816,12.288
1952.0,0.817,12.294
1953.0,0.817,12.301
1954.0,0.818,12.307
1955.0,0.819,12.314
1956.0,0.819,12.32
1957.0,0.82,12.326
1958.0,0.821,12.333
1959.0,0.822,12.339
1960.0,0.822,12.346
1961.0,0.823,12.352
1962.0,0.824,12.358
1963.0,0.824,12.365
1964.0,0.825,12.371
1965.0,0.826,12.378
1966.0,0.826,12.384
1967.0,0.827,12.39
1968.0,0.828,12.397
1969.0,0.828,12.403
1970.0,0.829,12.41
1971.0,0.83,12.416
1972.0,0.83,12.422
1973.0,0.831,12.429
1974.0,0.832,12.435
1975.0,0.833,12.442
1976.0,0.833,12.448
1977.0,0.834,12.454
1978.0,0.835,12.461
1979.0,0.835,12.467
1980.0,0.836,12.474
1981.0,0.837,12.48
1982.0,0.837,12.486
1983.0,0.838,12.493
1984.0,0.839,12.499
1985.0,0.839,12.506
1986.0,0.84,12.512
1987.0,0.841,12.518
1988.0,0.841,12.525
1989.0,0.842,12.531
1990.0,0.843,12.538
1991.0,0.844,12.544
1992.0,0.844,12.55
1993.0,0.845,12.557
1994.0,0.846,12.563
1995.0,0.846,12.57
1996.0,0.847,12.576
1997.0,0.848,12.582
1998.0,0.848,12.589
1999.0,0.849,12.595
2000.0,0.85,12.601
