lambda_nm,n,k
465.0,1.365,1.829
466.0,1.354,1.826
467.0,1.344,1.823
468.0,1.334,1.821
469.0,1.323,1.818
470.0,1.313,1.815
471.0,1.302,1.812
472.0,1.292,1.809
473.0,1.282,1.806
474.0,1.271,1.804
475.0,1.261,1.801
476.0,1.25,1.798
477.0,1.239,1.796
478.0,1.222,1.798
479.0,1.205,1.8
480.0,1.188,1.803
481.0,1.171,1.805
482.0,1.153,1.807
483.0,1.136,1.81
484.0,1.119,1.812
485.0,1.102,1.814
486.0,1.085,1.817
487.0,1.068,1.819
488.0,1.051,1.821
489.0,1.034,1.824
490.0,1.017,1.826
491.0,1.0,1.828
492.0,0.982,1.83
493.0,0.965,1.833
494.0,0.948,1.835
495.0,0.931,1.837
496.0,0.914,1.841
497.0,0.899,1.854
498.0,0.884,1.868
499.0,0.87,1.881
500.0,0.855,1.895
501.0,0.84,1.908
502.0,0.825,1.922
503.0,0.81,1.935
504.0,0.795,1.949
505.0,0.78,1.963
506.0,0.765,1.976
507.0,0.75,1.99
508.0,0.735,2.003
509.0,0.721,2.017
510.0,0.706,2.03
511.0,0.691,2.044
512.0,0.676,2.057
513.0,0.661,2.071
514.0,0.646,2.084
515.0,0.631,2.098
516.0,0.616,2.112
517.0,0.604,2.127
518.0,0.595,2.146
519.0,0.585,2.165
520.0,0.576,2.183
521.0,0.567,2.202
522.0,0.558,2.221
523.0,0.549,2.239
524.0,0.539,2.258
525.0,0.53,2.277
526.0,0.521,2.296
527.0,0.512,2.314
528.0,0.503,2.333
529.0,0.494,2.352
530.0,0.484,2.37
531.0,0.475,2.389
532.0,0.466,2.408
533.0,0.457,2.426
534.0,0.448,2.445
535.0,0.439,2.464
536.0,0.429,2.483
537.0,0.42,2.501
538.0,0.411,2.52
539.0,0.402,2.539
540.0,0.398,2.553
541.0,0.394,2.567
542.0,0.39,2.581
543.0,0.386,2.594
544.0,0.382,2.608
545.0,0.378,2.622
546.0,0.374,2.636
547.0,0.37,2.65
548.0,0.366,2.664
549.0,0.362,2.678
550.0,0.359,2.692
551.0,0.355,2.705
552.0,0.351,2.719
553.0,0.347,2.733
554.0,0.343,2.747
555.0,0.339,2.761
556.0,0.335,2.775
557.0,0.331,2.789
558.0,0.327,2.803
559.0,0.323,2.816
560.0,0.319,2.83
561.0,0.315,2.844
562.0,0.312,2.858
563.0,0.308,2.872
564.0,0.305,2.881
565.0,0.303,2.884
566.0,0.302,2.887
567.0,0.3,2.89
568.0,0.298,2.893
569.0,0.297,2.896
570.0,0.295,2.899
571.0,0.294,2.902
572.0,0.292,2.905
573.0,0.291,2.908
574.0,0.289,2.911
575.0,0.287,2.914
576.0,0.286,2.917
577.0,0.284,2.92
578.0,0.283,2.923
579.0,0.281,2.926
580.0,0.28,2.929
581.0,0.278,2.932
582.0,0.276,2.935
583.0,0.275,2.939
584.0,0.273,2.942
585.0,0.272,2.945
586.0,0.27,2.948
587.0,0.269,2.951
588.0,0.267,2.954
589.0,0.265,2.957
590.0,0.264,2.96
591.0,0.262,2.963
592.0,0.261,2.966
593.0,0.259,2.969
594.0,0.258,2.972
595.0,0.256,2.975
596.0,0.254,2.978
597.0,0.253,2.981
598.0,0.251,2.984
599.0,0.25,2.987
600.0,0.248,2.99
601.0,0.247,2.993
602.0,0.245,2.996
603.0,0.243,2.999
604.0,0.242,3.002
605.0,0.24,3.005
606.0,0.239,3.008
607.0,0.237,3.011
608.0,0.236,3.014
609.0,0.234,3.017
610.0,0.232,3.02
611.0,0.231,3.023
612.0,0.229,3.027
613.0,0.228,3.03
614.0,0.226,3.033
615.0,0.225,3.036
616.0,0.223,3.039
617.0,0.221,3.042
618.0,0.22,3.045
619.0,0.218,3.048
620.0,0.217,3.051
621.0,0.215,3.054
622.0,0.214,3.057
623.0,0.212,3.06
624.0,0.21,3.063
625.0,0.209,3.066
626.0,0.207,3.069
627.0,0.206,3.072
628.0,0.204,3.075
629.0,0.203,3.078
630.0,0.201,3.081
631.0,0.199,3.084
632.0,0.198,3.087
633.0,0.196,3.09
634.0,0.195,3.093
635.0,0.193,3.096
636.0,0.192,3.099
637.0,0.19,3.102
638.0,0.188,3.105
639.0,0.187,3.108
640.0,0.185,3.111
641.0,0.184,3.115
642.0,0.182,3.118
643.0,0.18,3.121
644.0,0.179,3.124
645.0,0.177,3.127
646.0,0.176,3.13
647.0,0.174,3.133
648.0,0.173,3.136
649.0,0.171,3.139
650.0,0.169,3.142
651.0,0.168,3.145
652.0,0.166,3.148
653.0,0.165,3.158
654.0,0.165,3.176
655.0,0.165,3.194
656.0,0.165,3.212
657.0,0.165,3.23
658.0,0.165,3.248
659.0,0.164,3.266
660.0,0.164,3.284
661.0,0.164,3.301
662.0,0.164,3.319
663.0,0.164,3.337
664.0,0.164,3.355
665.0,0.163,3.373
666.0,0.163,3.391
667.0,0.163,3.409
668.0,0.163,3.427
669.0,0.163,3.445
670.0,0.163,3.463
671.0,0.162,3.481
672.0,0.162,3.499
673.0,0.162,3.517
674.0,0.162,3.535
675.0,0.162,3.552
676.0,0.162,3.57
677.0,0.161,3.588
678.0,0.161,3.606
679.0,0.161,3.624
680.0,0.161,3.642
681.0,0.161,3.66
682.0,0.161,3.678
683.0,0.16,3.696
684.0,0.16,3.714
685.0,0.16,3.732
686.0,0.16,3.75
687.0,0.16,3.768
688.0,0.16,3.786
689.0,0.16,3.803
690.0,0.16,3.816
691.0,0.16,3.83
692.0,0.16,3.843
693.0,0.16,3.857
694.0,0.16,3.87
695.0,0.16,3.884
696.0,0.16,3.898
697.0,0.16,3.911
698.0,0.16,3.925
699.0,0.161,3.938
700.0,0.161,3.952
701.0,0.161,3.965
702.0,0.161,3.979
703.0,0.161,3.993
704.0,0.161,4.006
705.0,0.161,4.02
706.0,0.161,4.033
707.0,0.161,4.047
708.0,0.161,4.06
709.0,0.161,4.074
710.0,0.162,4.088
711.0,0.162,4.101
712.0,0.162,4.115
713.0,0.162,4.128
714.0,0.162,4.142
715.0,0.162,4.155
716.0,0.162,4.169
717.0,0.162,4.183
718.0,0.162,4.196
719.0,0.162,4.21
720.0,0.163,4.223
721.0,0.163,4.237
722.0,0.163,4.25
723.0,0.163,4.264
724.0,0.163,4.278
725.0,0.163,4.291
726.0,0.163,4.305
727.0,0.163,4.318
728.0,0.163,4.332
729.0,0.163,4.346
730.0,0.164,4.357
731.0,0.164,4.369
732.0,0.164,4.38
733.0,0.164,4.391
734.0,0.165,4.402
735.0,0.165,4.413
736.0,0.165,4.425
737.0,0.165,4.436
738.0,0.165,4.447
739.0,0.166,4.458
740.0,0.166,4.469
741.0,0.166,4.48
742.0,0.166,4.492
743.0,0.167,4.503
744.0,0.167,4.514
745.0,0.167,4.525
746.0,0.167,4.536
747.0,0.167,4.548
748.0,0.168,4.559
749.0,0.168,4.57
750.0,0.168,4.581
751.0,0.168,4.592
752.0,0.168,4.604
