lambda_nm,n,k
413.0,2.092269,0.008597848
414.0,2.08884,0.007717867
415.0,2.085506,0.006909689
416.0,2.082264,0.006168237
417.0,2.07911,0.005488812
418.0,2.076042,0.004867066
419.0,2.073058,0.004298972
420.0,2.070153,0.003780797
421.0,2.067326,0.003309085
422.0,2.064574,0.002880629
423.0,2.061895,0.002492455
424.0,2.059286,0.002141803
425.0,2.056745,0.00182611
426.0,2.05427,0.001542998
427.0,2.051857,0.001290254
428.0,2.049507,0.001065823
429.0,2.047215,0.0008677933
430.0,2.044981,0.0006943868
431.0,2.042803,0.0005439478
432.0,2.040678,0.0004149348
433.0,2.038605,0.0003059118
434.0,2.036582,0.0002155404
435.0,2.034608,0.0001425728
436.0,2.032681,8.584545e-05
437.0,2.0308,4.427229e-05
438.0,2.028962,1.683977e-05
439.0,2.027167,2.601423e-06
440.0,2.025414,6.731067e-07
441.0,2.0237,1.022863e-05
442.0,2.022026,3.049568e-05
443.0,2.020388,6.075204e-05
444.0,2.018788,0.0001003221
445.0,2.017222,0.0001485738
446.0,2.015691,0.0002049153
447.0,2.014193,0.0002687926
448.0,2.012728,0.0003396867
449.0,2.011293,0.0004171116
450.0,2.009889,0.0005006116
451.0,2.008515,0.0005897597
452.0,2.007169,0.0006841554
453.0,2.00585,0.0007834233
454.0,2.004559,0.0008872111
455.0,2.003294,0.0009951882
456.0,2.002054,0.001107044
457.0,2.000839,0.001222489
458.0,1.999648,0.001341248
459.0,1.99848,0.001463065
460.0,1.997335,0.001587699
461.0,1.996212,0.001714923
462.0,1.995111,0.001844526
463.0,1.99403,0.001976307
464.0,1.99297,0.002110078
465.0,1.99193,0.002245662
466.0,1.990909,0.002382895
467.0,1.989906,0.002521621
468.0,1.988922,0.002661692
469.0,1.987956,0.002802971
470.0,1.987007,0.002945329
471.0,1.986075,0.003088644
472.0,1.98516,0.003232801
473.0,1.98426,0.003377694
474.0,1.983377,0.003523222
475.0,1.982508,0.003669288
476.0,1.981654,0.003815806
477.0,1.980815,0.003962689
478.0,1.97999,0.00410986
479.0,1.979179,0.004257246
480.0,1.978382,0.004404775
481.0,1.977597,0.004552384
482.0,1.976826,0.004700011
483.0,1.976067,0.004847598
484.0,1.97532,0.004995092
485.0,1.974585,0.005142443
486.0,1.973862,0.005289602
487.0,1.97315,0.005436526
488.0,1.97245,0.005583173
489.0,1.97176,0.005729503
490.0,1.971082,0.005875482
491.0,1.970413,0.006021073
492.0,1.969755,0.006166247
493.0,1.969107,0.006310973
494.0,1.968468,0.006455223
495.0,1.967839,0.006598971
496.0,1.96722,0.006742194
497.0,1.966609,0.006884869
498.0,1.966008,0.007026975
499.0,1.965415,0.007168492
500.0,1.964831,0.007309404
501.0,1.964255,0.007449693
502.0,1.963687,0.007589345
503.0,1.963128,0.007728344
504.0,1.962576,0.007866678
505.0,1.962032,0.008004335
506.0,1.961496,0.008141304
507.0,1.960967,0.008277575
508.0,1.960445,0.008413139
509.0,1.95993,0.008547987
510.0,1.959423,0.008682113
511.0,1.958922,0.008815509
512.0,1.958428,0.008948169
513.0,1.95794,0.009080089
514.0,1.957459,0.009211263
515.0,1.956985,0.009341688
516.0,1.956516,0.009471359
517.0,1.956054,0.009600274
518.0,1.955597,0.00972843
519.0,1.955146,0.009855826
520.0,1.954701,0.00998246
521.0,1.954262,0.01010833
522.0,1.953828,0.01023344
523.0,1.9534,0.01035778
524.0,1.952977,0.01048135
525.0,1.952559,0.01060417
526.0,1.952147,0.01072621
527.0,1.951739,0.0108475
528.0,1.951337,0.01096802
529.0,1.950939,0.01108779
530.0,1.950546,0.01120679
531.0,1.950158,0.01132504
532.0,1.949774,0.01144254
533.0,1.949395,0.01155928
534.0,1.949021,0.01167527
535.0,1.94865,0.01179052
536.0,1.948284,0.01190502
537.0,1.947923,0.01201879
538.0,1.947565,0.01213181
539.0,1.947212,0.0122441
540.0,1.946862,0.01235566
541.0,1.946517,0.01246649
542.0,1.946175,0.01257659
543.0,1.945837,0.01268598
544.0,1.945503,0.01279465
545.0,1.945173,0.01290261
546.0,1.944847,0.01300986
547.0,1.944523,0.0131164
548.0,1.944204,0.01322225
549.0,1.943888,0.0133274
550.0,1.943575,0.01343186
551.0,1.943266,0.01353563
552.0,1.94296,0.01363872
553.0,1.942657,0.01374112
554.0,1.942358,0.01384286
555.0,1.942061,0.01394392
556.0,1.941768,0.01404432
557.0,1.941478,0.01414406
558.0,1.94119,0.01424315
559.0,1.940906,0.01434158
560.0,1.940625,0.01443936
561.0,1.940346,0.0145365
562.0,1.940071,0.01463301
563.0,1.939798,0.01472888
564.0,1.939528,0.01482412
565.0,1.93926,0.01491874
566.0,1.938995,0.01501274
567.0,1.938733,0.01510612
568.0,1.938474,0.0151989
569.0,1.938217,0.01529107
570.0,1.937962,0.01538263
571.0,1.93771,0.0154736
572.0,1.937461,0.01556398
573.0,1.937214,0.01565378
574.0,1.936969,0.01574298
575.0,1.936727,0.01583161
576.0,1.936486,0.01591967
577.0,1.936249,0.01600716
578.0,1.936013,0.01609408
579.0,1.93578,0.01618044
580.0,1.935548,0.01626625
581.0,1.935319,0.0163515
582.0,1.935092,0.01643621
583.0,1.934868,0.01652038
584.0,1.934645,0.016604
585.0,1.934424,0.01668709
586.0,1.934205,0.01676966
587.0,1.933989,0.01685169
588.0,1.933774,0.01693321
589.0,1.933561,0.0170142
590.0,1.93335,0.01709469
591.0,1.933141,0.01717466
592.0,1.932934,0.01725413
593.0,1.932728,0.0173331
594.0,1.932525,0.01741158
595.0,1.932323,0.01748956
596.0,1.932123,0.01756705
597.0,1.931924,0.01764406
598.0,1.931728,0.01772058
599.0,1.931533,0.01779663
600.0,1.93134,0.01787221
601.0,1.931148,0.01794732
602.0,1.930958,0.01802196
603.0,1.93077,0.01809614
604.0,1.930583,0.01816987
605.0,1.930398,0.01824314
606.0,1.930214,0.01831596
607.0,1.930032,0.01838833
608.0,1.929851,0.01846026
609.0,1.929672,0.01853175
610.0,1.929494,0.01860281
611.0,1.929318,0.01867343
612.0,1.929144,0.01874363
613.0,1.92897,0.0188134
614.0,1.928798,0.01888274
615.0,1.928628,0.01895167
616.0,1.928459,0.01902019
617.0,1.928291,0.01908829
618.0,1.928124,0.01915599
619.0,1.927959,0.01922328
620.0,1.927795,0.01929017
621.0,1.927633,0.01935666
622.0,1.927471,0.01942276
