lambda_nm,n,k
1000.0,3.3,0.7
1250.0,3.4,0.6
1500.0,3.5,0.5
1750.0,3.65,0.4
2000.0,3.7,0.33
2250.0,3.75,0.3
2500.0,3.8,0.26
2750.0,3.82,0.24
3000.0,3.82,0.22
3250.0,3.82,0.2
3500.0,3.82,0.18
3750.0,3.82,0.16
4000.0,3.82,0.14
4250.0,3.82,0.12
4500.0,3.82,0.11
4750.0,3.82,0.1
5000.0,3.82,0.09
5250.0,3.82,0.08
5500.0,3.82,0.08
5750.0,3.82,0.08
6000.0,3.82,0.08
