lambda_nm,n,k
1000.0,2.2,3.5
1250.0,2.7,4.3
1500.0,3.1,4.9
1750.0,3.65,5.4
2000.0,4.0,5.7
2250.0,4.4,6.1
2500.0,4.95,6.4
2750.0,5.3,6.7
3000.0,5.7,7.1
3250.0,6.0,7.3
3500.0,6.2,7.7
3750.0,6.5,8.0
4000.0,6.7,8.2
4250.0,7.03,8.3
4500.0,7.25,8.65
4750.0,7.62,8.8
5000.0,7.74,9.07
5250.0,7.96,9.24
5500.0,8.18,9.46
5750.0,8.36,9.7
6000.0,8.62,9.85
