kind,eim_re,eim_im,fem_re,fem_im,eim_db_cm,fem_db_cm,measured_db_cm,mesh_nodes
imi,1.450127951,2.248232e-06,1.449913551,1.389226e-06,0.7916,0.4891,1.89,31119
imimi,1.450847834,2.855545e-05,1.450409752,2.272790e-05,10.0543,8.0024,5.01,88981
