width_um,planar_re,planar_im,eim_re,eim_im,fem_re,fem_im,delta_re,loss_ratio_eim_over_fem,mesh_nodes
3.00,1.451180246,1.115046e-05,1.450127951,2.248232e-06,1.450000518,6.213191e-07,1.274330e-04,3.6185,79271
6.00,1.451180246,1.115046e-05,1.450365853,5.635635e-06,1.450200366,4.413739e-06,1.654872e-04,1.2768,145033
